result/io_traces.ns732.oracleGeneral.zst TwoQ cache size     2456, 2200000 req, miss ratio 0.3497, byte miss ratio 0.3497
result/io_traces.ns732.oracleGeneral.zst TwoQ cache size     8187, 2200000 req, miss ratio 0.3122, byte miss ratio 0.3122
result/io_traces.ns732.oracleGeneral.zst TwoQ cache size    16374, 2200000 req, miss ratio 0.2579, byte miss ratio 0.2579
result/io_traces.ns732.oracleGeneral.zst TwoQ cache size    32749, 2200000 req, miss ratio 0.1269, byte miss ratio 0.1269
result/io_traces.ns732.oracleGeneral.zst TwoQ cache size    65498, 2200000 req, miss ratio 0.0517, byte miss ratio 0.0517
result/io_traces.ns732.oracleGeneral.zst B-LRU cache size       81, 2200000 req, miss ratio 0.5376, byte miss ratio 0.5376
result/io_traces.ns732.oracleGeneral.zst B-LRU cache size      245, 2200000 req, miss ratio 0.4246, byte miss ratio 0.4246
result/io_traces.ns732.oracleGeneral.zst B-LRU cache size      818, 2200000 req, miss ratio 0.3808, byte miss ratio 0.3808
result/io_traces.ns732.oracleGeneral.zst B-LRU cache size     2456, 2200000 req, miss ratio 0.3714, byte miss ratio 0.3714
result/io_traces.ns732.oracleGeneral.zst B-LRU cache size     8187, 2200000 req, miss ratio 0.3583, byte miss ratio 0.3583
result/io_traces.ns732.oracleGeneral.zst B-LRU cache size    16374, 2200000 req, miss ratio 0.2655, byte miss ratio 0.2655
result/io_traces.ns732.oracleGeneral.zst B-LRU cache size    32749, 2200000 req, miss ratio 0.1267, byte miss ratio 0.1267
result/io_traces.ns732.oracleGeneral.zst B-LRU cache size    65498, 2200000 req, miss ratio 0.0673, byte miss ratio 0.0673
result/io_traces.ns732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       81, 2200000 req, miss ratio 0.6157, byte miss ratio 0.6157
result/io_traces.ns732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      245, 2200000 req, miss ratio 0.4373, byte miss ratio 0.4373
result/io_traces.ns732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      818, 2200000 req, miss ratio 0.3787, byte miss ratio 0.3787
result/io_traces.ns732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2456, 2200000 req, miss ratio 0.3653, byte miss ratio 0.3653
result/io_traces.ns732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8187, 2200000 req, miss ratio 0.3255, byte miss ratio 0.3255
result/io_traces.ns732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16374, 2200000 req, miss ratio 0.2605, byte miss ratio 0.2605
result/io_traces.ns732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    32749, 2200000 req, miss ratio 0.1400, byte miss ratio 0.1400
result/io_traces.ns732.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    65498, 2200000 req, miss ratio 0.0476, byte miss ratio 0.0476
result/io_traces.ns732.oracleGeneral.zst S4LRU(25:25:25:25) cache size       81, 2200000 req, miss ratio 0.4768, byte miss ratio 0.4768
result/io_traces.ns732.oracleGeneral.zst S4LRU(25:25:25:25) cache size      245, 2200000 req, miss ratio 0.3877, byte miss ratio 0.3877
result/io_traces.ns732.oracleGeneral.zst S4LRU(25:25:25:25) cache size      818, 2200000 req, miss ratio 0.3728, byte miss ratio 0.3728
result/io_traces.ns732.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2456, 2200000 req, miss ratio 0.3542, byte miss ratio 0.3542
result/io_traces.ns732.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8187, 2200000 req, miss ratio 0.3171, byte miss ratio 0.3171
result/io_traces.ns732.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16374, 2200000 req, miss ratio 0.2665, byte miss ratio 0.2665
result/io_traces.ns732.oracleGeneral.zst S4LRU(25:25:25:25) cache size    32749, 2200000 req, miss ratio 0.1084, byte miss ratio 0.1084
result/io_traces.ns732.oracleGeneral.zst S4LRU(25:25:25:25) cache size    65498, 2200000 req, miss ratio 0.0382, byte miss ratio 0.0382
result/io_traces.ns732.oracleGeneral.zst S3FIFO cache size       81, 2200000 req, miss ratio 0.4080, byte miss ratio 0.4080
result/io_traces.ns732.oracleGeneral.zst S3FIFO cache size      245, 2200000 req, miss ratio 0.3820, byte miss ratio 0.3820
result/io_traces.ns732.oracleGeneral.zst S3FIFO cache size      818, 2200000 req, miss ratio 0.3708, byte miss ratio 0.3708
result/io_traces.ns732.oracleGeneral.zst S3FIFO cache size     2456, 2200000 req, miss ratio 0.3467, byte miss ratio 0.3467
result/io_traces.ns732.oracleGeneral.zst S3FIFO cache size     8187, 2200000 req, miss ratio 0.3000, byte miss ratio 0.3000
result/io_traces.ns732.oracleGeneral.zst S3FIFO cache size    16374, 2200000 req, miss ratio 0.2323, byte miss ratio 0.2323
result/io_traces.ns732.oracleGeneral.zst S3FIFO cache size    32749, 2200000 req, miss ratio 0.1119, byte miss ratio 0.1119
result/io_traces.ns732.oracleGeneral.zst S3FIFO cache size    65498, 2200000 req, miss ratio 0.0386, byte miss ratio 0.0386
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d cache size       81, 2200000 req, miss ratio 0.4500, byte miss ratio 0.4500
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d cache size      245, 2200000 req, miss ratio 0.3802, byte miss ratio 0.3802
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d cache size      818, 2200000 req, miss ratio 0.3708, byte miss ratio 0.3708
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d cache size     2456, 2200000 req, miss ratio 0.3464, byte miss ratio 0.3464
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d cache size     8187, 2200000 req, miss ratio 0.2996, byte miss ratio 0.2996
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d cache size    16374, 2200000 req, miss ratio 0.2307, byte miss ratio 0.2307
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d cache size    32749, 2200000 req, miss ratio 0.1144, byte miss ratio 0.1144
result/io_traces.ns732.oracleGeneral.zst S3FIFO-d cache size    65498, 2200000 req, miss ratio 0.0386, byte miss ratio 0.0386
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       81, 2200000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      245, 2200000 req, miss ratio 0.3992, byte miss ratio 0.3992
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      818, 2200000 req, miss ratio 0.3960, byte miss ratio 0.3960
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2456, 2200000 req, miss ratio 0.3531, byte miss ratio 0.3531
result/io_traces.ns732.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8187, 2200000 req, miss ratio 0.2953, byte miss ratio 0.2953
