result/io_traces.ns269.oracleGeneral.zst S3FIFO-d-1 cache size     2604, 10400000 req, miss ratio 0.6272, byte miss ratio 0.6272
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d-1 cache size     7813, 10400000 req, miss ratio 0.3823, byte miss ratio 0.3823
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d-1 cache size    26045, 10400000 req, miss ratio 0.3665, byte miss ratio 0.3665
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d-1 cache size    78136, 10400000 req, miss ratio 0.3066, byte miss ratio 0.3066
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d-1 cache size   260456, 10400000 req, miss ratio 0.2874, byte miss ratio 0.2874
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d-1 cache size   520913, 10400000 req, miss ratio 0.2813, byte miss ratio 0.2813
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d-1 cache size  1041826, 10400000 req, miss ratio 0.2723, byte miss ratio 0.2723
result/io_traces.ns269.oracleGeneral.zst S3FIFO-d-1 cache size  2083652, 10400000 req, miss ratio 0.2523, byte miss ratio 0.2523
result/io_traces.ns269.oracleGeneral.zst LRB cache size     2604, 10400000 req, miss ratio 0.5715, byte miss ratio 0.5715
result/io_traces.ns269.oracleGeneral.zst LRB cache size     7813, 10400000 req, miss ratio 0.4038, byte miss ratio 0.4038
result/io_traces.ns269.oracleGeneral.zst LRB cache size    26045, 10400000 req, miss ratio 0.3399, byte miss ratio 0.3399
result/io_traces.ns269.oracleGeneral.zst LRB cache size    78136, 10400000 req, miss ratio 0.3095, byte miss ratio 0.3095
result/io_traces.ns269.oracleGeneral.zst LRB cache size   260456, 10400000 req, miss ratio 0.2920, byte miss ratio 0.2920
result/io_traces.ns269.oracleGeneral.zst LRB cache size   520913, 10400000 req, miss ratio 0.2773, byte miss ratio 0.2773
result/io_traces.ns269.oracleGeneral.zst LRB cache size  1041826, 10400000 req, miss ratio 0.2661, byte miss ratio 0.2661
result/io_traces.ns269.oracleGeneral.zst LRB cache size  2083652, 10400000 req, miss ratio 0.2522, byte miss ratio 0.2522
result/io_traces.ns269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2604, 10400000 req, miss ratio 0.6310, byte miss ratio 0.6310
result/io_traces.ns269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7813, 10400000 req, miss ratio 0.5645, byte miss ratio 0.5645
result/io_traces.ns269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    26045, 10400000 req, miss ratio 0.3975, byte miss ratio 0.3975
result/io_traces.ns269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    78136, 10400000 req, miss ratio 0.3518, byte miss ratio 0.3518
result/io_traces.ns269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   260456, 10400000 req, miss ratio 0.2974, byte miss ratio 0.2974
result/io_traces.ns269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   520913, 10400000 req, miss ratio 0.2843, byte miss ratio 0.2843
result/io_traces.ns269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1041826, 10400000 req, miss ratio 0.2713, byte miss ratio 0.2713
result/io_traces.ns269.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2083652, 10400000 req, miss ratio 0.2525, byte miss ratio 0.2525
result/io_traces.ns269.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2604, 10400000 req, miss ratio 0.5975, byte miss ratio 0.5975
result/io_traces.ns269.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7813, 10400000 req, miss ratio 0.5062, byte miss ratio 0.5062
result/io_traces.ns269.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26045, 10400000 req, miss ratio 0.3715, byte miss ratio 0.3715
result/io_traces.ns269.oracleGeneral.zst S4LRU(25:25:25:25) cache size    78136, 10400000 req, miss ratio 0.3475, byte miss ratio 0.3475
result/io_traces.ns269.oracleGeneral.zst S4LRU(25:25:25:25) cache size   260456, 10400000 req, miss ratio 0.2924, byte miss ratio 0.2924
result/io_traces.ns269.oracleGeneral.zst S4LRU(25:25:25:25) cache size   520913, 10400000 req, miss ratio 0.2796, byte miss ratio 0.2796
result/io_traces.ns269.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1041826, 10400000 req, miss ratio 0.2635, byte miss ratio 0.2635
result/io_traces.ns269.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2083652, 10400000 req, miss ratio 0.2523, byte miss ratio 0.2523
result/io_traces.ns269.oracleGeneral.zst B-LRU cache size     2604, 10400000 req, miss ratio 0.6526, byte miss ratio 0.6526
result/io_traces.ns269.oracleGeneral.zst B-LRU cache size     7813, 10400000 req, miss ratio 0.5716, byte miss ratio 0.5716
result/io_traces.ns269.oracleGeneral.zst B-LRU cache size    26045, 10400000 req, miss ratio 0.3861, byte miss ratio 0.3861
result/io_traces.ns269.oracleGeneral.zst B-LRU cache size    78136, 10400000 req, miss ratio 0.3317, byte miss ratio 0.3317
result/io_traces.ns269.oracleGeneral.zst B-LRU cache size   260456, 10400000 req, miss ratio 0.3126, byte miss ratio 0.3126
result/io_traces.ns269.oracleGeneral.zst B-LRU cache size   520913, 10400000 req, miss ratio 0.3093, byte miss ratio 0.3093
result/io_traces.ns269.oracleGeneral.zst B-LRU cache size  1041826, 10400000 req, miss ratio 0.3091, byte miss ratio 0.3091
result/io_traces.ns269.oracleGeneral.zst B-LRU cache size  2083652, 10400000 req, miss ratio 0.3091, byte miss ratio 0.3091
result/io_traces.ns269.oracleGeneral.zst TwoQ cache size     2604, 10400000 req, miss ratio 0.6292, byte miss ratio 0.6292
