result/io_traces.ns360.oracleGeneral.zst LIRS cache size    13319, 9600000 req, miss ratio 0.4282, byte miss ratio 0.4282
result/io_traces.ns360.oracleGeneral.zst LIRS cache size    44398, 9600000 req, miss ratio 0.1970, byte miss ratio 0.1970
result/io_traces.ns360.oracleGeneral.zst LIRS cache size    88796, 9600000 req, miss ratio 0.1136, byte miss ratio 0.1136
result/io_traces.ns360.oracleGeneral.zst LIRS cache size   177592, 9600000 req, miss ratio 0.0675, byte miss ratio 0.0675
result/io_traces.ns360.oracleGeneral.zst LIRS cache size   355185, 9600000 req, miss ratio 0.0502, byte miss ratio 0.0502
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d-1 cache size      443, 9600000 req, miss ratio 0.7495, byte miss ratio 0.7495
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d-1 cache size     1331, 9600000 req, miss ratio 0.7052, byte miss ratio 0.7052
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d-1 cache size     4439, 9600000 req, miss ratio 0.6923, byte miss ratio 0.6923
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d-1 cache size    13319, 9600000 req, miss ratio 0.4429, byte miss ratio 0.4429
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d-1 cache size    44398, 9600000 req, miss ratio 0.1698, byte miss ratio 0.1698
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d-1 cache size    88796, 9600000 req, miss ratio 0.0880, byte miss ratio 0.0880
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d-1 cache size   177592, 9600000 req, miss ratio 0.0506, byte miss ratio 0.0506
result/io_traces.ns360.oracleGeneral.zst S3FIFO-d-1 cache size   355185, 9600000 req, miss ratio 0.0468, byte miss ratio 0.0468
result/io_traces.ns360.oracleGeneral.zst LRB cache size      443, 9600000 req, miss ratio 0.7141, byte miss ratio 0.7141
result/io_traces.ns360.oracleGeneral.zst LRB cache size     1331, 9600000 req, miss ratio 0.6939, byte miss ratio 0.6939
result/io_traces.ns360.oracleGeneral.zst LRB cache size     4439, 9600000 req, miss ratio 0.6228, byte miss ratio 0.6228
result/io_traces.ns360.oracleGeneral.zst LRB cache size    13319, 9600000 req, miss ratio 0.4459, byte miss ratio 0.4459
result/io_traces.ns360.oracleGeneral.zst LRB cache size    44398, 9600000 req, miss ratio 0.1910, byte miss ratio 0.1910
result/io_traces.ns360.oracleGeneral.zst LRB cache size    88796, 9600000 req, miss ratio 0.0827, byte miss ratio 0.0827
result/io_traces.ns360.oracleGeneral.zst LRB cache size   177592, 9600000 req, miss ratio 0.0509, byte miss ratio 0.0509
result/io_traces.ns360.oracleGeneral.zst LRB cache size   355185, 9600000 req, miss ratio 0.0474, byte miss ratio 0.0474
result/io_traces.ns360.oracleGeneral.zst TwoQ cache size      443, 9600000 req, miss ratio 0.7567, byte miss ratio 0.7567
result/io_traces.ns360.oracleGeneral.zst TwoQ cache size     1331, 9600000 req, miss ratio 0.7147, byte miss ratio 0.7147
result/io_traces.ns360.oracleGeneral.zst TwoQ cache size     4439, 9600000 req, miss ratio 0.6965, byte miss ratio 0.6965
result/io_traces.ns360.oracleGeneral.zst TwoQ cache size    13319, 9600000 req, miss ratio 0.4823, byte miss ratio 0.4823
result/io_traces.ns360.oracleGeneral.zst TwoQ cache size    44398, 9600000 req, miss ratio 0.1893, byte miss ratio 0.1893
result/io_traces.ns360.oracleGeneral.zst TwoQ cache size    88796, 9600000 req, miss ratio 0.0895, byte miss ratio 0.0895
result/io_traces.ns360.oracleGeneral.zst TwoQ cache size   177592, 9600000 req, miss ratio 0.0549, byte miss ratio 0.0549
result/io_traces.ns360.oracleGeneral.zst TwoQ cache size   355185, 9600000 req, miss ratio 0.0500, byte miss ratio 0.0500
result/io_traces.ns360.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      443, 9600000 req, miss ratio 0.7939, byte miss ratio 0.7939
result/io_traces.ns360.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1331, 9600000 req, miss ratio 0.7376, byte miss ratio 0.7376
result/io_traces.ns360.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4439, 9600000 req, miss ratio 0.6878, byte miss ratio 0.6878
result/io_traces.ns360.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13319, 9600000 req, miss ratio 0.5460, byte miss ratio 0.5460
result/io_traces.ns360.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    44398, 9600000 req, miss ratio 0.2159, byte miss ratio 0.2159
result/io_traces.ns360.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    88796, 9600000 req, miss ratio 0.1241, byte miss ratio 0.1241
result/io_traces.ns360.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   177592, 9600000 req, miss ratio 0.0629, byte miss ratio 0.0629
result/io_traces.ns360.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   355185, 9600000 req, miss ratio 0.0487, byte miss ratio 0.0487
result/io_traces.ns360.oracleGeneral.zst B-LRU cache size      443, 9600000 req, miss ratio 0.8069, byte miss ratio 0.8069
result/io_traces.ns360.oracleGeneral.zst B-LRU cache size     1331, 9600000 req, miss ratio 0.7482, byte miss ratio 0.7482
result/io_traces.ns360.oracleGeneral.zst B-LRU cache size     4439, 9600000 req, miss ratio 0.7083, byte miss ratio 0.7083
result/io_traces.ns360.oracleGeneral.zst B-LRU cache size    13319, 9600000 req, miss ratio 0.5952, byte miss ratio 0.5952
result/io_traces.ns360.oracleGeneral.zst B-LRU cache size    44398, 9600000 req, miss ratio 0.1785, byte miss ratio 0.1785
result/io_traces.ns360.oracleGeneral.zst B-LRU cache size    88796, 9600000 req, miss ratio 0.1090, byte miss ratio 0.1090
