result/io_traces.ns826.oracleGeneral.zst LIRS cache size   387071, 2800000 req, miss ratio 0.7102, byte miss ratio 0.7102
result/io_traces.ns826.oracleGeneral.zst LIRS cache size   774142, 2800000 req, miss ratio 0.6991, byte miss ratio 0.6991
result/io_traces.ns826.oracleGeneral.zst LIRS cache size  1548285, 2800000 req, miss ratio 0.6929, byte miss ratio 0.6929
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d-1 cache size     1935, 2800000 req, miss ratio 0.7507, byte miss ratio 0.7507
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d-1 cache size     5806, 2800000 req, miss ratio 0.7461, byte miss ratio 0.7461
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d-1 cache size    19353, 2800000 req, miss ratio 0.7403, byte miss ratio 0.7403
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d-1 cache size    58060, 2800000 req, miss ratio 0.7373, byte miss ratio 0.7373
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d-1 cache size   193535, 2800000 req, miss ratio 0.7311, byte miss ratio 0.7311
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d-1 cache size   387071, 2800000 req, miss ratio 0.7274, byte miss ratio 0.7274
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d-1 cache size   774142, 2800000 req, miss ratio 0.7147, byte miss ratio 0.7147
result/io_traces.ns826.oracleGeneral.zst S3FIFO-d-1 cache size  1548285, 2800000 req, miss ratio 0.6925, byte miss ratio 0.6925
result/io_traces.ns826.oracleGeneral.zst LRB cache size     1935, 2800000 req, miss ratio 0.7533, byte miss ratio 0.7533
result/io_traces.ns826.oracleGeneral.zst LRB cache size     5806, 2800000 req, miss ratio 0.7474, byte miss ratio 0.7474
result/io_traces.ns826.oracleGeneral.zst LRB cache size    19353, 2800000 req, miss ratio 0.7399, byte miss ratio 0.7399
result/io_traces.ns826.oracleGeneral.zst LRB cache size    58060, 2800000 req, miss ratio 0.7347, byte miss ratio 0.7347
result/io_traces.ns826.oracleGeneral.zst LRB cache size   193535, 2800000 req, miss ratio 0.7316, byte miss ratio 0.7316
result/io_traces.ns826.oracleGeneral.zst LRB cache size   387071, 2800000 req, miss ratio 0.7286, byte miss ratio 0.7286
