result/io_traces.ns205.oracleGeneral.zst Cacheus cache size   412381, 19600000 req, miss ratio 0.1937, byte miss ratio 0.1937
result/io_traces.ns205.oracleGeneral.zst Cacheus cache size   824762, 19600000 req, miss ratio 0.1608, byte miss ratio 0.1608
result/io_traces.ns205.oracleGeneral.zst Cacheus cache size  1649524, 19600000 req, miss ratio 0.1089, byte miss ratio 0.1089
result/io_traces.ns205.oracleGeneral.zst LeCaR cache size     2061, 19600000 req, miss ratio 0.6068, byte miss ratio 0.6068
result/io_traces.ns205.oracleGeneral.zst LeCaR cache size     6185, 19600000 req, miss ratio 0.5853, byte miss ratio 0.5853
result/io_traces.ns205.oracleGeneral.zst LeCaR cache size    20619, 19600000 req, miss ratio 0.4629, byte miss ratio 0.4629
result/io_traces.ns205.oracleGeneral.zst LeCaR cache size    61857, 19600000 req, miss ratio 0.2915, byte miss ratio 0.2915
result/io_traces.ns205.oracleGeneral.zst LeCaR cache size   206190, 19600000 req, miss ratio 0.2149, byte miss ratio 0.2149
result/io_traces.ns205.oracleGeneral.zst LeCaR cache size   412381, 19600000 req, miss ratio 0.1913, byte miss ratio 0.1913
result/io_traces.ns205.oracleGeneral.zst LeCaR cache size   824762, 19600000 req, miss ratio 0.1561, byte miss ratio 0.1561
result/io_traces.ns205.oracleGeneral.zst LeCaR cache size  1649524, 19600000 req, miss ratio 0.1090, byte miss ratio 0.1090
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d-1 cache size     2061, 19600000 req, miss ratio 0.5958, byte miss ratio 0.5958
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d-1 cache size     6185, 19600000 req, miss ratio 0.5623, byte miss ratio 0.5623
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d-1 cache size    20619, 19600000 req, miss ratio 0.4717, byte miss ratio 0.4717
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d-1 cache size    61857, 19600000 req, miss ratio 0.2558, byte miss ratio 0.2558
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d-1 cache size   206190, 19600000 req, miss ratio 0.2138, byte miss ratio 0.2138
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d-1 cache size   412381, 19600000 req, miss ratio 0.1914, byte miss ratio 0.1914
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d-1 cache size   824762, 19600000 req, miss ratio 0.1561, byte miss ratio 0.1561
result/io_traces.ns205.oracleGeneral.zst S3FIFO-d-1 cache size  1649524, 19600000 req, miss ratio 0.1092, byte miss ratio 0.1092
result/io_traces.ns205.oracleGeneral.zst LRB cache size     2061, 19600000 req, miss ratio 0.6574, byte miss ratio 0.6574
result/io_traces.ns205.oracleGeneral.zst LRB cache size     6185, 19600000 req, miss ratio 0.5878, byte miss ratio 0.5878
result/io_traces.ns205.oracleGeneral.zst LRB cache size    20619, 19600000 req, miss ratio 0.4348, byte miss ratio 0.4348
result/io_traces.ns205.oracleGeneral.zst LRB cache size    61857, 19600000 req, miss ratio 0.2554, byte miss ratio 0.2554
result/io_traces.ns205.oracleGeneral.zst LRB cache size   206190, 19600000 req, miss ratio 0.2218, byte miss ratio 0.2218
result/io_traces.ns205.oracleGeneral.zst LRB cache size   412381, 19600000 req, miss ratio 0.1929, byte miss ratio 0.1929
result/io_traces.ns205.oracleGeneral.zst LRB cache size   824762, 19600000 req, miss ratio 0.1560, byte miss ratio 0.1560
result/io_traces.ns205.oracleGeneral.zst LRB cache size  1649524, 19600000 req, miss ratio 0.1105, byte miss ratio 0.1105
result/io_traces.ns205.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2061, 19600000 req, miss ratio 0.6037, byte miss ratio 0.6037
result/io_traces.ns205.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6185, 19600000 req, miss ratio 0.5894, byte miss ratio 0.5894
result/io_traces.ns205.oracleGeneral.zst S4LRU(25:25:25:25) cache size    20619, 19600000 req, miss ratio 0.5543, byte miss ratio 0.5543
result/io_traces.ns205.oracleGeneral.zst S4LRU(25:25:25:25) cache size    61857, 19600000 req, miss ratio 0.2766, byte miss ratio 0.2766
result/io_traces.ns205.oracleGeneral.zst S4LRU(25:25:25:25) cache size   206190, 19600000 req, miss ratio 0.2144, byte miss ratio 0.2144
result/io_traces.ns205.oracleGeneral.zst S4LRU(25:25:25:25) cache size   412381, 19600000 req, miss ratio 0.1930, byte miss ratio 0.1930
result/io_traces.ns205.oracleGeneral.zst S4LRU(25:25:25:25) cache size   824762, 19600000 req, miss ratio 0.1539, byte miss ratio 0.1539
result/io_traces.ns205.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1649524, 19600000 req, miss ratio 0.1089, byte miss ratio 0.1089
result/io_traces.ns205.oracleGeneral.zst B-LRU cache size     2061, 19600000 req, miss ratio 0.6329, byte miss ratio 0.6329
result/io_traces.ns205.oracleGeneral.zst B-LRU cache size     6185, 19600000 req, miss ratio 0.5957, byte miss ratio 0.5957
result/io_traces.ns205.oracleGeneral.zst B-LRU cache size    20619, 19600000 req, miss ratio 0.4786, byte miss ratio 0.4786
result/io_traces.ns205.oracleGeneral.zst B-LRU cache size    61857, 19600000 req, miss ratio 0.3216, byte miss ratio 0.3216
result/io_traces.ns205.oracleGeneral.zst B-LRU cache size   206190, 19600000 req, miss ratio 0.2536, byte miss ratio 0.2536
result/io_traces.ns205.oracleGeneral.zst B-LRU cache size   412381, 19600000 req, miss ratio 0.2328, byte miss ratio 0.2328
result/io_traces.ns205.oracleGeneral.zst B-LRU cache size   824762, 19600000 req, miss ratio 0.1981, byte miss ratio 0.1981
result/io_traces.ns205.oracleGeneral.zst B-LRU cache size  1649524, 19600000 req, miss ratio 0.1816, byte miss ratio 0.1816
result/io_traces.ns205.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2061, 19600000 req, miss ratio 0.6140, byte miss ratio 0.6140
result/io_traces.ns205.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6185, 19600000 req, miss ratio 0.5809, byte miss ratio 0.5809
result/io_traces.ns205.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    20619, 19600000 req, miss ratio 0.5044, byte miss ratio 0.5044
result/io_traces.ns205.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    61857, 19600000 req, miss ratio 0.3552, byte miss ratio 0.3552
result/io_traces.ns205.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   206190, 19600000 req, miss ratio 0.2252, byte miss ratio 0.2252
result/io_traces.ns205.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   412381, 19600000 req, miss ratio 0.1988, byte miss ratio 0.1988
