result/io_traces.ns207.oracleGeneral.zst FIFO cache size 18941469, 51400000 req, miss ratio 0.4691, byte miss ratio 0.4691
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d-1 cache size    23676, 51400000 req, miss ratio 0.8249, byte miss ratio 0.8249
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d-1 cache size    71030, 51400000 req, miss ratio 0.7938, byte miss ratio 0.7938
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d-1 cache size   236768, 51400000 req, miss ratio 0.7154, byte miss ratio 0.7154
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d-1 cache size   710305, 51400000 req, miss ratio 0.6349, byte miss ratio 0.6349
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d-1 cache size  2367683, 51400000 req, miss ratio 0.5665, byte miss ratio 0.5665
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d-1 cache size  4735367, 51400000 req, miss ratio 0.5338, byte miss ratio 0.5338
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d-1 cache size  9470734, 51400000 req, miss ratio 0.4891, byte miss ratio 0.4891
result/io_traces.ns207.oracleGeneral.zst S3FIFO-d-1 cache size 18941469, 51400000 req, miss ratio 0.4625, byte miss ratio 0.4625
result/io_traces.ns207.oracleGeneral.zst LRB cache size    23676, 51400000 req, miss ratio 0.8274, byte miss ratio 0.8274
result/io_traces.ns207.oracleGeneral.zst LRB cache size    71030, 51400000 req, miss ratio 0.7819, byte miss ratio 0.7819
result/io_traces.ns207.oracleGeneral.zst LRB cache size   236768, 51400000 req, miss ratio 0.7178, byte miss ratio 0.7178
result/io_traces.ns207.oracleGeneral.zst LRB cache size   710305, 51400000 req, miss ratio 0.6839, byte miss ratio 0.6839
result/io_traces.ns207.oracleGeneral.zst LRB cache size  2367683, 51400000 req, miss ratio 0.6008, byte miss ratio 0.6008
result/io_traces.ns207.oracleGeneral.zst LRB cache size  4735367, 51400000 req, miss ratio 0.5484, byte miss ratio 0.5484
result/io_traces.ns207.oracleGeneral.zst LRB cache size  9470734, 51400000 req, miss ratio 0.4931, byte miss ratio 0.4931
result/io_traces.ns207.oracleGeneral.zst LRB cache size 18941469, 51400000 req, miss ratio 0.4637, byte miss ratio 0.4637
