result/io_traces.ns41.oracleGeneral.zst S3FIFO-d-1 cache size     1854, 8600000 req, miss ratio 0.2345, byte miss ratio 0.2345
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d-1 cache size     6181, 8600000 req, miss ratio 0.2157, byte miss ratio 0.2157
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d-1 cache size    18545, 8600000 req, miss ratio 0.1806, byte miss ratio 0.1806
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d-1 cache size    61817, 8600000 req, miss ratio 0.1042, byte miss ratio 0.1042
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d-1 cache size   123635, 8600000 req, miss ratio 0.0825, byte miss ratio 0.0825
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d-1 cache size   247270, 8600000 req, miss ratio 0.0729, byte miss ratio 0.0729
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d-1 cache size   494541, 8600000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns41.oracleGeneral.zst LRB cache size      618, 8600000 req, miss ratio 0.3402, byte miss ratio 0.3402
result/io_traces.ns41.oracleGeneral.zst LRB cache size     1854, 8600000 req, miss ratio 0.2392, byte miss ratio 0.2392
result/io_traces.ns41.oracleGeneral.zst LRB cache size     6181, 8600000 req, miss ratio 0.2164, byte miss ratio 0.2164
result/io_traces.ns41.oracleGeneral.zst LRB cache size    18545, 8600000 req, miss ratio 0.1863, byte miss ratio 0.1863
result/io_traces.ns41.oracleGeneral.zst LRB cache size    61817, 8600000 req, miss ratio 0.1119, byte miss ratio 0.1119
result/io_traces.ns41.oracleGeneral.zst LRB cache size   123635, 8600000 req, miss ratio 0.0885, byte miss ratio 0.0885
result/io_traces.ns41.oracleGeneral.zst LRB cache size   247270, 8600000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns41.oracleGeneral.zst LRB cache size   494541, 8600000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns41.oracleGeneral.zst TwoQ cache size      618, 8600000 req, miss ratio 0.3404, byte miss ratio 0.3404
result/io_traces.ns41.oracleGeneral.zst TwoQ cache size     1854, 8600000 req, miss ratio 0.2453, byte miss ratio 0.2453
result/io_traces.ns41.oracleGeneral.zst TwoQ cache size     6181, 8600000 req, miss ratio 0.2175, byte miss ratio 0.2175
result/io_traces.ns41.oracleGeneral.zst TwoQ cache size    18545, 8600000 req, miss ratio 0.1828, byte miss ratio 0.1828
result/io_traces.ns41.oracleGeneral.zst TwoQ cache size    61817, 8600000 req, miss ratio 0.1079, byte miss ratio 0.1079
result/io_traces.ns41.oracleGeneral.zst TwoQ cache size   123635, 8600000 req, miss ratio 0.0903, byte miss ratio 0.0903
result/io_traces.ns41.oracleGeneral.zst TwoQ cache size   247270, 8600000 req, miss ratio 0.0801, byte miss ratio 0.0801
result/io_traces.ns41.oracleGeneral.zst TwoQ cache size   494541, 8600000 req, miss ratio 0.0756, byte miss ratio 0.0756
result/io_traces.ns41.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      618, 8600000 req, miss ratio 0.3718, byte miss ratio 0.3718
result/io_traces.ns41.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1854, 8600000 req, miss ratio 0.2941, byte miss ratio 0.2941
result/io_traces.ns41.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6181, 8600000 req, miss ratio 0.2310, byte miss ratio 0.2310
result/io_traces.ns41.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18545, 8600000 req, miss ratio 0.1946, byte miss ratio 0.1946
result/io_traces.ns41.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    61817, 8600000 req, miss ratio 0.1345, byte miss ratio 0.1345
result/io_traces.ns41.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   123635, 8600000 req, miss ratio 0.0969, byte miss ratio 0.0969
result/io_traces.ns41.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   247270, 8600000 req, miss ratio 0.0786, byte miss ratio 0.0786
result/io_traces.ns41.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   494541, 8600000 req, miss ratio 0.0740, byte miss ratio 0.0740
result/io_traces.ns41.oracleGeneral.zst B-LRU cache size      618, 8600000 req, miss ratio 0.3697, byte miss ratio 0.3697
result/io_traces.ns41.oracleGeneral.zst B-LRU cache size     1854, 8600000 req, miss ratio 0.3007, byte miss ratio 0.3007
result/io_traces.ns41.oracleGeneral.zst B-LRU cache size     6181, 8600000 req, miss ratio 0.2354, byte miss ratio 0.2354
result/io_traces.ns41.oracleGeneral.zst B-LRU cache size    18545, 8600000 req, miss ratio 0.1915, byte miss ratio 0.1915
result/io_traces.ns41.oracleGeneral.zst B-LRU cache size    61817, 8600000 req, miss ratio 0.1227, byte miss ratio 0.1227
result/io_traces.ns41.oracleGeneral.zst B-LRU cache size   123635, 8600000 req, miss ratio 0.1064, byte miss ratio 0.1064
result/io_traces.ns41.oracleGeneral.zst B-LRU cache size   247270, 8600000 req, miss ratio 0.1046, byte miss ratio 0.1046
result/io_traces.ns41.oracleGeneral.zst B-LRU cache size   494541, 8600000 req, miss ratio 0.1046, byte miss ratio 0.1046
result/io_traces.ns41.oracleGeneral.zst S4LRU(25:25:25:25) cache size      618, 8600000 req, miss ratio 0.3452, byte miss ratio 0.3452
result/io_traces.ns41.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1854, 8600000 req, miss ratio 0.2476, byte miss ratio 0.2476
result/io_traces.ns41.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6181, 8600000 req, miss ratio 0.2193, byte miss ratio 0.2193
result/io_traces.ns41.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18545, 8600000 req, miss ratio 0.2002, byte miss ratio 0.2002
result/io_traces.ns41.oracleGeneral.zst S4LRU(25:25:25:25) cache size    61817, 8600000 req, miss ratio 0.1038, byte miss ratio 0.1038
result/io_traces.ns41.oracleGeneral.zst S4LRU(25:25:25:25) cache size   123635, 8600000 req, miss ratio 0.0843, byte miss ratio 0.0843
result/io_traces.ns41.oracleGeneral.zst S4LRU(25:25:25:25) cache size   247270, 8600000 req, miss ratio 0.0730, byte miss ratio 0.0730
result/io_traces.ns41.oracleGeneral.zst S4LRU(25:25:25:25) cache size   494541, 8600000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns41.oracleGeneral.zst S3FIFO cache size      618, 8600000 req, miss ratio 0.3382, byte miss ratio 0.3382
result/io_traces.ns41.oracleGeneral.zst S3FIFO cache size     1854, 8600000 req, miss ratio 0.2342, byte miss ratio 0.2342
result/io_traces.ns41.oracleGeneral.zst S3FIFO cache size     6181, 8600000 req, miss ratio 0.2160, byte miss ratio 0.2160
result/io_traces.ns41.oracleGeneral.zst S3FIFO cache size    18545, 8600000 req, miss ratio 0.1804, byte miss ratio 0.1804
result/io_traces.ns41.oracleGeneral.zst S3FIFO cache size    61817, 8600000 req, miss ratio 0.1019, byte miss ratio 0.1019
result/io_traces.ns41.oracleGeneral.zst S3FIFO cache size   123635, 8600000 req, miss ratio 0.0856, byte miss ratio 0.0856
result/io_traces.ns41.oracleGeneral.zst S3FIFO cache size   247270, 8600000 req, miss ratio 0.0734, byte miss ratio 0.0734
result/io_traces.ns41.oracleGeneral.zst S3FIFO cache size   494541, 8600000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d cache size      618, 8600000 req, miss ratio 0.3394, byte miss ratio 0.3394
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d cache size     1854, 8600000 req, miss ratio 0.2344, byte miss ratio 0.2344
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d cache size     6181, 8600000 req, miss ratio 0.2159, byte miss ratio 0.2159
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d cache size    18545, 8600000 req, miss ratio 0.1803, byte miss ratio 0.1803
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d cache size    61817, 8600000 req, miss ratio 0.1013, byte miss ratio 0.1013
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d cache size   123635, 8600000 req, miss ratio 0.0847, byte miss ratio 0.0847
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d cache size   247270, 8600000 req, miss ratio 0.0734, byte miss ratio 0.0734
result/io_traces.ns41.oracleGeneral.zst S3FIFO-d cache size   494541, 8600000 req, miss ratio 0.0719, byte miss ratio 0.0719
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      618, 8600000 req, miss ratio 0.3631, byte miss ratio 0.3631
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1854, 8600000 req, miss ratio 0.2789, byte miss ratio 0.2789
result/io_traces.ns41.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6181, 8600000 req, miss ratio 0.3359, byte miss ratio 0.3359
