result/io_traces.ns145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1741487, 14400000 req, miss ratio 0.7068, byte miss ratio 0.7068
result/io_traces.ns145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3482975, 14400000 req, miss ratio 0.6553, byte miss ratio 0.6553
result/io_traces.ns145.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  6965951, 14400000 req, miss ratio 0.6115, byte miss ratio 0.6115
result/io_traces.ns145.oracleGeneral.zst TwoQ cache size     8707, 14400000 req, miss ratio 0.8290, byte miss ratio 0.8290
result/io_traces.ns145.oracleGeneral.zst TwoQ cache size    26122, 14400000 req, miss ratio 0.7956, byte miss ratio 0.7956
result/io_traces.ns145.oracleGeneral.zst TwoQ cache size    87074, 14400000 req, miss ratio 0.7468, byte miss ratio 0.7468
result/io_traces.ns145.oracleGeneral.zst TwoQ cache size   261223, 14400000 req, miss ratio 0.7370, byte miss ratio 0.7370
result/io_traces.ns145.oracleGeneral.zst TwoQ cache size   870743, 14400000 req, miss ratio 0.7341, byte miss ratio 0.7341
result/io_traces.ns145.oracleGeneral.zst TwoQ cache size  1741487, 14400000 req, miss ratio 0.7123, byte miss ratio 0.7123
result/io_traces.ns145.oracleGeneral.zst TwoQ cache size  3482975, 14400000 req, miss ratio 0.6601, byte miss ratio 0.6601
result/io_traces.ns145.oracleGeneral.zst TwoQ cache size  6965951, 14400000 req, miss ratio 0.6153, byte miss ratio 0.6153
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d cache size     8707, 14400000 req, miss ratio 0.8282, byte miss ratio 0.8282
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d cache size    26122, 14400000 req, miss ratio 0.7892, byte miss ratio 0.7892
result/io_traces.ns145.oracleGeneral.zst S3FIFO-d cache size    87074, 14400000 req, miss ratio 0.7379, byte miss ratio 0.7379
