result/io_traces.ns650.oracleGeneral.zst LRB cache size      222, 5800000 req, miss ratio 0.6772, byte miss ratio 0.6772
result/io_traces.ns650.oracleGeneral.zst LRB cache size      668, 5800000 req, miss ratio 0.6253, byte miss ratio 0.6253
result/io_traces.ns650.oracleGeneral.zst LRB cache size     2229, 5800000 req, miss ratio 0.5612, byte miss ratio 0.5612
result/io_traces.ns650.oracleGeneral.zst LRB cache size     6689, 5800000 req, miss ratio 0.5034, byte miss ratio 0.5034
result/io_traces.ns650.oracleGeneral.zst LRB cache size    22296, 5800000 req, miss ratio 0.3000, byte miss ratio 0.3000
result/io_traces.ns650.oracleGeneral.zst LRB cache size    44593, 5800000 req, miss ratio 0.0944, byte miss ratio 0.0944
result/io_traces.ns650.oracleGeneral.zst LRB cache size    89187, 5800000 req, miss ratio 0.0513, byte miss ratio 0.0513
result/io_traces.ns650.oracleGeneral.zst LRB cache size   178375, 5800000 req, miss ratio 0.0391, byte miss ratio 0.0391
result/io_traces.ns650.oracleGeneral.zst B-LRU cache size      222, 5800000 req, miss ratio 0.7534, byte miss ratio 0.7534
result/io_traces.ns650.oracleGeneral.zst B-LRU cache size      668, 5800000 req, miss ratio 0.7241, byte miss ratio 0.7241
result/io_traces.ns650.oracleGeneral.zst B-LRU cache size     2229, 5800000 req, miss ratio 0.6389, byte miss ratio 0.6389
result/io_traces.ns650.oracleGeneral.zst B-LRU cache size     6689, 5800000 req, miss ratio 0.5941, byte miss ratio 0.5941
result/io_traces.ns650.oracleGeneral.zst B-LRU cache size    22296, 5800000 req, miss ratio 0.3447, byte miss ratio 0.3447
result/io_traces.ns650.oracleGeneral.zst B-LRU cache size    44593, 5800000 req, miss ratio 0.1259, byte miss ratio 0.1259
result/io_traces.ns650.oracleGeneral.zst B-LRU cache size    89187, 5800000 req, miss ratio 0.0728, byte miss ratio 0.0728
result/io_traces.ns650.oracleGeneral.zst B-LRU cache size   178375, 5800000 req, miss ratio 0.0703, byte miss ratio 0.0703
result/io_traces.ns650.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      222, 5800000 req, miss ratio 0.7289, byte miss ratio 0.7289
result/io_traces.ns650.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      668, 5800000 req, miss ratio 0.6837, byte miss ratio 0.6837
result/io_traces.ns650.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2229, 5800000 req, miss ratio 0.6217, byte miss ratio 0.6217
result/io_traces.ns650.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6689, 5800000 req, miss ratio 0.5551, byte miss ratio 0.5551
result/io_traces.ns650.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22296, 5800000 req, miss ratio 0.3825, byte miss ratio 0.3825
result/io_traces.ns650.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    44593, 5800000 req, miss ratio 0.1672, byte miss ratio 0.1672
result/io_traces.ns650.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    89187, 5800000 req, miss ratio 0.0566, byte miss ratio 0.0566
result/io_traces.ns650.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   178375, 5800000 req, miss ratio 0.0424, byte miss ratio 0.0424
result/io_traces.ns650.oracleGeneral.zst S4LRU(25:25:25:25) cache size      222, 5800000 req, miss ratio 0.7100, byte miss ratio 0.7100
result/io_traces.ns650.oracleGeneral.zst S4LRU(25:25:25:25) cache size      668, 5800000 req, miss ratio 0.6616, byte miss ratio 0.6616
result/io_traces.ns650.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2229, 5800000 req, miss ratio 0.6360, byte miss ratio 0.6360
result/io_traces.ns650.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6689, 5800000 req, miss ratio 0.5357, byte miss ratio 0.5357
result/io_traces.ns650.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22296, 5800000 req, miss ratio 0.4379, byte miss ratio 0.4379
result/io_traces.ns650.oracleGeneral.zst S4LRU(25:25:25:25) cache size    44593, 5800000 req, miss ratio 0.1040, byte miss ratio 0.1040
result/io_traces.ns650.oracleGeneral.zst S4LRU(25:25:25:25) cache size    89187, 5800000 req, miss ratio 0.0446, byte miss ratio 0.0446
result/io_traces.ns650.oracleGeneral.zst S4LRU(25:25:25:25) cache size   178375, 5800000 req, miss ratio 0.0391, byte miss ratio 0.0391
result/io_traces.ns650.oracleGeneral.zst TwoQ cache size      222, 5800000 req, miss ratio 0.6738, byte miss ratio 0.6738
result/io_traces.ns650.oracleGeneral.zst TwoQ cache size      668, 5800000 req, miss ratio 0.6561, byte miss ratio 0.6561
result/io_traces.ns650.oracleGeneral.zst TwoQ cache size     2229, 5800000 req, miss ratio 0.5606, byte miss ratio 0.5606
result/io_traces.ns650.oracleGeneral.zst TwoQ cache size     6689, 5800000 req, miss ratio 0.5449, byte miss ratio 0.5449
result/io_traces.ns650.oracleGeneral.zst TwoQ cache size    22296, 5800000 req, miss ratio 0.3314, byte miss ratio 0.3314
result/io_traces.ns650.oracleGeneral.zst TwoQ cache size    44593, 5800000 req, miss ratio 0.1198, byte miss ratio 0.1198
result/io_traces.ns650.oracleGeneral.zst TwoQ cache size    89187, 5800000 req, miss ratio 0.0527, byte miss ratio 0.0527
result/io_traces.ns650.oracleGeneral.zst TwoQ cache size   178375, 5800000 req, miss ratio 0.0449, byte miss ratio 0.0449
result/io_traces.ns650.oracleGeneral.zst S3FIFO cache size      222, 5800000 req, miss ratio 0.6682, byte miss ratio 0.6682
result/io_traces.ns650.oracleGeneral.zst S3FIFO cache size      668, 5800000 req, miss ratio 0.6419, byte miss ratio 0.6419
result/io_traces.ns650.oracleGeneral.zst S3FIFO cache size     2229, 5800000 req, miss ratio 0.5573, byte miss ratio 0.5573
result/io_traces.ns650.oracleGeneral.zst S3FIFO cache size     6689, 5800000 req, miss ratio 0.5406, byte miss ratio 0.5406
result/io_traces.ns650.oracleGeneral.zst S3FIFO cache size    22296, 5800000 req, miss ratio 0.3449, byte miss ratio 0.3449
result/io_traces.ns650.oracleGeneral.zst S3FIFO cache size    44593, 5800000 req, miss ratio 0.0966, byte miss ratio 0.0966
result/io_traces.ns650.oracleGeneral.zst S3FIFO cache size    89187, 5800000 req, miss ratio 0.0468, byte miss ratio 0.0468
result/io_traces.ns650.oracleGeneral.zst S3FIFO cache size   178375, 5800000 req, miss ratio 0.0389, byte miss ratio 0.0389
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d cache size      222, 5800000 req, miss ratio 0.6693, byte miss ratio 0.6693
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d cache size      668, 5800000 req, miss ratio 0.6305, byte miss ratio 0.6305
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d cache size     2229, 5800000 req, miss ratio 0.5573, byte miss ratio 0.5573
result/io_traces.ns650.oracleGeneral.zst S3FIFO-d cache size     6689, 5800000 req, miss ratio 0.5403, byte miss ratio 0.5403
