result/io_traces.ns672.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1324, 2000000 req, miss ratio 0.4344, byte miss ratio 0.4344
result/io_traces.ns672.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3973, 2000000 req, miss ratio 0.4301, byte miss ratio 0.4301
result/io_traces.ns672.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13244, 2000000 req, miss ratio 0.4063, byte miss ratio 0.4063
result/io_traces.ns672.oracleGeneral.zst S4LRU(25:25:25:25) cache size    26488, 2000000 req, miss ratio 0.2629, byte miss ratio 0.2629
result/io_traces.ns672.oracleGeneral.zst S4LRU(25:25:25:25) cache size    52976, 2000000 req, miss ratio 0.0857, byte miss ratio 0.0857
result/io_traces.ns672.oracleGeneral.zst S4LRU(25:25:25:25) cache size   105952, 2000000 req, miss ratio 0.0662, byte miss ratio 0.0662
result/io_traces.ns672.oracleGeneral.zst TwoQ cache size      132, 2000000 req, miss ratio 0.4448, byte miss ratio 0.4448
result/io_traces.ns672.oracleGeneral.zst TwoQ cache size      397, 2000000 req, miss ratio 0.4360, byte miss ratio 0.4360
result/io_traces.ns672.oracleGeneral.zst TwoQ cache size     1324, 2000000 req, miss ratio 0.4332, byte miss ratio 0.4332
result/io_traces.ns672.oracleGeneral.zst TwoQ cache size     3973, 2000000 req, miss ratio 0.4308, byte miss ratio 0.4308
result/io_traces.ns672.oracleGeneral.zst TwoQ cache size    13244, 2000000 req, miss ratio 0.3326, byte miss ratio 0.3326
result/io_traces.ns672.oracleGeneral.zst TwoQ cache size    26488, 2000000 req, miss ratio 0.2109, byte miss ratio 0.2109
result/io_traces.ns672.oracleGeneral.zst TwoQ cache size    52976, 2000000 req, miss ratio 0.0873, byte miss ratio 0.0873
result/io_traces.ns672.oracleGeneral.zst TwoQ cache size   105952, 2000000 req, miss ratio 0.0810, byte miss ratio 0.0810
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d cache size      132, 2000000 req, miss ratio 0.4427, byte miss ratio 0.4427
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d cache size      397, 2000000 req, miss ratio 0.4374, byte miss ratio 0.4374
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d cache size     1324, 2000000 req, miss ratio 0.4330, byte miss ratio 0.4330
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d cache size     3973, 2000000 req, miss ratio 0.4233, byte miss ratio 0.4233
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d cache size    13244, 2000000 req, miss ratio 0.3266, byte miss ratio 0.3266
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d cache size    26488, 2000000 req, miss ratio 0.2361, byte miss ratio 0.2361
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d cache size    52976, 2000000 req, miss ratio 0.0898, byte miss ratio 0.0898
result/io_traces.ns672.oracleGeneral.zst S3FIFO-d cache size   105952, 2000000 req, miss ratio 0.0683, byte miss ratio 0.0683
result/io_traces.ns672.oracleGeneral.zst S3FIFO cache size      132, 2000000 req, miss ratio 0.4463, byte miss ratio 0.4463
result/io_traces.ns672.oracleGeneral.zst S3FIFO cache size      397, 2000000 req, miss ratio 0.4380, byte miss ratio 0.4380
result/io_traces.ns672.oracleGeneral.zst S3FIFO cache size     1324, 2000000 req, miss ratio 0.4332, byte miss ratio 0.4332
result/io_traces.ns672.oracleGeneral.zst S3FIFO cache size     3973, 2000000 req, miss ratio 0.4233, byte miss ratio 0.4233
result/io_traces.ns672.oracleGeneral.zst S3FIFO cache size    13244, 2000000 req, miss ratio 0.3300, byte miss ratio 0.3300
result/io_traces.ns672.oracleGeneral.zst S3FIFO cache size    26488, 2000000 req, miss ratio 0.2335, byte miss ratio 0.2335
result/io_traces.ns672.oracleGeneral.zst S3FIFO cache size    52976, 2000000 req, miss ratio 0.0928, byte miss ratio 0.0928
result/io_traces.ns672.oracleGeneral.zst S3FIFO cache size   105952, 2000000 req, miss ratio 0.0686, byte miss ratio 0.0686
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      132, 2000000 req, miss ratio 0.5665, byte miss ratio 0.5665
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      397, 2000000 req, miss ratio 0.5356, byte miss ratio 0.5356
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1324, 2000000 req, miss ratio 0.4262, byte miss ratio 0.4262
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3973, 2000000 req, miss ratio 0.3993, byte miss ratio 0.3993
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13244, 2000000 req, miss ratio 0.3053, byte miss ratio 0.3053
result/io_traces.ns672.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    26488, 2000000 req, miss ratio 0.1791, byte miss ratio 0.1791
