result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size      266, 3200000 req, miss ratio 0.5877, byte miss ratio 0.5877
result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size      888, 3200000 req, miss ratio 0.5702, byte miss ratio 0.5702
result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size     2666, 3200000 req, miss ratio 0.5476, byte miss ratio 0.5476
result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size     8888, 3200000 req, miss ratio 0.5205, byte miss ratio 0.5205
result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size    17776, 3200000 req, miss ratio 0.4735, byte miss ratio 0.4735
result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size    35553, 3200000 req, miss ratio 0.4306, byte miss ratio 0.4306
result/io_traces.ns350.oracleGeneral.zst S3FIFO-1 cache size    71106, 3200000 req, miss ratio 0.0584, byte miss ratio 0.0584
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d-1 cache size       88, 3200000 req, miss ratio 0.6029, byte miss ratio 0.6029
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d-1 cache size      266, 3200000 req, miss ratio 0.5843, byte miss ratio 0.5843
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d-1 cache size      888, 3200000 req, miss ratio 0.5693, byte miss ratio 0.5693
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d-1 cache size     2666, 3200000 req, miss ratio 0.5475, byte miss ratio 0.5475
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d-1 cache size     8888, 3200000 req, miss ratio 0.5205, byte miss ratio 0.5205
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d-1 cache size    17776, 3200000 req, miss ratio 0.4732, byte miss ratio 0.4732
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d-1 cache size    35553, 3200000 req, miss ratio 0.4331, byte miss ratio 0.4331
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d-1 cache size    71106, 3200000 req, miss ratio 0.0569, byte miss ratio 0.0569
result/io_traces.ns350.oracleGeneral.zst LRB cache size       88, 3200000 req, miss ratio 0.6009, byte miss ratio 0.6009
result/io_traces.ns350.oracleGeneral.zst LRB cache size      266, 3200000 req, miss ratio 0.5810, byte miss ratio 0.5810
result/io_traces.ns350.oracleGeneral.zst LRB cache size      888, 3200000 req, miss ratio 0.5645, byte miss ratio 0.5645
result/io_traces.ns350.oracleGeneral.zst LRB cache size     2666, 3200000 req, miss ratio 0.5525, byte miss ratio 0.5525
result/io_traces.ns350.oracleGeneral.zst LRB cache size     8888, 3200000 req, miss ratio 0.5193, byte miss ratio 0.5193
result/io_traces.ns350.oracleGeneral.zst LRB cache size    17776, 3200000 req, miss ratio 0.4679, byte miss ratio 0.4679
result/io_traces.ns350.oracleGeneral.zst LRB cache size    35553, 3200000 req, miss ratio 0.3512, byte miss ratio 0.3512
result/io_traces.ns350.oracleGeneral.zst LRB cache size    71106, 3200000 req, miss ratio 0.0563, byte miss ratio 0.0563
result/io_traces.ns350.oracleGeneral.zst B-LRU cache size       88, 3200000 req, miss ratio 0.6816, byte miss ratio 0.6816
result/io_traces.ns350.oracleGeneral.zst B-LRU cache size      266, 3200000 req, miss ratio 0.6000, byte miss ratio 0.6000
result/io_traces.ns350.oracleGeneral.zst B-LRU cache size      888, 3200000 req, miss ratio 0.5798, byte miss ratio 0.5798
result/io_traces.ns350.oracleGeneral.zst B-LRU cache size     2666, 3200000 req, miss ratio 0.5718, byte miss ratio 0.5718
result/io_traces.ns350.oracleGeneral.zst B-LRU cache size     8888, 3200000 req, miss ratio 0.5663, byte miss ratio 0.5663
result/io_traces.ns350.oracleGeneral.zst B-LRU cache size    17776, 3200000 req, miss ratio 0.5512, byte miss ratio 0.5512
result/io_traces.ns350.oracleGeneral.zst B-LRU cache size    35553, 3200000 req, miss ratio 0.5121, byte miss ratio 0.5121
result/io_traces.ns350.oracleGeneral.zst B-LRU cache size    71106, 3200000 req, miss ratio 0.0774, byte miss ratio 0.0774
result/io_traces.ns350.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       88, 3200000 req, miss ratio 0.7543, byte miss ratio 0.7543
result/io_traces.ns350.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      266, 3200000 req, miss ratio 0.5979, byte miss ratio 0.5979
result/io_traces.ns350.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      888, 3200000 req, miss ratio 0.5783, byte miss ratio 0.5783
result/io_traces.ns350.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2666, 3200000 req, miss ratio 0.5699, byte miss ratio 0.5699
result/io_traces.ns350.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8888, 3200000 req, miss ratio 0.5540, byte miss ratio 0.5540
result/io_traces.ns350.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17776, 3200000 req, miss ratio 0.5166, byte miss ratio 0.5166
result/io_traces.ns350.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35553, 3200000 req, miss ratio 0.3931, byte miss ratio 0.3931
result/io_traces.ns350.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    71106, 3200000 req, miss ratio 0.0897, byte miss ratio 0.0897
result/io_traces.ns350.oracleGeneral.zst S4LRU(25:25:25:25) cache size       88, 3200000 req, miss ratio 0.6128, byte miss ratio 0.6128
result/io_traces.ns350.oracleGeneral.zst S4LRU(25:25:25:25) cache size      266, 3200000 req, miss ratio 0.5962, byte miss ratio 0.5962
result/io_traces.ns350.oracleGeneral.zst S4LRU(25:25:25:25) cache size      888, 3200000 req, miss ratio 0.5706, byte miss ratio 0.5706
result/io_traces.ns350.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2666, 3200000 req, miss ratio 0.5496, byte miss ratio 0.5496
result/io_traces.ns350.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8888, 3200000 req, miss ratio 0.5233, byte miss ratio 0.5233
result/io_traces.ns350.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17776, 3200000 req, miss ratio 0.4793, byte miss ratio 0.4793
result/io_traces.ns350.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35553, 3200000 req, miss ratio 0.3387, byte miss ratio 0.3387
result/io_traces.ns350.oracleGeneral.zst S4LRU(25:25:25:25) cache size    71106, 3200000 req, miss ratio 0.0575, byte miss ratio 0.0575
result/io_traces.ns350.oracleGeneral.zst TwoQ cache size       88, 3200000 req, miss ratio 0.6073, byte miss ratio 0.6073
result/io_traces.ns350.oracleGeneral.zst TwoQ cache size      266, 3200000 req, miss ratio 0.5896, byte miss ratio 0.5896
result/io_traces.ns350.oracleGeneral.zst TwoQ cache size      888, 3200000 req, miss ratio 0.5712, byte miss ratio 0.5712
result/io_traces.ns350.oracleGeneral.zst TwoQ cache size     2666, 3200000 req, miss ratio 0.5616, byte miss ratio 0.5616
result/io_traces.ns350.oracleGeneral.zst TwoQ cache size     8888, 3200000 req, miss ratio 0.5461, byte miss ratio 0.5461
result/io_traces.ns350.oracleGeneral.zst TwoQ cache size    17776, 3200000 req, miss ratio 0.4941, byte miss ratio 0.4941
result/io_traces.ns350.oracleGeneral.zst TwoQ cache size    35553, 3200000 req, miss ratio 0.3880, byte miss ratio 0.3880
result/io_traces.ns350.oracleGeneral.zst TwoQ cache size    71106, 3200000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d cache size       88, 3200000 req, miss ratio 0.6029, byte miss ratio 0.6029
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d cache size      266, 3200000 req, miss ratio 0.5882, byte miss ratio 0.5882
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d cache size      888, 3200000 req, miss ratio 0.5685, byte miss ratio 0.5685
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d cache size     2666, 3200000 req, miss ratio 0.5532, byte miss ratio 0.5532
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d cache size     8888, 3200000 req, miss ratio 0.5221, byte miss ratio 0.5221
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d cache size    17776, 3200000 req, miss ratio 0.4768, byte miss ratio 0.4768
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d cache size    35553, 3200000 req, miss ratio 0.4402, byte miss ratio 0.4402
result/io_traces.ns350.oracleGeneral.zst S3FIFO-d cache size    71106, 3200000 req, miss ratio 0.0607, byte miss ratio 0.0607
result/io_traces.ns350.oracleGeneral.zst S3FIFO cache size       88, 3200000 req, miss ratio 0.6029, byte miss ratio 0.6029
result/io_traces.ns350.oracleGeneral.zst S3FIFO cache size      266, 3200000 req, miss ratio 0.5885, byte miss ratio 0.5885
result/io_traces.ns350.oracleGeneral.zst S3FIFO cache size      888, 3200000 req, miss ratio 0.5688, byte miss ratio 0.5688
result/io_traces.ns350.oracleGeneral.zst S3FIFO cache size     2666, 3200000 req, miss ratio 0.5532, byte miss ratio 0.5532
result/io_traces.ns350.oracleGeneral.zst S3FIFO cache size     8888, 3200000 req, miss ratio 0.5221, byte miss ratio 0.5221
result/io_traces.ns350.oracleGeneral.zst S3FIFO cache size    17776, 3200000 req, miss ratio 0.4770, byte miss ratio 0.4770
result/io_traces.ns350.oracleGeneral.zst S3FIFO cache size    35553, 3200000 req, miss ratio 0.4280, byte miss ratio 0.4280
result/io_traces.ns350.oracleGeneral.zst S3FIFO cache size    71106, 3200000 req, miss ratio 0.0592, byte miss ratio 0.0592
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       88, 3200000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      266, 3200000 req, miss ratio 0.5956, byte miss ratio 0.5956
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      888, 3200000 req, miss ratio 0.5833, byte miss ratio 0.5833
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2666, 3200000 req, miss ratio 0.5584, byte miss ratio 0.5584
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8888, 3200000 req, miss ratio 0.5116, byte miss ratio 0.5116
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17776, 3200000 req, miss ratio 0.4590, byte miss ratio 0.4590
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    35553, 3200000 req, miss ratio 0.2938, byte miss ratio 0.2938
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    71106, 3200000 req, miss ratio 0.0520, byte miss ratio 0.0520
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       88, 3200000 req, miss ratio 0.6133, byte miss ratio 0.6133
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      266, 3200000 req, miss ratio 0.5976, byte miss ratio 0.5976
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      888, 3200000 req, miss ratio 0.5782, byte miss ratio 0.5782
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2666, 3200000 req, miss ratio 0.5541, byte miss ratio 0.5541
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8888, 3200000 req, miss ratio 0.5111, byte miss ratio 0.5111
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17776, 3200000 req, miss ratio 0.4647, byte miss ratio 0.4647
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    35553, 3200000 req, miss ratio 0.3141, byte miss ratio 0.3141
result/io_traces.ns350.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    71106, 3200000 req, miss ratio 0.0592, byte miss ratio 0.0592
