result/io_traces.ns270.oracleGeneral.zst LRB cache size     8598, 1200000 req, miss ratio 0.0990, byte miss ratio 0.0990
result/io_traces.ns270.oracleGeneral.zst LRB cache size    17196, 1200000 req, miss ratio 0.0544, byte miss ratio 0.0544
result/io_traces.ns270.oracleGeneral.zst LRB cache size    34392, 1200000 req, miss ratio 0.0363, byte miss ratio 0.0363
result/io_traces.ns270.oracleGeneral.zst S4LRU(25:25:25:25) cache size       42, 1200000 req, miss ratio 0.3578, byte miss ratio 0.3578
result/io_traces.ns270.oracleGeneral.zst S4LRU(25:25:25:25) cache size      128, 1200000 req, miss ratio 0.2319, byte miss ratio 0.2319
result/io_traces.ns270.oracleGeneral.zst S4LRU(25:25:25:25) cache size      429, 1200000 req, miss ratio 0.1814, byte miss ratio 0.1814
result/io_traces.ns270.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1289, 1200000 req, miss ratio 0.1569, byte miss ratio 0.1569
result/io_traces.ns270.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4299, 1200000 req, miss ratio 0.1380, byte miss ratio 0.1380
result/io_traces.ns270.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8598, 1200000 req, miss ratio 0.1134, byte miss ratio 0.1134
result/io_traces.ns270.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17196, 1200000 req, miss ratio 0.0660, byte miss ratio 0.0660
result/io_traces.ns270.oracleGeneral.zst S4LRU(25:25:25:25) cache size    34392, 1200000 req, miss ratio 0.0369, byte miss ratio 0.0369
result/io_traces.ns270.oracleGeneral.zst TwoQ cache size       42, 1200000 req, miss ratio 0.3223, byte miss ratio 0.3223
result/io_traces.ns270.oracleGeneral.zst TwoQ cache size      128, 1200000 req, miss ratio 0.2248, byte miss ratio 0.2248
result/io_traces.ns270.oracleGeneral.zst TwoQ cache size      429, 1200000 req, miss ratio 0.1713, byte miss ratio 0.1713
result/io_traces.ns270.oracleGeneral.zst TwoQ cache size     1289, 1200000 req, miss ratio 0.1519, byte miss ratio 0.1519
result/io_traces.ns270.oracleGeneral.zst TwoQ cache size     4299, 1200000 req, miss ratio 0.1269, byte miss ratio 0.1269
result/io_traces.ns270.oracleGeneral.zst TwoQ cache size     8598, 1200000 req, miss ratio 0.0988, byte miss ratio 0.0988
result/io_traces.ns270.oracleGeneral.zst TwoQ cache size    17196, 1200000 req, miss ratio 0.0629, byte miss ratio 0.0629
result/io_traces.ns270.oracleGeneral.zst TwoQ cache size    34392, 1200000 req, miss ratio 0.0443, byte miss ratio 0.0443
result/io_traces.ns270.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       42, 1200000 req, miss ratio 0.4799, byte miss ratio 0.4799
result/io_traces.ns270.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      128, 1200000 req, miss ratio 0.2659, byte miss ratio 0.2659
result/io_traces.ns270.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      429, 1200000 req, miss ratio 0.1940, byte miss ratio 0.1940
result/io_traces.ns270.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1289, 1200000 req, miss ratio 0.1662, byte miss ratio 0.1662
result/io_traces.ns270.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4299, 1200000 req, miss ratio 0.1389, byte miss ratio 0.1389
result/io_traces.ns270.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8598, 1200000 req, miss ratio 0.1154, byte miss ratio 0.1154
result/io_traces.ns270.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17196, 1200000 req, miss ratio 0.0790, byte miss ratio 0.0790
result/io_traces.ns270.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    34392, 1200000 req, miss ratio 0.0435, byte miss ratio 0.0435
result/io_traces.ns270.oracleGeneral.zst B-LRU cache size       42, 1200000 req, miss ratio 0.3942, byte miss ratio 0.3942
result/io_traces.ns270.oracleGeneral.zst B-LRU cache size      128, 1200000 req, miss ratio 0.2567, byte miss ratio 0.2567
result/io_traces.ns270.oracleGeneral.zst B-LRU cache size      429, 1200000 req, miss ratio 0.1944, byte miss ratio 0.1944
result/io_traces.ns270.oracleGeneral.zst B-LRU cache size     1289, 1200000 req, miss ratio 0.1730, byte miss ratio 0.1730
result/io_traces.ns270.oracleGeneral.zst B-LRU cache size     4299, 1200000 req, miss ratio 0.1453, byte miss ratio 0.1453
result/io_traces.ns270.oracleGeneral.zst B-LRU cache size     8598, 1200000 req, miss ratio 0.1113, byte miss ratio 0.1113
result/io_traces.ns270.oracleGeneral.zst B-LRU cache size    17196, 1200000 req, miss ratio 0.0788, byte miss ratio 0.0788
result/io_traces.ns270.oracleGeneral.zst B-LRU cache size    34392, 1200000 req, miss ratio 0.0640, byte miss ratio 0.0640
result/io_traces.ns270.oracleGeneral.zst S3FIFO cache size       42, 1200000 req, miss ratio 0.3106, byte miss ratio 0.3106
result/io_traces.ns270.oracleGeneral.zst S3FIFO cache size      128, 1200000 req, miss ratio 0.2205, byte miss ratio 0.2205
result/io_traces.ns270.oracleGeneral.zst S3FIFO cache size      429, 1200000 req, miss ratio 0.1722, byte miss ratio 0.1722
result/io_traces.ns270.oracleGeneral.zst S3FIFO cache size     1289, 1200000 req, miss ratio 0.1514, byte miss ratio 0.1514
result/io_traces.ns270.oracleGeneral.zst S3FIFO cache size     4299, 1200000 req, miss ratio 0.1262, byte miss ratio 0.1262
result/io_traces.ns270.oracleGeneral.zst S3FIFO cache size     8598, 1200000 req, miss ratio 0.1006, byte miss ratio 0.1006
result/io_traces.ns270.oracleGeneral.zst S3FIFO cache size    17196, 1200000 req, miss ratio 0.0614, byte miss ratio 0.0614
result/io_traces.ns270.oracleGeneral.zst S3FIFO cache size    34392, 1200000 req, miss ratio 0.0378, byte miss ratio 0.0378
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d cache size       42, 1200000 req, miss ratio 0.3796, byte miss ratio 0.3796
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d cache size      128, 1200000 req, miss ratio 0.2206, byte miss ratio 0.2206
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d cache size      429, 1200000 req, miss ratio 0.1714, byte miss ratio 0.1714
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d cache size     1289, 1200000 req, miss ratio 0.1513, byte miss ratio 0.1513
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d cache size     4299, 1200000 req, miss ratio 0.1263, byte miss ratio 0.1263
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d cache size     8598, 1200000 req, miss ratio 0.1007, byte miss ratio 0.1007
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d cache size    17196, 1200000 req, miss ratio 0.0615, byte miss ratio 0.0615
result/io_traces.ns270.oracleGeneral.zst S3FIFO-d cache size    34392, 1200000 req, miss ratio 0.0378, byte miss ratio 0.0378
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       42, 1200000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      128, 1200000 req, miss ratio 0.2549, byte miss ratio 0.2549
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      429, 1200000 req, miss ratio 0.2021, byte miss ratio 0.2021
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1289, 1200000 req, miss ratio 0.1579, byte miss ratio 0.1579
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4299, 1200000 req, miss ratio 0.1277, byte miss ratio 0.1277
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8598, 1200000 req, miss ratio 0.0985, byte miss ratio 0.0985
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17196, 1200000 req, miss ratio 0.0586, byte miss ratio 0.0586
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    34392, 1200000 req, miss ratio 0.0372, byte miss ratio 0.0372
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       42, 1200000 req, miss ratio 0.3254, byte miss ratio 0.3254
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      128, 1200000 req, miss ratio 0.2190, byte miss ratio 0.2190
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      429, 1200000 req, miss ratio 0.1729, byte miss ratio 0.1729
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1289, 1200000 req, miss ratio 0.1519, byte miss ratio 0.1519
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4299, 1200000 req, miss ratio 0.1299, byte miss ratio 0.1299
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8598, 1200000 req, miss ratio 0.0991, byte miss ratio 0.0991
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17196, 1200000 req, miss ratio 0.0579, byte miss ratio 0.0579
result/io_traces.ns270.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    34392, 1200000 req, miss ratio 0.0381, byte miss ratio 0.0381
