result/cluster26.oracleGeneral.sample10.zst clock2 cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst clock2 cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst clock2 cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst clock2 cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1223, 15519097 req, miss ratio 0.1059, byte miss ratio 0.1059
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     3671, 15519097 req, miss ratio 0.0803, byte miss ratio 0.0803
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    12237, 15519097 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRB cache size     1223, 15519097 req, miss ratio 0.0959, byte miss ratio 0.0959
result/cluster26.oracleGeneral.sample10.zst LRB cache size     3671, 15519097 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cluster26.oracleGeneral.sample10.zst LRB cache size    12237, 15519097 req, miss ratio 0.0796, byte miss ratio 0.0796
result/cluster26.oracleGeneral.sample10.zst LRB cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRB cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRB cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRB cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst LRB cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst TwoQ cache size     1223, 15519097 req, miss ratio 0.1586, byte miss ratio 0.1586
result/cluster26.oracleGeneral.sample10.zst TwoQ cache size     3671, 15519097 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cluster26.oracleGeneral.sample10.zst TwoQ cache size    12237, 15519097 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cluster26.oracleGeneral.sample10.zst TwoQ cache size    36713, 15519097 req, miss ratio 0.0790, byte miss ratio 0.0790
result/cluster26.oracleGeneral.sample10.zst TwoQ cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst TwoQ cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst TwoQ cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst TwoQ cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst B-LRU cache size     1223, 15519097 req, miss ratio 0.1740, byte miss ratio 0.1740
result/cluster26.oracleGeneral.sample10.zst B-LRU cache size     3671, 15519097 req, miss ratio 0.1588, byte miss ratio 0.1588
result/cluster26.oracleGeneral.sample10.zst B-LRU cache size    12237, 15519097 req, miss ratio 0.1584, byte miss ratio 0.1584
result/cluster26.oracleGeneral.sample10.zst B-LRU cache size    36713, 15519097 req, miss ratio 0.1577, byte miss ratio 0.1577
result/cluster26.oracleGeneral.sample10.zst B-LRU cache size   122379, 15519097 req, miss ratio 0.1577, byte miss ratio 0.1577
result/cluster26.oracleGeneral.sample10.zst B-LRU cache size   244758, 15519097 req, miss ratio 0.1576, byte miss ratio 0.1576
result/cluster26.oracleGeneral.sample10.zst B-LRU cache size   489516, 15519097 req, miss ratio 0.1576, byte miss ratio 0.1576
result/cluster26.oracleGeneral.sample10.zst B-LRU cache size   979032, 15519097 req, miss ratio 0.1576, byte miss ratio 0.1576
result/cluster26.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1223, 15519097 req, miss ratio 0.1686, byte miss ratio 0.1686
result/cluster26.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     3671, 15519097 req, miss ratio 0.0985, byte miss ratio 0.0985
result/cluster26.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    12237, 15519097 req, miss ratio 0.0838, byte miss ratio 0.0838
result/cluster26.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    36713, 15519097 req, miss ratio 0.0808, byte miss ratio 0.0808
result/cluster26.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   122379, 15519097 req, miss ratio 0.0793, byte miss ratio 0.0793
result/cluster26.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   244758, 15519097 req, miss ratio 0.0790, byte miss ratio 0.0790
result/cluster26.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1223, 15519097 req, miss ratio 0.0987, byte miss ratio 0.0987
result/cluster26.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     3671, 15519097 req, miss ratio 0.0801, byte miss ratio 0.0801
result/cluster26.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    12237, 15519097 req, miss ratio 0.0799, byte miss ratio 0.0799
result/cluster26.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    36713, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO cache size     1223, 15519097 req, miss ratio 0.1486, byte miss ratio 0.1486
result/cluster26.oracleGeneral.sample10.zst S3FIFO cache size     3671, 15519097 req, miss ratio 0.0816, byte miss ratio 0.0816
result/cluster26.oracleGeneral.sample10.zst S3FIFO cache size    12237, 15519097 req, miss ratio 0.0792, byte miss ratio 0.0792
result/cluster26.oracleGeneral.sample10.zst S3FIFO cache size    36713, 15519097 req, miss ratio 0.0790, byte miss ratio 0.0790
result/cluster26.oracleGeneral.sample10.zst S3FIFO cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d cache size     1223, 15519097 req, miss ratio 0.0967, byte miss ratio 0.0967
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d cache size     3671, 15519097 req, miss ratio 0.0804, byte miss ratio 0.0804
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d cache size    12237, 15519097 req, miss ratio 0.0791, byte miss ratio 0.0791
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d cache size    36713, 15519097 req, miss ratio 0.0790, byte miss ratio 0.0790
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d cache size   122379, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst S3FIFO-d cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     1223, 15519097 req, miss ratio 0.2808, byte miss ratio 0.2808
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     3671, 15519097 req, miss ratio 0.5190, byte miss ratio 0.5190
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    12237, 15519097 req, miss ratio 0.4821, byte miss ratio 0.4821
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    36713, 15519097 req, miss ratio 0.2663, byte miss ratio 0.2663
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   122379, 15519097 req, miss ratio 0.0821, byte miss ratio 0.0821
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   244758, 15519097 req, miss ratio 0.0792, byte miss ratio 0.0792
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   489516, 15519097 req, miss ratio 0.0790, byte miss ratio 0.0790
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     1223, 15519097 req, miss ratio 0.2743, byte miss ratio 0.2743
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     3671, 15519097 req, miss ratio 0.2641, byte miss ratio 0.2641
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    12237, 15519097 req, miss ratio 0.0833, byte miss ratio 0.0833
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    36713, 15519097 req, miss ratio 0.0792, byte miss ratio 0.0792
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   122379, 15519097 req, miss ratio 0.0790, byte miss ratio 0.0790
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   244758, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   489516, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cluster26.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   979032, 15519097 req, miss ratio 0.0789, byte miss ratio 0.0789
