result/cluster1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     2523, 820195910 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cluster1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst TwoQ cache size       12, 820195910 req, miss ratio 0.6741, byte miss ratio 0.6741
result/cluster1.oracleGeneral.sample10.zst TwoQ cache size       37, 820195910 req, miss ratio 0.3652, byte miss ratio 0.3652
result/cluster1.oracleGeneral.sample10.zst TwoQ cache size      126, 820195910 req, miss ratio 0.0798, byte miss ratio 0.0798
result/cluster1.oracleGeneral.sample10.zst TwoQ cache size      378, 820195910 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cluster1.oracleGeneral.sample10.zst TwoQ cache size     1261, 820195910 req, miss ratio 0.0008, byte miss ratio 0.0008
result/cluster1.oracleGeneral.sample10.zst TwoQ cache size     2523, 820195910 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cluster1.oracleGeneral.sample10.zst TwoQ cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst TwoQ cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst B-LRU cache size       12, 820195910 req, miss ratio 0.6369, byte miss ratio 0.6369
result/cluster1.oracleGeneral.sample10.zst B-LRU cache size       37, 820195910 req, miss ratio 0.3717, byte miss ratio 0.3717
result/cluster1.oracleGeneral.sample10.zst B-LRU cache size      126, 820195910 req, miss ratio 0.0820, byte miss ratio 0.0820
result/cluster1.oracleGeneral.sample10.zst B-LRU cache size      378, 820195910 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cluster1.oracleGeneral.sample10.zst B-LRU cache size     1261, 820195910 req, miss ratio 0.0007, byte miss ratio 0.0007
result/cluster1.oracleGeneral.sample10.zst B-LRU cache size     2523, 820195910 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cluster1.oracleGeneral.sample10.zst B-LRU cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst B-LRU cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst S3FIFO cache size       12, 820195910 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cluster1.oracleGeneral.sample10.zst S3FIFO cache size       37, 820195910 req, miss ratio 0.3739, byte miss ratio 0.3739
result/cluster1.oracleGeneral.sample10.zst S3FIFO cache size      126, 820195910 req, miss ratio 0.0676, byte miss ratio 0.0676
result/cluster1.oracleGeneral.sample10.zst S3FIFO cache size      378, 820195910 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cluster1.oracleGeneral.sample10.zst S3FIFO cache size     1261, 820195910 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cluster1.oracleGeneral.sample10.zst S3FIFO cache size     2523, 820195910 req, miss ratio 0.0001, byte miss ratio 0.0001
result/cluster1.oracleGeneral.sample10.zst S3FIFO cache size     5046, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cluster1.oracleGeneral.sample10.zst S3FIFO cache size    10093, 820195910 req, miss ratio 0.0000, byte miss ratio 0.0000
