result/cluster36.oracleGeneral.sample10.zst S3FIFO cache size    21341, 541003154 req, miss ratio 0.1454, byte miss ratio 0.1454
result/cluster36.oracleGeneral.sample10.zst S3FIFO cache size    71139, 541003154 req, miss ratio 0.1024, byte miss ratio 0.1024
result/cluster36.oracleGeneral.sample10.zst S3FIFO cache size   213419, 541003154 req, miss ratio 0.0731, byte miss ratio 0.0731
result/cluster36.oracleGeneral.sample10.zst S3FIFO cache size   711399, 541003154 req, miss ratio 0.0397, byte miss ratio 0.0397
result/cluster36.oracleGeneral.sample10.zst S3FIFO cache size  1422799, 541003154 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cluster36.oracleGeneral.sample10.zst S3FIFO cache size  2845598, 541003154 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cluster36.oracleGeneral.sample10.zst S3FIFO cache size  5691197, 541003154 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cluster36.oracleGeneral.sample10.zst S3FIFO-d cache size     7113, 541003154 req, miss ratio 0.1989, byte miss ratio 0.1989
result/cluster36.oracleGeneral.sample10.zst S3FIFO-d cache size    21341, 541003154 req, miss ratio 0.1467, byte miss ratio 0.1467
result/cluster36.oracleGeneral.sample10.zst S3FIFO-d cache size    71139, 541003154 req, miss ratio 0.1024, byte miss ratio 0.1024
result/cluster36.oracleGeneral.sample10.zst S3FIFO-d cache size   213419, 541003154 req, miss ratio 0.0712, byte miss ratio 0.0712
result/cluster36.oracleGeneral.sample10.zst S3FIFO-d cache size   711399, 541003154 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cluster36.oracleGeneral.sample10.zst S3FIFO-d cache size  1422799, 541003154 req, miss ratio 0.0261, byte miss ratio 0.0261
result/cluster36.oracleGeneral.sample10.zst S3FIFO-d cache size  2845598, 541003154 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cluster36.oracleGeneral.sample10.zst S3FIFO-d cache size  5691197, 541003154 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size     7113, 541003154 req, miss ratio 0.1958, byte miss ratio 0.1958
result/cluster36.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    21341, 541003154 req, miss ratio 0.1426, byte miss ratio 0.1426
