result/cluster46.oracleGeneral.sample10.zst S3FIFO-1 cache size  3476562, 676371275 req, miss ratio 0.1968, byte miss ratio 0.1968
result/cluster46.oracleGeneral.sample10.zst S3FIFO-1 cache size 11588541, 676371275 req, miss ratio 0.1861, byte miss ratio 0.1861
result/cluster46.oracleGeneral.sample10.zst S3FIFO-1 cache size 23177083, 676371275 req, miss ratio 0.1796, byte miss ratio 0.1796
result/cluster46.oracleGeneral.sample10.zst S3FIFO-1 cache size 46354167, 676371275 req, miss ratio 0.1760, byte miss ratio 0.1760
result/cluster46.oracleGeneral.sample10.zst S3FIFO-1 cache size 92708334, 676371275 req, miss ratio 0.1726, byte miss ratio 0.1726
result/cluster46.oracleGeneral.sample10.zst Cacheus cache size   115885, 676371275 req, miss ratio 0.2387, byte miss ratio 0.2387
result/cluster46.oracleGeneral.sample10.zst Cacheus cache size   347656, 676371275 req, miss ratio 0.2268, byte miss ratio 0.2268
result/cluster46.oracleGeneral.sample10.zst Cacheus cache size  1158854, 676371275 req, miss ratio 0.2128, byte miss ratio 0.2128
result/cluster46.oracleGeneral.sample10.zst Cacheus cache size  3476562, 676371275 req, miss ratio 0.2037, byte miss ratio 0.2037
result/cluster46.oracleGeneral.sample10.zst Cacheus cache size 11588541, 676371275 req, miss ratio 0.1892, byte miss ratio 0.1892
result/cluster46.oracleGeneral.sample10.zst Cacheus cache size 23177083, 676371275 req, miss ratio 0.1807, byte miss ratio 0.1807
result/cluster46.oracleGeneral.sample10.zst Cacheus cache size 46354167, 676371275 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cluster46.oracleGeneral.sample10.zst Cacheus cache size 92708334, 676371275 req, miss ratio 0.1719, byte miss ratio 0.1719
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   115885, 676371275 req, miss ratio 0.2347, byte miss ratio 0.2347
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   347656, 676371275 req, miss ratio 0.2205, byte miss ratio 0.2205
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1158854, 676371275 req, miss ratio 0.2076, byte miss ratio 0.2076
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3476562, 676371275 req, miss ratio 0.1967, byte miss ratio 0.1967
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 11588541, 676371275 req, miss ratio 0.1859, byte miss ratio 0.1859
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 23177083, 676371275 req, miss ratio 0.1797, byte miss ratio 0.1797
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 46354167, 676371275 req, miss ratio 0.1766, byte miss ratio 0.1766
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 92708334, 676371275 req, miss ratio 0.1731, byte miss ratio 0.1731
result/cluster46.oracleGeneral.sample10.zst LRB cache size   115885, 676371275 req, miss ratio 0.2219, byte miss ratio 0.2219
result/cluster46.oracleGeneral.sample10.zst LRB cache size   347656, 676371275 req, miss ratio 0.2104, byte miss ratio 0.2104
result/cluster46.oracleGeneral.sample10.zst LRB cache size  1158854, 676371275 req, miss ratio 0.2011, byte miss ratio 0.2011
result/cluster46.oracleGeneral.sample10.zst LRB cache size  3476562, 676371275 req, miss ratio 0.1942, byte miss ratio 0.1942
result/cluster46.oracleGeneral.sample10.zst LRB cache size 11588541, 676371275 req, miss ratio 0.1884, byte miss ratio 0.1884
result/cluster46.oracleGeneral.sample10.zst LRB cache size 23177083, 676371275 req, miss ratio 0.1807, byte miss ratio 0.1807
result/cluster46.oracleGeneral.sample10.zst LRB cache size 46354167, 676371275 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cluster46.oracleGeneral.sample10.zst LRB cache size 92708334, 676371275 req, miss ratio 0.1716, byte miss ratio 0.1716
result/cluster46.oracleGeneral.sample10.zst TwoQ cache size   115885, 676371275 req, miss ratio 0.2228, byte miss ratio 0.2228
result/cluster46.oracleGeneral.sample10.zst TwoQ cache size   347656, 676371275 req, miss ratio 0.2115, byte miss ratio 0.2115
result/cluster46.oracleGeneral.sample10.zst TwoQ cache size  1158854, 676371275 req, miss ratio 0.2011, byte miss ratio 0.2011
result/cluster46.oracleGeneral.sample10.zst TwoQ cache size  3476562, 676371275 req, miss ratio 0.1942, byte miss ratio 0.1942
result/cluster46.oracleGeneral.sample10.zst TwoQ cache size 11588541, 676371275 req, miss ratio 0.1870, byte miss ratio 0.1870
result/cluster46.oracleGeneral.sample10.zst TwoQ cache size 23177083, 676371275 req, miss ratio 0.1819, byte miss ratio 0.1819
result/cluster46.oracleGeneral.sample10.zst TwoQ cache size 46354167, 676371275 req, miss ratio 0.1778, byte miss ratio 0.1778
result/cluster46.oracleGeneral.sample10.zst TwoQ cache size 92708334, 676371275 req, miss ratio 0.1731, byte miss ratio 0.1731
result/cluster46.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   115885, 676371275 req, miss ratio 0.2370, byte miss ratio 0.2370
result/cluster46.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   347656, 676371275 req, miss ratio 0.2234, byte miss ratio 0.2234
result/cluster46.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1158854, 676371275 req, miss ratio 0.2100, byte miss ratio 0.2100
result/cluster46.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3476562, 676371275 req, miss ratio 0.1983, byte miss ratio 0.1983
result/cluster46.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 11588541, 676371275 req, miss ratio 0.1862, byte miss ratio 0.1862
result/cluster46.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 23177083, 676371275 req, miss ratio 0.1799, byte miss ratio 0.1799
result/cluster46.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 46354167, 676371275 req, miss ratio 0.1744, byte miss ratio 0.1744
result/cluster46.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 92708334, 676371275 req, miss ratio 0.1716, byte miss ratio 0.1716
result/cluster46.oracleGeneral.sample10.zst B-LRU cache size   115885, 676371275 req, miss ratio 0.4098, byte miss ratio 0.4098
result/cluster46.oracleGeneral.sample10.zst B-LRU cache size   347656, 676371275 req, miss ratio 0.3965, byte miss ratio 0.3965
result/cluster46.oracleGeneral.sample10.zst B-LRU cache size  1158854, 676371275 req, miss ratio 0.3826, byte miss ratio 0.3826
result/cluster46.oracleGeneral.sample10.zst B-LRU cache size  3476562, 676371275 req, miss ratio 0.3711, byte miss ratio 0.3711
result/cluster46.oracleGeneral.sample10.zst B-LRU cache size 11588541, 676371275 req, miss ratio 0.3603, byte miss ratio 0.3603
result/cluster46.oracleGeneral.sample10.zst B-LRU cache size 23177083, 676371275 req, miss ratio 0.3518, byte miss ratio 0.3518
result/cluster46.oracleGeneral.sample10.zst B-LRU cache size 46354167, 676371275 req, miss ratio 0.3463, byte miss ratio 0.3463
result/cluster46.oracleGeneral.sample10.zst B-LRU cache size 92708334, 676371275 req, miss ratio 0.3427, byte miss ratio 0.3427
result/cluster46.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   115885, 676371275 req, miss ratio 0.2329, byte miss ratio 0.2329
result/cluster46.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   347656, 676371275 req, miss ratio 0.2199, byte miss ratio 0.2199
result/cluster46.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1158854, 676371275 req, miss ratio 0.2074, byte miss ratio 0.2074
result/cluster46.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3476562, 676371275 req, miss ratio 0.1963, byte miss ratio 0.1963
result/cluster46.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 11588541, 676371275 req, miss ratio 0.1852, byte miss ratio 0.1852
result/cluster46.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 23177083, 676371275 req, miss ratio 0.1794, byte miss ratio 0.1794
result/cluster46.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 46354167, 676371275 req, miss ratio 0.1747, byte miss ratio 0.1747
result/cluster46.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 92708334, 676371275 req, miss ratio 0.1716, byte miss ratio 0.1716
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d cache size   115885, 676371275 req, miss ratio 0.2362, byte miss ratio 0.2362
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d cache size   347656, 676371275 req, miss ratio 0.2233, byte miss ratio 0.2233
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d cache size  1158854, 676371275 req, miss ratio 0.2106, byte miss ratio 0.2106
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d cache size  3476562, 676371275 req, miss ratio 0.2004, byte miss ratio 0.2004
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d cache size 11588541, 676371275 req, miss ratio 0.1867, byte miss ratio 0.1867
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d cache size 23177083, 676371275 req, miss ratio 0.1835, byte miss ratio 0.1835
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d cache size 46354167, 676371275 req, miss ratio 0.1792, byte miss ratio 0.1792
result/cluster46.oracleGeneral.sample10.zst S3FIFO-d cache size 92708334, 676371275 req, miss ratio 0.1717, byte miss ratio 0.1717
result/cluster46.oracleGeneral.sample10.zst S3FIFO cache size   115885, 676371275 req, miss ratio 0.2321, byte miss ratio 0.2321
result/cluster46.oracleGeneral.sample10.zst S3FIFO cache size   347656, 676371275 req, miss ratio 0.2194, byte miss ratio 0.2194
result/cluster46.oracleGeneral.sample10.zst S3FIFO cache size  1158854, 676371275 req, miss ratio 0.2070, byte miss ratio 0.2070
result/cluster46.oracleGeneral.sample10.zst S3FIFO cache size  3476562, 676371275 req, miss ratio 0.1966, byte miss ratio 0.1966
result/cluster46.oracleGeneral.sample10.zst S3FIFO cache size 11588541, 676371275 req, miss ratio 0.1856, byte miss ratio 0.1856
result/cluster46.oracleGeneral.sample10.zst S3FIFO cache size 23177083, 676371275 req, miss ratio 0.1801, byte miss ratio 0.1801
result/cluster46.oracleGeneral.sample10.zst S3FIFO cache size 46354167, 676371275 req, miss ratio 0.1762, byte miss ratio 0.1762
result/cluster46.oracleGeneral.sample10.zst S3FIFO cache size 92708334, 676371275 req, miss ratio 0.1717, byte miss ratio 0.1717
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   115885, 676371275 req, miss ratio 0.2272, byte miss ratio 0.2272
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   347656, 676371275 req, miss ratio 0.2186, byte miss ratio 0.2186
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1158854, 676371275 req, miss ratio 0.2053, byte miss ratio 0.2053
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3476562, 676371275 req, miss ratio 0.1980, byte miss ratio 0.1980
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 11588541, 676371275 req, miss ratio 0.1889, byte miss ratio 0.1889
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 23177083, 676371275 req, miss ratio 0.1835, byte miss ratio 0.1835
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 46354167, 676371275 req, miss ratio 0.1780, byte miss ratio 0.1780
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 92708334, 676371275 req, miss ratio 0.1725, byte miss ratio 0.1725
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   115885, 676371275 req, miss ratio 0.2223, byte miss ratio 0.2223
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   347656, 676371275 req, miss ratio 0.2121, byte miss ratio 0.2121
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1158854, 676371275 req, miss ratio 0.2036, byte miss ratio 0.2036
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3476562, 676371275 req, miss ratio 0.1963, byte miss ratio 0.1963
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 11588541, 676371275 req, miss ratio 0.1877, byte miss ratio 0.1877
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 23177083, 676371275 req, miss ratio 0.1833, byte miss ratio 0.1833
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 46354167, 676371275 req, miss ratio 0.1781, byte miss ratio 0.1781
result/cluster46.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 92708334, 676371275 req, miss ratio 0.1727, byte miss ratio 0.1727
