result/cluster19.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    98493, 200696850 req, miss ratio 0.5990, byte miss ratio 0.5990
result/cluster19.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   328313, 200696850 req, miss ratio 0.5085, byte miss ratio 0.5085
result/cluster19.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   984939, 200696850 req, miss ratio 0.3561, byte miss ratio 0.3561
result/cluster19.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3283131, 200696850 req, miss ratio 0.2422, byte miss ratio 0.2422
result/cluster19.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  6566263, 200696850 req, miss ratio 0.2038, byte miss ratio 0.2038
result/cluster19.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 13132526, 200696850 req, miss ratio 0.1775, byte miss ratio 0.1775
result/cluster19.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size 26265052, 200696850 req, miss ratio 0.1657, byte miss ratio 0.1657
result/cluster19.oracleGeneral.sample10.zst TwoQ cache size    32831, 200696850 req, miss ratio 0.6171, byte miss ratio 0.6171
result/cluster19.oracleGeneral.sample10.zst TwoQ cache size    98493, 200696850 req, miss ratio 0.5718, byte miss ratio 0.5718
result/cluster19.oracleGeneral.sample10.zst TwoQ cache size   328313, 200696850 req, miss ratio 0.4727, byte miss ratio 0.4727
result/cluster19.oracleGeneral.sample10.zst TwoQ cache size   984939, 200696850 req, miss ratio 0.3479, byte miss ratio 0.3479
result/cluster19.oracleGeneral.sample10.zst TwoQ cache size  3283131, 200696850 req, miss ratio 0.2500, byte miss ratio 0.2500
result/cluster19.oracleGeneral.sample10.zst TwoQ cache size  6566263, 200696850 req, miss ratio 0.2003, byte miss ratio 0.2003
result/cluster19.oracleGeneral.sample10.zst TwoQ cache size 13132526, 200696850 req, miss ratio 0.1827, byte miss ratio 0.1827
result/cluster19.oracleGeneral.sample10.zst TwoQ cache size 26265052, 200696850 req, miss ratio 0.1686, byte miss ratio 0.1686
result/cluster19.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    32831, 200696850 req, miss ratio 0.6471, byte miss ratio 0.6471
result/cluster19.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    98493, 200696850 req, miss ratio 0.5861, byte miss ratio 0.5861
result/cluster19.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   328313, 200696850 req, miss ratio 0.5029, byte miss ratio 0.5029
result/cluster19.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   984939, 200696850 req, miss ratio 0.3385, byte miss ratio 0.3385
result/cluster19.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3283131, 200696850 req, miss ratio 0.2254, byte miss ratio 0.2254
result/cluster19.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  6566263, 200696850 req, miss ratio 0.1945, byte miss ratio 0.1945
result/cluster19.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 13132526, 200696850 req, miss ratio 0.1752, byte miss ratio 0.1752
result/cluster19.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size 26265052, 200696850 req, miss ratio 0.1647, byte miss ratio 0.1647
result/cluster19.oracleGeneral.sample10.zst B-LRU cache size    32831, 200696850 req, miss ratio 0.7856, byte miss ratio 0.7856
result/cluster19.oracleGeneral.sample10.zst B-LRU cache size    98493, 200696850 req, miss ratio 0.7432, byte miss ratio 0.7432
result/cluster19.oracleGeneral.sample10.zst B-LRU cache size   328313, 200696850 req, miss ratio 0.6389, byte miss ratio 0.6389
result/cluster19.oracleGeneral.sample10.zst B-LRU cache size   984939, 200696850 req, miss ratio 0.4745, byte miss ratio 0.4745
result/cluster19.oracleGeneral.sample10.zst B-LRU cache size  3283131, 200696850 req, miss ratio 0.3753, byte miss ratio 0.3753
result/cluster19.oracleGeneral.sample10.zst B-LRU cache size  6566263, 200696850 req, miss ratio 0.3445, byte miss ratio 0.3445
result/cluster19.oracleGeneral.sample10.zst B-LRU cache size 13132526, 200696850 req, miss ratio 0.3268, byte miss ratio 0.3268
result/cluster19.oracleGeneral.sample10.zst B-LRU cache size 26265052, 200696850 req, miss ratio 0.3169, byte miss ratio 0.3169
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d cache size    32831, 200696850 req, miss ratio 0.6141, byte miss ratio 0.6141
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d cache size    98493, 200696850 req, miss ratio 0.5642, byte miss ratio 0.5642
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d cache size   328313, 200696850 req, miss ratio 0.4673, byte miss ratio 0.4673
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d cache size   984939, 200696850 req, miss ratio 0.3280, byte miss ratio 0.3280
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d cache size  3283131, 200696850 req, miss ratio 0.2306, byte miss ratio 0.2306
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d cache size  6566263, 200696850 req, miss ratio 0.1992, byte miss ratio 0.1992
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d cache size 13132526, 200696850 req, miss ratio 0.1845, byte miss ratio 0.1845
result/cluster19.oracleGeneral.sample10.zst S3FIFO-d cache size 26265052, 200696850 req, miss ratio 0.1647, byte miss ratio 0.1647
result/cluster19.oracleGeneral.sample10.zst S3FIFO cache size    32831, 200696850 req, miss ratio 0.6141, byte miss ratio 0.6141
result/cluster19.oracleGeneral.sample10.zst S3FIFO cache size    98493, 200696850 req, miss ratio 0.5649, byte miss ratio 0.5649
result/cluster19.oracleGeneral.sample10.zst S3FIFO cache size   328313, 200696850 req, miss ratio 0.4583, byte miss ratio 0.4583
result/cluster19.oracleGeneral.sample10.zst S3FIFO cache size   984939, 200696850 req, miss ratio 0.3440, byte miss ratio 0.3440
result/cluster19.oracleGeneral.sample10.zst S3FIFO cache size  3283131, 200696850 req, miss ratio 0.2378, byte miss ratio 0.2378
result/cluster19.oracleGeneral.sample10.zst S3FIFO cache size  6566263, 200696850 req, miss ratio 0.2010, byte miss ratio 0.2010
result/cluster19.oracleGeneral.sample10.zst S3FIFO cache size 13132526, 200696850 req, miss ratio 0.1772, byte miss ratio 0.1772
result/cluster19.oracleGeneral.sample10.zst S3FIFO cache size 26265052, 200696850 req, miss ratio 0.1647, byte miss ratio 0.1647
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    32831, 200696850 req, miss ratio 0.6407, byte miss ratio 0.6407
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    98493, 200696850 req, miss ratio 0.5933, byte miss ratio 0.5933
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   328313, 200696850 req, miss ratio 0.5819, byte miss ratio 0.5819
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   984939, 200696850 req, miss ratio 0.5189, byte miss ratio 0.5189
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  3283131, 200696850 req, miss ratio 0.4034, byte miss ratio 0.4034
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  6566263, 200696850 req, miss ratio 0.2795, byte miss ratio 0.2795
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 13132526, 200696850 req, miss ratio 0.2276, byte miss ratio 0.2276
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 26265052, 200696850 req, miss ratio 0.1769, byte miss ratio 0.1769
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    32831, 200696850 req, miss ratio 0.6380, byte miss ratio 0.6380
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    98493, 200696850 req, miss ratio 0.5923, byte miss ratio 0.5923
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   328313, 200696850 req, miss ratio 0.5053, byte miss ratio 0.5053
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   984939, 200696850 req, miss ratio 0.4152, byte miss ratio 0.4152
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  3283131, 200696850 req, miss ratio 0.3066, byte miss ratio 0.3066
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  6566263, 200696850 req, miss ratio 0.2441, byte miss ratio 0.2441
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 13132526, 200696850 req, miss ratio 0.1992, byte miss ratio 0.1992
result/cluster19.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 26265052, 200696850 req, miss ratio 0.1685, byte miss ratio 0.1685
