result/cluster53.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    72644, 26142189 req, miss ratio 0.0512, byte miss ratio 0.0512
result/cluster53.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   145289, 26142189 req, miss ratio 0.0383, byte miss ratio 0.0383
result/cluster53.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   290578, 26142189 req, miss ratio 0.0299, byte miss ratio 0.0299
result/cluster53.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   581156, 26142189 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cluster53.oracleGeneral.sample10.zst TwoQ cache size      726, 26142189 req, miss ratio 0.3419, byte miss ratio 0.3419
result/cluster53.oracleGeneral.sample10.zst TwoQ cache size     2179, 26142189 req, miss ratio 0.2146, byte miss ratio 0.2146
result/cluster53.oracleGeneral.sample10.zst TwoQ cache size     7264, 26142189 req, miss ratio 0.1358, byte miss ratio 0.1358
result/cluster53.oracleGeneral.sample10.zst TwoQ cache size    21793, 26142189 req, miss ratio 0.0846, byte miss ratio 0.0846
result/cluster53.oracleGeneral.sample10.zst TwoQ cache size    72644, 26142189 req, miss ratio 0.0526, byte miss ratio 0.0526
result/cluster53.oracleGeneral.sample10.zst TwoQ cache size   145289, 26142189 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cluster53.oracleGeneral.sample10.zst TwoQ cache size   290578, 26142189 req, miss ratio 0.0332, byte miss ratio 0.0332
result/cluster53.oracleGeneral.sample10.zst TwoQ cache size   581156, 26142189 req, miss ratio 0.0297, byte miss ratio 0.0297
result/cluster53.oracleGeneral.sample10.zst S3FIFO cache size      726, 26142189 req, miss ratio 0.3282, byte miss ratio 0.3282
result/cluster53.oracleGeneral.sample10.zst S3FIFO cache size     2179, 26142189 req, miss ratio 0.2100, byte miss ratio 0.2100
result/cluster53.oracleGeneral.sample10.zst S3FIFO cache size     7264, 26142189 req, miss ratio 0.1319, byte miss ratio 0.1319
result/cluster53.oracleGeneral.sample10.zst S3FIFO cache size    21793, 26142189 req, miss ratio 0.0813, byte miss ratio 0.0813
result/cluster53.oracleGeneral.sample10.zst S3FIFO cache size    72644, 26142189 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cluster53.oracleGeneral.sample10.zst S3FIFO cache size   145289, 26142189 req, miss ratio 0.0351, byte miss ratio 0.0351
result/cluster53.oracleGeneral.sample10.zst S3FIFO cache size   290578, 26142189 req, miss ratio 0.0297, byte miss ratio 0.0297
result/cluster53.oracleGeneral.sample10.zst S3FIFO cache size   581156, 26142189 req, miss ratio 0.0279, byte miss ratio 0.0279
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d cache size      726, 26142189 req, miss ratio 0.3534, byte miss ratio 0.3534
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d cache size     2179, 26142189 req, miss ratio 0.2110, byte miss ratio 0.2110
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d cache size     7264, 26142189 req, miss ratio 0.1321, byte miss ratio 0.1321
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d cache size    21793, 26142189 req, miss ratio 0.0813, byte miss ratio 0.0813
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d cache size    72644, 26142189 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d cache size   145289, 26142189 req, miss ratio 0.0351, byte miss ratio 0.0351
result/cluster53.oracleGeneral.sample10.zst S3FIFO-d cache size   290578, 26142189 req, miss ratio 0.0297, byte miss ratio 0.0297
