result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    29030, 88470732 req, miss ratio 0.5892, byte miss ratio 0.5892
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    87090, 88470732 req, miss ratio 0.5620, byte miss ratio 0.5620
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   290302, 88470732 req, miss ratio 0.5289, byte miss ratio 0.5289
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   870908, 88470732 req, miss ratio 0.4910, byte miss ratio 0.4910
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2903028, 88470732 req, miss ratio 0.4353, byte miss ratio 0.4353
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  5806056, 88470732 req, miss ratio 0.3970, byte miss ratio 0.3970
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 11612112, 88470732 req, miss ratio 0.3642, byte miss ratio 0.3642
result/meta_rprn.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 23224225, 88470732 req, miss ratio 0.3356, byte miss ratio 0.3356
result/meta_rprn.oracleGeneral.zst    S3FIFO cache size    29030, 88470732 req, miss ratio 0.5765, byte miss ratio 0.5765
result/meta_rprn.oracleGeneral.zst    S3FIFO cache size    87090, 88470732 req, miss ratio 0.5478, byte miss ratio 0.5478
result/meta_rprn.oracleGeneral.zst    S3FIFO cache size   290302, 88470732 req, miss ratio 0.5116, byte miss ratio 0.5116
result/meta_rprn.oracleGeneral.zst    S3FIFO cache size   870908, 88470732 req, miss ratio 0.4735, byte miss ratio 0.4735
result/meta_rprn.oracleGeneral.zst    S3FIFO cache size  2903028, 88470732 req, miss ratio 0.4183, byte miss ratio 0.4183
result/meta_rprn.oracleGeneral.zst    S3FIFO cache size  5806056, 88470732 req, miss ratio 0.3863, byte miss ratio 0.3863
result/meta_rprn.oracleGeneral.zst    S3FIFO cache size 11612112, 88470732 req, miss ratio 0.3575, byte miss ratio 0.3575
result/meta_rprn.oracleGeneral.zst    S3FIFO cache size 23224225, 88470732 req, miss ratio 0.3312, byte miss ratio 0.3312
result/meta_rprn.oracleGeneral.zst                          Cacheus cache size    29030, 88470732 req, miss ratio 0.5860, byte miss ratio 0.5860
result/meta_rprn.oracleGeneral.zst                          Cacheus cache size    87090, 88470732 req, miss ratio 0.5570, byte miss ratio 0.5570
result/meta_rprn.oracleGeneral.zst                          Cacheus cache size   290302, 88470732 req, miss ratio 0.5218, byte miss ratio 0.5218
result/meta_rprn.oracleGeneral.zst                          Cacheus cache size   870908, 88470732 req, miss ratio 0.4816, byte miss ratio 0.4816
result/meta_rprn.oracleGeneral.zst                          Cacheus cache size  2903028, 88470732 req, miss ratio 0.4309, byte miss ratio 0.4309
result/meta_rprn.oracleGeneral.zst                          Cacheus cache size  5806056, 88470732 req, miss ratio 0.3894, byte miss ratio 0.3894
