result/meta_rnha.oracleGeneral.zst                          Cacheus cache size 28032224, 96680668 req, miss ratio 0.3674, byte miss ratio 0.3674
result/meta_rnha.oracleGeneral.zst                            B-LRU cache size    35040, 96680668 req, miss ratio 0.7183, byte miss ratio 0.7183  
result/meta_rnha.oracleGeneral.zst                            B-LRU cache size   105120, 96680668 req, miss ratio 0.6918, byte miss ratio 0.6918  
result/meta_rnha.oracleGeneral.zst                            B-LRU cache size   350402, 96680668 req, miss ratio 0.6519, byte miss ratio 0.6519  
result/meta_rnha.oracleGeneral.zst                            B-LRU cache size  1051208, 96680668 req, miss ratio 0.6091, byte miss ratio 0.6091  
result/meta_rnha.oracleGeneral.zst                            B-LRU cache size  3504028, 96680668 req, miss ratio 0.5477, byte miss ratio 0.5477  
result/meta_rnha.oracleGeneral.zst                            B-LRU cache size  7008056, 96680668 req, miss ratio 0.5154, byte miss ratio 0.5154  
result/meta_rnha.oracleGeneral.zst                            B-LRU cache size 14016112, 96680668 req, miss ratio 0.5056, byte miss ratio 0.5056  
result/meta_rnha.oracleGeneral.zst                            B-LRU cache size 28032224, 96680668 req, miss ratio 0.5056, byte miss ratio 0.5056  

