result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size    21371, 1092185 req, miss ratio 0.6832, byte miss ratio 0.6832
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size    71238, 1092185 req, miss ratio 0.6627, byte miss ratio 0.6627
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size   142476, 1092185 req, miss ratio 0.6524, byte miss ratio 0.6524
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S3FIFO-d-1 cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size      712, 1092185 req, miss ratio 0.7449, byte miss ratio 0.7449
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size     2137, 1092185 req, miss ratio 0.7199, byte miss ratio 0.7199
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size     7123, 1092185 req, miss ratio 0.6991, byte miss ratio 0.6991
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size    21371, 1092185 req, miss ratio 0.6753, byte miss ratio 0.6753
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size    71238, 1092185 req, miss ratio 0.6542, byte miss ratio 0.6542
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size   142476, 1092185 req, miss ratio 0.6526, byte miss ratio 0.6526
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst LRB cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst B-LRU cache size      712, 1092185 req, miss ratio 0.7797, byte miss ratio 0.7797
result/cdn1_nyc.ns89.oracleGeneral.bin.zst B-LRU cache size     2137, 1092185 req, miss ratio 0.7713, byte miss ratio 0.7713
result/cdn1_nyc.ns89.oracleGeneral.bin.zst B-LRU cache size     7123, 1092185 req, miss ratio 0.7584, byte miss ratio 0.7584
result/cdn1_nyc.ns89.oracleGeneral.bin.zst B-LRU cache size    21371, 1092185 req, miss ratio 0.7512, byte miss ratio 0.7512
result/cdn1_nyc.ns89.oracleGeneral.bin.zst B-LRU cache size    71238, 1092185 req, miss ratio 0.7510, byte miss ratio 0.7510
result/cdn1_nyc.ns89.oracleGeneral.bin.zst B-LRU cache size   142476, 1092185 req, miss ratio 0.7510, byte miss ratio 0.7510
result/cdn1_nyc.ns89.oracleGeneral.bin.zst B-LRU cache size   284952, 1092185 req, miss ratio 0.7510, byte miss ratio 0.7510
result/cdn1_nyc.ns89.oracleGeneral.bin.zst B-LRU cache size   569904, 1092185 req, miss ratio 0.7510, byte miss ratio 0.7510
result/cdn1_nyc.ns89.oracleGeneral.bin.zst TwoQ cache size      712, 1092185 req, miss ratio 0.7564, byte miss ratio 0.7564
result/cdn1_nyc.ns89.oracleGeneral.bin.zst TwoQ cache size     2137, 1092185 req, miss ratio 0.7339, byte miss ratio 0.7339
result/cdn1_nyc.ns89.oracleGeneral.bin.zst TwoQ cache size     7123, 1092185 req, miss ratio 0.7089, byte miss ratio 0.7089
result/cdn1_nyc.ns89.oracleGeneral.bin.zst TwoQ cache size    21371, 1092185 req, miss ratio 0.6805, byte miss ratio 0.6805
result/cdn1_nyc.ns89.oracleGeneral.bin.zst TwoQ cache size    71238, 1092185 req, miss ratio 0.6555, byte miss ratio 0.6555
result/cdn1_nyc.ns89.oracleGeneral.bin.zst TwoQ cache size   142476, 1092185 req, miss ratio 0.6527, byte miss ratio 0.6527
result/cdn1_nyc.ns89.oracleGeneral.bin.zst TwoQ cache size   284952, 1092185 req, miss ratio 0.6526, byte miss ratio 0.6526
result/cdn1_nyc.ns89.oracleGeneral.bin.zst TwoQ cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      712, 1092185 req, miss ratio 0.7515, byte miss ratio 0.7515
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     2137, 1092185 req, miss ratio 0.7300, byte miss ratio 0.7300
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     7123, 1092185 req, miss ratio 0.7019, byte miss ratio 0.7019
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    21371, 1092185 req, miss ratio 0.6817, byte miss ratio 0.6817
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    71238, 1092185 req, miss ratio 0.6637, byte miss ratio 0.6637
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   142476, 1092185 req, miss ratio 0.6558, byte miss ratio 0.6558
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   284952, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   569904, 1092185 req, miss ratio 0.6523, byte miss ratio 0.6523
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      712, 1092185 req, miss ratio 0.7475, byte miss ratio 0.7475
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     2137, 1092185 req, miss ratio 0.7256, byte miss ratio 0.7256
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     7123, 1092185 req, miss ratio 0.7011, byte miss ratio 0.7011
result/cdn1_nyc.ns89.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    21371, 1092185 req, miss ratio 0.6791, byte miss ratio 0.6791
