result/cdn1_sjc.ns1048.oracleGeneral.bin.zst B-LRU cache size      105, 1226896 req, miss ratio 0.8140, byte miss ratio 0.8140
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst B-LRU cache size      315, 1226896 req, miss ratio 0.7770, byte miss ratio 0.7770
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst B-LRU cache size     1052, 1226896 req, miss ratio 0.5586, byte miss ratio 0.5586
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst B-LRU cache size     2104, 1226896 req, miss ratio 0.4789, byte miss ratio 0.4789
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst B-LRU cache size     4208, 1226896 req, miss ratio 0.3858, byte miss ratio 0.3858
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst B-LRU cache size     8416, 1226896 req, miss ratio 0.2581, byte miss ratio 0.2581
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d cache size       10, 1226896 req, miss ratio 0.9090, byte miss ratio 0.9090
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d cache size       31, 1226896 req, miss ratio 0.8476, byte miss ratio 0.8476
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d cache size      105, 1226896 req, miss ratio 0.8052, byte miss ratio 0.8052
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d cache size      315, 1226896 req, miss ratio 0.7219, byte miss ratio 0.7219
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d cache size     1052, 1226896 req, miss ratio 0.4308, byte miss ratio 0.4308
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d cache size     2104, 1226896 req, miss ratio 0.3861, byte miss ratio 0.3861
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d cache size     4208, 1226896 req, miss ratio 0.3185, byte miss ratio 0.3185
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO-d cache size     8416, 1226896 req, miss ratio 0.1382, byte miss ratio 0.1382
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO cache size       10, 1226896 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO cache size       31, 1226896 req, miss ratio 0.9594, byte miss ratio 0.9594
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO cache size      105, 1226896 req, miss ratio 0.8653, byte miss ratio 0.8653
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO cache size      315, 1226896 req, miss ratio 0.7273, byte miss ratio 0.7273
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO cache size     1052, 1226896 req, miss ratio 0.4300, byte miss ratio 0.4300
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO cache size     2104, 1226896 req, miss ratio 0.3854, byte miss ratio 0.3854
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO cache size     4208, 1226896 req, miss ratio 0.3194, byte miss ratio 0.3194
result/cdn1_sjc.ns1048.oracleGeneral.bin.zst S3FIFO cache size     8416, 1226896 req, miss ratio 0.1267, byte miss ratio 0.1267
