result/cdn1_nyc.ns35.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1743, 1596462 req, miss ratio 0.2046, byte miss ratio 0.2046
result/cdn1_nyc.ns35.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     5231, 1596462 req, miss ratio 0.1874, byte miss ratio 0.1874
result/cdn1_nyc.ns35.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    17436, 1596462 req, miss ratio 0.1544, byte miss ratio 0.1544
result/cdn1_nyc.ns35.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    34873, 1596462 req, miss ratio 0.1350, byte miss ratio 0.1350
result/cdn1_nyc.ns35.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    69747, 1596462 req, miss ratio 0.1198, byte miss ratio 0.1198
result/cdn1_nyc.ns35.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   139494, 1596462 req, miss ratio 0.1115, byte miss ratio 0.1115
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      174, 1596462 req, miss ratio 0.2264, byte miss ratio 0.2264
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      523, 1596462 req, miss ratio 0.2141, byte miss ratio 0.2141
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1743, 1596462 req, miss ratio 0.2042, byte miss ratio 0.2042
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     5231, 1596462 req, miss ratio 0.1864, byte miss ratio 0.1864
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    17436, 1596462 req, miss ratio 0.1503, byte miss ratio 0.1503
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    34873, 1596462 req, miss ratio 0.1278, byte miss ratio 0.1278
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    69747, 1596462 req, miss ratio 0.1159, byte miss ratio 0.1159
result/cdn1_nyc.ns35.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   139494, 1596462 req, miss ratio 0.1099, byte miss ratio 0.1099
result/cdn1_nyc.ns35.oracleGeneral.bin.zst TwoQ cache size      174, 1596462 req, miss ratio 0.2305, byte miss ratio 0.2305
result/cdn1_nyc.ns35.oracleGeneral.bin.zst TwoQ cache size      523, 1596462 req, miss ratio 0.2078, byte miss ratio 0.2078
result/cdn1_nyc.ns35.oracleGeneral.bin.zst TwoQ cache size     1743, 1596462 req, miss ratio 0.1949, byte miss ratio 0.1949
result/cdn1_nyc.ns35.oracleGeneral.bin.zst TwoQ cache size     5231, 1596462 req, miss ratio 0.1731, byte miss ratio 0.1731
result/cdn1_nyc.ns35.oracleGeneral.bin.zst TwoQ cache size    17436, 1596462 req, miss ratio 0.1428, byte miss ratio 0.1428
result/cdn1_nyc.ns35.oracleGeneral.bin.zst TwoQ cache size    34873, 1596462 req, miss ratio 0.1330, byte miss ratio 0.1330
result/cdn1_nyc.ns35.oracleGeneral.bin.zst TwoQ cache size    69747, 1596462 req, miss ratio 0.1229, byte miss ratio 0.1229
result/cdn1_nyc.ns35.oracleGeneral.bin.zst TwoQ cache size   139494, 1596462 req, miss ratio 0.1133, byte miss ratio 0.1133
result/cdn1_nyc.ns35.oracleGeneral.bin.zst B-LRU cache size      174, 1596462 req, miss ratio 0.2867, byte miss ratio 0.2867
result/cdn1_nyc.ns35.oracleGeneral.bin.zst B-LRU cache size      523, 1596462 req, miss ratio 0.2794, byte miss ratio 0.2794
result/cdn1_nyc.ns35.oracleGeneral.bin.zst B-LRU cache size     1743, 1596462 req, miss ratio 0.2696, byte miss ratio 0.2696
result/cdn1_nyc.ns35.oracleGeneral.bin.zst B-LRU cache size     5231, 1596462 req, miss ratio 0.2504, byte miss ratio 0.2504
result/cdn1_nyc.ns35.oracleGeneral.bin.zst B-LRU cache size    17436, 1596462 req, miss ratio 0.2158, byte miss ratio 0.2158
result/cdn1_nyc.ns35.oracleGeneral.bin.zst B-LRU cache size    34873, 1596462 req, miss ratio 0.1969, byte miss ratio 0.1969
