result/cdn1_nyc.ns140.oracleGeneral.bin.zst ARC cache size     1381, 1663924 req, miss ratio 0.8193, byte miss ratio 0.8193
result/cdn1_nyc.ns140.oracleGeneral.bin.zst ARC cache size     4606, 1663924 req, miss ratio 0.5338, byte miss ratio 0.5338
result/cdn1_nyc.ns140.oracleGeneral.bin.zst ARC cache size     9212, 1663924 req, miss ratio 0.3055, byte miss ratio 0.3055
result/cdn1_nyc.ns140.oracleGeneral.bin.zst ARC cache size    18424, 1663924 req, miss ratio 0.1093, byte miss ratio 0.1093
result/cdn1_nyc.ns140.oracleGeneral.bin.zst ARC cache size    36848, 1663924 req, miss ratio 0.0306, byte miss ratio 0.0306
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRU cache size       46, 1663924 req, miss ratio 0.9810, byte miss ratio 0.9810
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRU cache size      138, 1663924 req, miss ratio 0.9759, byte miss ratio 0.9759
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRU cache size      460, 1663924 req, miss ratio 0.9601, byte miss ratio 0.9601
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRU cache size     1381, 1663924 req, miss ratio 0.9081, byte miss ratio 0.9081
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRU cache size     4606, 1663924 req, miss ratio 0.6380, byte miss ratio 0.6380
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRU cache size     9212, 1663924 req, miss ratio 0.3465, byte miss ratio 0.3465
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRU cache size    18424, 1663924 req, miss ratio 0.1199, byte miss ratio 0.1199
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRU cache size    36848, 1663924 req, miss ratio 0.0312, byte miss ratio 0.0312
result/cdn1_nyc.ns140.oracleGeneral.bin.zst Cacheus cache size       46, 1663924 req, miss ratio 0.9807, byte miss ratio 0.9807
result/cdn1_nyc.ns140.oracleGeneral.bin.zst Cacheus cache size      138, 1663924 req, miss ratio 0.9739, byte miss ratio 0.9739
result/cdn1_nyc.ns140.oracleGeneral.bin.zst Cacheus cache size      460, 1663924 req, miss ratio 0.9495, byte miss ratio 0.9495
result/cdn1_nyc.ns140.oracleGeneral.bin.zst Cacheus cache size     1381, 1663924 req, miss ratio 0.8741, byte miss ratio 0.8741
result/cdn1_nyc.ns140.oracleGeneral.bin.zst Cacheus cache size     4606, 1663924 req, miss ratio 0.5881, byte miss ratio 0.5881
result/cdn1_nyc.ns140.oracleGeneral.bin.zst Cacheus cache size     9212, 1663924 req, miss ratio 0.2639, byte miss ratio 0.2639
result/cdn1_nyc.ns140.oracleGeneral.bin.zst Cacheus cache size    18424, 1663924 req, miss ratio 0.0942, byte miss ratio 0.0942
result/cdn1_nyc.ns140.oracleGeneral.bin.zst Cacheus cache size    36848, 1663924 req, miss ratio 0.0311, byte miss ratio 0.0311
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LIRS cache size       46, 1663924 req, miss ratio 0.9825, byte miss ratio 0.9825
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LIRS cache size      138, 1663924 req, miss ratio 0.9736, byte miss ratio 0.9736
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LIRS cache size      460, 1663924 req, miss ratio 0.9325, byte miss ratio 0.9325
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LIRS cache size     1381, 1663924 req, miss ratio 0.8149, byte miss ratio 0.8149
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LIRS cache size     4606, 1663924 req, miss ratio 0.5202, byte miss ratio 0.5202
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LIRS cache size     9212, 1663924 req, miss ratio 0.2866, byte miss ratio 0.2866
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LIRS cache size    18424, 1663924 req, miss ratio 0.1038, byte miss ratio 0.1038
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LIRS cache size    36848, 1663924 req, miss ratio 0.0309, byte miss ratio 0.0309
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d-1 cache size       46, 1663924 req, miss ratio 0.9798, byte miss ratio 0.9798
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d-1 cache size      138, 1663924 req, miss ratio 0.9685, byte miss ratio 0.9685
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d-1 cache size      460, 1663924 req, miss ratio 0.9199, byte miss ratio 0.9199
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1381, 1663924 req, miss ratio 0.7867, byte miss ratio 0.7867
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4606, 1663924 req, miss ratio 0.5091, byte miss ratio 0.5091
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d-1 cache size     9212, 1663924 req, miss ratio 0.2874, byte miss ratio 0.2874
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d-1 cache size    18424, 1663924 req, miss ratio 0.1027, byte miss ratio 0.1027
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S3FIFO-d-1 cache size    36848, 1663924 req, miss ratio 0.0310, byte miss ratio 0.0310
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRB cache size       46, 1663924 req, miss ratio 0.9789, byte miss ratio 0.9789
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRB cache size      138, 1663924 req, miss ratio 0.9626, byte miss ratio 0.9626
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRB cache size      460, 1663924 req, miss ratio 0.9082, byte miss ratio 0.9082
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRB cache size     1381, 1663924 req, miss ratio 0.7640, byte miss ratio 0.7640
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRB cache size     4606, 1663924 req, miss ratio 0.4557, byte miss ratio 0.4557
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRB cache size     9212, 1663924 req, miss ratio 0.2446, byte miss ratio 0.2446
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRB cache size    18424, 1663924 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cdn1_nyc.ns140.oracleGeneral.bin.zst LRB cache size    36848, 1663924 req, miss ratio 0.0312, byte miss ratio 0.0312
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       46, 1663924 req, miss ratio 0.9772, byte miss ratio 0.9772
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      138, 1663924 req, miss ratio 0.9658, byte miss ratio 0.9658
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      460, 1663924 req, miss ratio 0.9276, byte miss ratio 0.9276
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1381, 1663924 req, miss ratio 0.8186, byte miss ratio 0.8186
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4606, 1663924 req, miss ratio 0.5109, byte miss ratio 0.5109
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     9212, 1663924 req, miss ratio 0.2853, byte miss ratio 0.2853
result/cdn1_nyc.ns140.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    18424, 1663924 req, miss ratio 0.1055, byte miss ratio 0.1055
