result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRB cache size    43996, 2699115 req, miss ratio 0.3058, byte miss ratio 0.3058
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRB cache size    87993, 2699115 req, miss ratio 0.2369, byte miss ratio 0.2369
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRB cache size   175986, 2699115 req, miss ratio 0.1815, byte miss ratio 0.1815
result/cdn1_sjc.ns32.oracleGeneral.bin.zst LRB cache size   351973, 2699115 req, miss ratio 0.1646, byte miss ratio 0.1646
result/cdn1_sjc.ns32.oracleGeneral.bin.zst TwoQ cache size      439, 2699115 req, miss ratio 0.9003, byte miss ratio 0.9003
result/cdn1_sjc.ns32.oracleGeneral.bin.zst TwoQ cache size     1319, 2699115 req, miss ratio 0.8057, byte miss ratio 0.8057
result/cdn1_sjc.ns32.oracleGeneral.bin.zst TwoQ cache size     4399, 2699115 req, miss ratio 0.6032, byte miss ratio 0.6032
result/cdn1_sjc.ns32.oracleGeneral.bin.zst TwoQ cache size    13199, 2699115 req, miss ratio 0.4205, byte miss ratio 0.4205
result/cdn1_sjc.ns32.oracleGeneral.bin.zst TwoQ cache size    43996, 2699115 req, miss ratio 0.2828, byte miss ratio 0.2828
result/cdn1_sjc.ns32.oracleGeneral.bin.zst TwoQ cache size    87993, 2699115 req, miss ratio 0.2376, byte miss ratio 0.2376
result/cdn1_sjc.ns32.oracleGeneral.bin.zst TwoQ cache size   175986, 2699115 req, miss ratio 0.1957, byte miss ratio 0.1957
result/cdn1_sjc.ns32.oracleGeneral.bin.zst TwoQ cache size   351973, 2699115 req, miss ratio 0.1679, byte miss ratio 0.1679
result/cdn1_sjc.ns32.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      439, 2699115 req, miss ratio 0.9227, byte miss ratio 0.9227
result/cdn1_sjc.ns32.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1319, 2699115 req, miss ratio 0.8525, byte miss ratio 0.8525
result/cdn1_sjc.ns32.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4399, 2699115 req, miss ratio 0.6727, byte miss ratio 0.6727
result/cdn1_sjc.ns32.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    13199, 2699115 req, miss ratio 0.4673, byte miss ratio 0.4673
result/cdn1_sjc.ns32.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    43996, 2699115 req, miss ratio 0.2945, byte miss ratio 0.2945
result/cdn1_sjc.ns32.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    87993, 2699115 req, miss ratio 0.2390, byte miss ratio 0.2390
result/cdn1_sjc.ns32.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   175986, 2699115 req, miss ratio 0.1889, byte miss ratio 0.1889
result/cdn1_sjc.ns32.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   351973, 2699115 req, miss ratio 0.1659, byte miss ratio 0.1659
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      439, 2699115 req, miss ratio 0.9030, byte miss ratio 0.9030
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1319, 2699115 req, miss ratio 0.8037, byte miss ratio 0.8037
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4399, 2699115 req, miss ratio 0.5990, byte miss ratio 0.5990
result/cdn1_sjc.ns32.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    13199, 2699115 req, miss ratio 0.4103, byte miss ratio 0.4103
