result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRB cache size     1540, 2730177 req, miss ratio 0.1721, byte miss ratio 0.1721
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRB cache size     5133, 2730177 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRB cache size    10267, 2730177 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRB cache size    20535, 2730177 req, miss ratio 0.0224, byte miss ratio 0.0224
result/cdn1_sjc.ns929.oracleGeneral.bin.zst LRB cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       51, 2730177 req, miss ratio 0.7640, byte miss ratio 0.7640
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      154, 2730177 req, miss ratio 0.6818, byte miss ratio 0.6818
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      513, 2730177 req, miss ratio 0.4966, byte miss ratio 0.4966
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1540, 2730177 req, miss ratio 0.1972, byte miss ratio 0.1972
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     5133, 2730177 req, miss ratio 0.0303, byte miss ratio 0.0303
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    10267, 2730177 req, miss ratio 0.0213, byte miss ratio 0.0213
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    20535, 2730177 req, miss ratio 0.0191, byte miss ratio 0.0191
result/cdn1_sjc.ns929.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    41071, 2730177 req, miss ratio 0.0188, byte miss ratio 0.0188
result/cdn1_sjc.ns929.oracleGeneral.bin.zst TwoQ cache size       51, 2730177 req, miss ratio 0.7573, byte miss ratio 0.7573
