result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-1 cache size      137, 24253201 req, miss ratio 0.5312, byte miss ratio 0.5312
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-1 cache size      459, 24253201 req, miss ratio 0.4509, byte miss ratio 0.4509
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-1 cache size     1377, 24253201 req, miss ratio 0.3920, byte miss ratio 0.3920
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-1 cache size     4590, 24253201 req, miss ratio 0.3121, byte miss ratio 0.3121
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-1 cache size     9181, 24253201 req, miss ratio 0.2333, byte miss ratio 0.2333
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-1 cache size    18362, 24253201 req, miss ratio 0.1155, byte miss ratio 0.1155
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-1 cache size    36725, 24253201 req, miss ratio 0.0060, byte miss ratio 0.0060
result/cdn1_lax.ns91.oracleGeneral.bin.zst LeCaR cache size       45, 24253201 req, miss ratio 0.5833, byte miss ratio 0.5833
result/cdn1_lax.ns91.oracleGeneral.bin.zst LeCaR cache size      137, 24253201 req, miss ratio 0.4922, byte miss ratio 0.4922
result/cdn1_lax.ns91.oracleGeneral.bin.zst LeCaR cache size      459, 24253201 req, miss ratio 0.4278, byte miss ratio 0.4278
result/cdn1_lax.ns91.oracleGeneral.bin.zst LeCaR cache size     1377, 24253201 req, miss ratio 0.3859, byte miss ratio 0.3859
result/cdn1_lax.ns91.oracleGeneral.bin.zst LeCaR cache size     4590, 24253201 req, miss ratio 0.3166, byte miss ratio 0.3166
result/cdn1_lax.ns91.oracleGeneral.bin.zst LeCaR cache size     9181, 24253201 req, miss ratio 0.2370, byte miss ratio 0.2370
result/cdn1_lax.ns91.oracleGeneral.bin.zst LeCaR cache size    18362, 24253201 req, miss ratio 0.1175, byte miss ratio 0.1175
result/cdn1_lax.ns91.oracleGeneral.bin.zst LeCaR cache size    36725, 24253201 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d-1 cache size       45, 24253201 req, miss ratio 0.5792, byte miss ratio 0.5792
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d-1 cache size      137, 24253201 req, miss ratio 0.4911, byte miss ratio 0.4911
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d-1 cache size      459, 24253201 req, miss ratio 0.4257, byte miss ratio 0.4257
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1377, 24253201 req, miss ratio 0.3838, byte miss ratio 0.3838
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4590, 24253201 req, miss ratio 0.3120, byte miss ratio 0.3120
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d-1 cache size     9181, 24253201 req, miss ratio 0.2331, byte miss ratio 0.2331
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d-1 cache size    18362, 24253201 req, miss ratio 0.1152, byte miss ratio 0.1152
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO-d-1 cache size    36725, 24253201 req, miss ratio 0.0054, byte miss ratio 0.0054
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRB cache size       45, 24253201 req, miss ratio 0.7248, byte miss ratio 0.7248
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRB cache size      137, 24253201 req, miss ratio 0.5937, byte miss ratio 0.5937
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRB cache size      459, 24253201 req, miss ratio 0.4823, byte miss ratio 0.4823
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRB cache size     1377, 24253201 req, miss ratio 0.4079, byte miss ratio 0.4079
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRB cache size     4590, 24253201 req, miss ratio 0.3089, byte miss ratio 0.3089
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRB cache size     9181, 24253201 req, miss ratio 0.2143, byte miss ratio 0.2143
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRB cache size    18362, 24253201 req, miss ratio 0.1020, byte miss ratio 0.1020
result/cdn1_lax.ns91.oracleGeneral.bin.zst LRB cache size    36725, 24253201 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn1_lax.ns91.oracleGeneral.bin.zst TwoQ cache size       45, 24253201 req, miss ratio 0.6190, byte miss ratio 0.6190
result/cdn1_lax.ns91.oracleGeneral.bin.zst TwoQ cache size      137, 24253201 req, miss ratio 0.5293, byte miss ratio 0.5293
result/cdn1_lax.ns91.oracleGeneral.bin.zst TwoQ cache size      459, 24253201 req, miss ratio 0.4499, byte miss ratio 0.4499
result/cdn1_lax.ns91.oracleGeneral.bin.zst TwoQ cache size     1377, 24253201 req, miss ratio 0.3898, byte miss ratio 0.3898
result/cdn1_lax.ns91.oracleGeneral.bin.zst TwoQ cache size     4590, 24253201 req, miss ratio 0.3102, byte miss ratio 0.3102
result/cdn1_lax.ns91.oracleGeneral.bin.zst TwoQ cache size     9181, 24253201 req, miss ratio 0.2325, byte miss ratio 0.2325
result/cdn1_lax.ns91.oracleGeneral.bin.zst TwoQ cache size    18362, 24253201 req, miss ratio 0.1256, byte miss ratio 0.1256
result/cdn1_lax.ns91.oracleGeneral.bin.zst TwoQ cache size    36725, 24253201 req, miss ratio 0.0102, byte miss ratio 0.0102
result/cdn1_lax.ns91.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size       45, 24253201 req, miss ratio 0.6245, byte miss ratio 0.6245
result/cdn1_lax.ns91.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      137, 24253201 req, miss ratio 0.5239, byte miss ratio 0.5239
result/cdn1_lax.ns91.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      459, 24253201 req, miss ratio 0.4415, byte miss ratio 0.4415
result/cdn1_lax.ns91.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1377, 24253201 req, miss ratio 0.3882, byte miss ratio 0.3882
result/cdn1_lax.ns91.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4590, 24253201 req, miss ratio 0.3136, byte miss ratio 0.3136
result/cdn1_lax.ns91.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     9181, 24253201 req, miss ratio 0.2340, byte miss ratio 0.2340
result/cdn1_lax.ns91.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    18362, 24253201 req, miss ratio 0.1169, byte miss ratio 0.1169
result/cdn1_lax.ns91.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    36725, 24253201 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn1_lax.ns91.oracleGeneral.bin.zst B-LRU cache size       45, 24253201 req, miss ratio 0.5861, byte miss ratio 0.5861
result/cdn1_lax.ns91.oracleGeneral.bin.zst B-LRU cache size      137, 24253201 req, miss ratio 0.4939, byte miss ratio 0.4939
result/cdn1_lax.ns91.oracleGeneral.bin.zst B-LRU cache size      459, 24253201 req, miss ratio 0.4295, byte miss ratio 0.4295
result/cdn1_lax.ns91.oracleGeneral.bin.zst B-LRU cache size     1377, 24253201 req, miss ratio 0.3871, byte miss ratio 0.3871
result/cdn1_lax.ns91.oracleGeneral.bin.zst B-LRU cache size     4590, 24253201 req, miss ratio 0.3191, byte miss ratio 0.3191
result/cdn1_lax.ns91.oracleGeneral.bin.zst B-LRU cache size     9181, 24253201 req, miss ratio 0.2434, byte miss ratio 0.2434
result/cdn1_lax.ns91.oracleGeneral.bin.zst B-LRU cache size    18362, 24253201 req, miss ratio 0.1264, byte miss ratio 0.1264
result/cdn1_lax.ns91.oracleGeneral.bin.zst B-LRU cache size    36725, 24253201 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn1_lax.ns91.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       45, 24253201 req, miss ratio 0.6058, byte miss ratio 0.6058
result/cdn1_lax.ns91.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      137, 24253201 req, miss ratio 0.5217, byte miss ratio 0.5217
result/cdn1_lax.ns91.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      459, 24253201 req, miss ratio 0.4431, byte miss ratio 0.4431
result/cdn1_lax.ns91.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1377, 24253201 req, miss ratio 0.3947, byte miss ratio 0.3947
result/cdn1_lax.ns91.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4590, 24253201 req, miss ratio 0.3202, byte miss ratio 0.3202
result/cdn1_lax.ns91.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     9181, 24253201 req, miss ratio 0.2428, byte miss ratio 0.2428
result/cdn1_lax.ns91.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    18362, 24253201 req, miss ratio 0.1262, byte miss ratio 0.1262
result/cdn1_lax.ns91.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    36725, 24253201 req, miss ratio 0.0101, byte miss ratio 0.0101
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO cache size       45, 24253201 req, miss ratio 0.6327, byte miss ratio 0.6327
result/cdn1_lax.ns91.oracleGeneral.bin.zst S3FIFO cache size      137, 24253201 req, miss ratio 0.5445, byte miss ratio 0.5445
