result/cdn1_lax.ns112.oracleGeneral.bin.zst B-LRU cache size  7817050, 117890485 req, miss ratio 0.2675, byte miss ratio 0.2675
result/cdn1_lax.ns112.oracleGeneral.bin.zst B-LRU cache size 15634100, 117890485 req, miss ratio 0.2675, byte miss ratio 0.2675
result/cdn1_lax.ns112.oracleGeneral.bin.zst TwoQ cache size    19542, 117890485 req, miss ratio 0.1672, byte miss ratio 0.1672
result/cdn1_lax.ns112.oracleGeneral.bin.zst TwoQ cache size    58627, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst TwoQ cache size   195426, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst TwoQ cache size   586278, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst TwoQ cache size  1954262, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst TwoQ cache size  3908525, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst TwoQ cache size  7817050, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst TwoQ cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    19542, 117890485 req, miss ratio 0.1668, byte miss ratio 0.1668
result/cdn1_lax.ns112.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    58627, 117890485 req, miss ratio 0.1666, byte miss ratio 0.1666
result/cdn1_lax.ns112.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   195426, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   586278, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  1954262, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  7817050, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO cache size    19542, 117890485 req, miss ratio 0.1673, byte miss ratio 0.1673
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO cache size    58627, 117890485 req, miss ratio 0.1668, byte miss ratio 0.1668
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO cache size   195426, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO cache size   586278, 117890485 req, miss ratio 0.1665, byte miss ratio 0.1665
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO cache size  1954262, 117890485 req, miss ratio 0.1664, byte miss ratio 0.1664
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO cache size  3908525, 117890485 req, miss ratio 0.1662, byte miss ratio 0.1662
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO cache size  7817050, 117890485 req, miss ratio 0.1661, byte miss ratio 0.1661
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO cache size 15634100, 117890485 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn1_lax.ns112.oracleGeneral.bin.zst S3FIFO-d cache size    19542, 117890485 req, miss ratio 0.1670, byte miss ratio 0.1670
