result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d-1 cache size      764, 11659479 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn1_lax.ns314.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRB cache size        5, 11659479 req, miss ratio 0.9593, byte miss ratio 0.9593
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRB cache size       19, 11659479 req, miss ratio 0.8327, byte miss ratio 0.8327
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRB cache size       57, 11659479 req, miss ratio 0.4765, byte miss ratio 0.4765
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRB cache size      191, 11659479 req, miss ratio 0.0651, byte miss ratio 0.0651
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRB cache size      382, 11659479 req, miss ratio 0.0108, byte miss ratio 0.0108
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRB cache size      764, 11659479 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn1_lax.ns314.oracleGeneral.bin.zst LRB cache size     1529, 11659479 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn1_lax.ns314.oracleGeneral.bin.zst TwoQ cache size        5, 11659479 req, miss ratio 0.9526, byte miss ratio 0.9526
result/cdn1_lax.ns314.oracleGeneral.bin.zst TwoQ cache size       19, 11659479 req, miss ratio 0.8435, byte miss ratio 0.8435
result/cdn1_lax.ns314.oracleGeneral.bin.zst TwoQ cache size       57, 11659479 req, miss ratio 0.5656, byte miss ratio 0.5656
result/cdn1_lax.ns314.oracleGeneral.bin.zst TwoQ cache size      191, 11659479 req, miss ratio 0.0969, byte miss ratio 0.0969
result/cdn1_lax.ns314.oracleGeneral.bin.zst TwoQ cache size      382, 11659479 req, miss ratio 0.0137, byte miss ratio 0.0137
