result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size   176816, 1227520 req, miss ratio 0.3767, byte miss ratio 0.3767
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LIRS cache size   353632, 1227520 req, miss ratio 0.3615, byte miss ratio 0.3615
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size      442, 1227520 req, miss ratio 0.5011, byte miss ratio 0.5011
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size     1326, 1227520 req, miss ratio 0.4929, byte miss ratio 0.4929
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size     4420, 1227520 req, miss ratio 0.4826, byte miss ratio 0.4826
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size    13261, 1227520 req, miss ratio 0.4704, byte miss ratio 0.4704
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size    44204, 1227520 req, miss ratio 0.4284, byte miss ratio 0.4284
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size    88408, 1227520 req, miss ratio 0.3936, byte miss ratio 0.3936
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size   176816, 1227520 req, miss ratio 0.3739, byte miss ratio 0.3739
result/cdn1_sjc.ns238.oracleGeneral.bin.zst clock2 cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d-1 cache size      442, 1227520 req, miss ratio 0.5020, byte miss ratio 0.5020
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1326, 1227520 req, miss ratio 0.4950, byte miss ratio 0.4950
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4420, 1227520 req, miss ratio 0.4838, byte miss ratio 0.4838
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d-1 cache size    13261, 1227520 req, miss ratio 0.4650, byte miss ratio 0.4650
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d-1 cache size    44204, 1227520 req, miss ratio 0.4174, byte miss ratio 0.4174
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d-1 cache size    88408, 1227520 req, miss ratio 0.3891, byte miss ratio 0.3891
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d-1 cache size   176816, 1227520 req, miss ratio 0.3743, byte miss ratio 0.3743
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S3FIFO-d-1 cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRB cache size      442, 1227520 req, miss ratio 0.5020, byte miss ratio 0.5020
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRB cache size     1326, 1227520 req, miss ratio 0.4950, byte miss ratio 0.4950
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRB cache size     4420, 1227520 req, miss ratio 0.4847, byte miss ratio 0.4847
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRB cache size    13261, 1227520 req, miss ratio 0.4720, byte miss ratio 0.4720
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRB cache size    44204, 1227520 req, miss ratio 0.4377, byte miss ratio 0.4377
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRB cache size    88408, 1227520 req, miss ratio 0.4011, byte miss ratio 0.4011
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRB cache size   176816, 1227520 req, miss ratio 0.3723, byte miss ratio 0.3723
result/cdn1_sjc.ns238.oracleGeneral.bin.zst LRB cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst B-LRU cache size      442, 1227520 req, miss ratio 0.6376, byte miss ratio 0.6376
result/cdn1_sjc.ns238.oracleGeneral.bin.zst B-LRU cache size     1326, 1227520 req, miss ratio 0.6323, byte miss ratio 0.6323
result/cdn1_sjc.ns238.oracleGeneral.bin.zst B-LRU cache size     4420, 1227520 req, miss ratio 0.6221, byte miss ratio 0.6221
result/cdn1_sjc.ns238.oracleGeneral.bin.zst B-LRU cache size    13261, 1227520 req, miss ratio 0.6080, byte miss ratio 0.6080
result/cdn1_sjc.ns238.oracleGeneral.bin.zst B-LRU cache size    44204, 1227520 req, miss ratio 0.5677, byte miss ratio 0.5677
result/cdn1_sjc.ns238.oracleGeneral.bin.zst B-LRU cache size    88408, 1227520 req, miss ratio 0.5375, byte miss ratio 0.5375
result/cdn1_sjc.ns238.oracleGeneral.bin.zst B-LRU cache size   176816, 1227520 req, miss ratio 0.5297, byte miss ratio 0.5297
result/cdn1_sjc.ns238.oracleGeneral.bin.zst B-LRU cache size   353632, 1227520 req, miss ratio 0.5297, byte miss ratio 0.5297
result/cdn1_sjc.ns238.oracleGeneral.bin.zst TwoQ cache size      442, 1227520 req, miss ratio 0.5037, byte miss ratio 0.5037
result/cdn1_sjc.ns238.oracleGeneral.bin.zst TwoQ cache size     1326, 1227520 req, miss ratio 0.4962, byte miss ratio 0.4962
result/cdn1_sjc.ns238.oracleGeneral.bin.zst TwoQ cache size     4420, 1227520 req, miss ratio 0.4813, byte miss ratio 0.4813
result/cdn1_sjc.ns238.oracleGeneral.bin.zst TwoQ cache size    13261, 1227520 req, miss ratio 0.4663, byte miss ratio 0.4663
result/cdn1_sjc.ns238.oracleGeneral.bin.zst TwoQ cache size    44204, 1227520 req, miss ratio 0.4314, byte miss ratio 0.4314
result/cdn1_sjc.ns238.oracleGeneral.bin.zst TwoQ cache size    88408, 1227520 req, miss ratio 0.4107, byte miss ratio 0.4107
result/cdn1_sjc.ns238.oracleGeneral.bin.zst TwoQ cache size   176816, 1227520 req, miss ratio 0.3844, byte miss ratio 0.3844
result/cdn1_sjc.ns238.oracleGeneral.bin.zst TwoQ cache size   353632, 1227520 req, miss ratio 0.3631, byte miss ratio 0.3631
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      442, 1227520 req, miss ratio 0.5055, byte miss ratio 0.5055
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1326, 1227520 req, miss ratio 0.4949, byte miss ratio 0.4949
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     4420, 1227520 req, miss ratio 0.4835, byte miss ratio 0.4835
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    13261, 1227520 req, miss ratio 0.4683, byte miss ratio 0.4683
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    44204, 1227520 req, miss ratio 0.4255, byte miss ratio 0.4255
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    88408, 1227520 req, miss ratio 0.3953, byte miss ratio 0.3953
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   176816, 1227520 req, miss ratio 0.3752, byte miss ratio 0.3752
result/cdn1_sjc.ns238.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   353632, 1227520 req, miss ratio 0.3605, byte miss ratio 0.3605
result/cdn1_sjc.ns238.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      442, 1227520 req, miss ratio 0.5028, byte miss ratio 0.5028
