result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4171, 7178973 req, miss ratio 0.5164, byte miss ratio 0.5164
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d-1 cache size    13906, 7178973 req, miss ratio 0.4603, byte miss ratio 0.4603
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d-1 cache size    41719, 7178973 req, miss ratio 0.4078, byte miss ratio 0.4078
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d-1 cache size   139064, 7178973 req, miss ratio 0.3335, byte miss ratio 0.3335
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d-1 cache size   278128, 7178973 req, miss ratio 0.2853, byte miss ratio 0.2853
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d-1 cache size   556257, 7178973 req, miss ratio 0.2354, byte miss ratio 0.2354
result/cdn1_lax.ns87.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1112514, 7178973 req, miss ratio 0.1978, byte miss ratio 0.1978
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRB cache size     1390, 7178973 req, miss ratio 0.5656, byte miss ratio 0.5656
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRB cache size     4171, 7178973 req, miss ratio 0.5076, byte miss ratio 0.5076
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRB cache size    13906, 7178973 req, miss ratio 0.4592, byte miss ratio 0.4592
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRB cache size    41719, 7178973 req, miss ratio 0.4193, byte miss ratio 0.4193
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRB cache size   139064, 7178973 req, miss ratio 0.3556, byte miss ratio 0.3556
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRB cache size   278128, 7178973 req, miss ratio 0.3051, byte miss ratio 0.3051
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRB cache size   556257, 7178973 req, miss ratio 0.2438, byte miss ratio 0.2438
result/cdn1_lax.ns87.oracleGeneral.bin.zst LRB cache size  1112514, 7178973 req, miss ratio 0.1985, byte miss ratio 0.1985
