result/cdn1_sjc.ns521.oracleGeneral.bin.zst B-LRU cache size   557711, 4094352 req, miss ratio 0.8190, byte miss ratio 0.8190
result/cdn1_sjc.ns521.oracleGeneral.bin.zst B-LRU cache size  1115423, 4094352 req, miss ratio 0.8190, byte miss ratio 0.8190
result/cdn1_sjc.ns521.oracleGeneral.bin.zst B-LRU cache size  2230847, 4094352 req, miss ratio 0.8190, byte miss ratio 0.8190
result/cdn1_sjc.ns521.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     2788, 4094352 req, miss ratio 0.9737, byte miss ratio 0.9737
result/cdn1_sjc.ns521.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     8365, 4094352 req, miss ratio 0.9712, byte miss ratio 0.9712
result/cdn1_sjc.ns521.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    27885, 4094352 req, miss ratio 0.9636, byte miss ratio 0.9636
result/cdn1_sjc.ns521.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    83656, 4094352 req, miss ratio 0.9398, byte miss ratio 0.9398
result/cdn1_sjc.ns521.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   278855, 4094352 req, miss ratio 0.8643, byte miss ratio 0.8643
result/cdn1_sjc.ns521.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   557711, 4094352 req, miss ratio 0.7966, byte miss ratio 0.7966
result/cdn1_sjc.ns521.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  1115423, 4094352 req, miss ratio 0.7271, byte miss ratio 0.7271
result/cdn1_sjc.ns521.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  2230847, 4094352 req, miss ratio 0.6863, byte miss ratio 0.6863
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     2788, 4094352 req, miss ratio 0.9730, byte miss ratio 0.9730
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     8365, 4094352 req, miss ratio 0.9682, byte miss ratio 0.9682
result/cdn1_sjc.ns521.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    27885, 4094352 req, miss ratio 0.9521, byte miss ratio 0.9521
