result/cdn1_lax.ns183.oracleGeneral.bin.zst S3FIFO-d-1 cache size   872999, 2263900 req, miss ratio 0.4854, byte miss ratio 0.4854
result/cdn1_lax.ns183.oracleGeneral.bin.zst LRB cache size     1091, 2263900 req, miss ratio 0.9510, byte miss ratio 0.9510
result/cdn1_lax.ns183.oracleGeneral.bin.zst LRB cache size     3273, 2263900 req, miss ratio 0.9165, byte miss ratio 0.9165
result/cdn1_lax.ns183.oracleGeneral.bin.zst LRB cache size    10912, 2263900 req, miss ratio 0.8680, byte miss ratio 0.8680
result/cdn1_lax.ns183.oracleGeneral.bin.zst LRB cache size    32737, 2263900 req, miss ratio 0.7880, byte miss ratio 0.7880
result/cdn1_lax.ns183.oracleGeneral.bin.zst LRB cache size   109124, 2263900 req, miss ratio 0.6665, byte miss ratio 0.6665
result/cdn1_lax.ns183.oracleGeneral.bin.zst LRB cache size   218249, 2263900 req, miss ratio 0.5776, byte miss ratio 0.5776
result/cdn1_lax.ns183.oracleGeneral.bin.zst LRB cache size   436499, 2263900 req, miss ratio 0.5218, byte miss ratio 0.5218
result/cdn1_lax.ns183.oracleGeneral.bin.zst LRB cache size   872999, 2263900 req, miss ratio 0.4854, byte miss ratio 0.4854
result/cdn1_lax.ns183.oracleGeneral.bin.zst TwoQ cache size     1091, 2263900 req, miss ratio 0.9537, byte miss ratio 0.9537
result/cdn1_lax.ns183.oracleGeneral.bin.zst TwoQ cache size     3273, 2263900 req, miss ratio 0.9172, byte miss ratio 0.9172
result/cdn1_lax.ns183.oracleGeneral.bin.zst TwoQ cache size    10912, 2263900 req, miss ratio 0.8481, byte miss ratio 0.8481
result/cdn1_lax.ns183.oracleGeneral.bin.zst TwoQ cache size    32737, 2263900 req, miss ratio 0.7598, byte miss ratio 0.7598
result/cdn1_lax.ns183.oracleGeneral.bin.zst TwoQ cache size   109124, 2263900 req, miss ratio 0.6555, byte miss ratio 0.6555
result/cdn1_lax.ns183.oracleGeneral.bin.zst TwoQ cache size   218249, 2263900 req, miss ratio 0.5936, byte miss ratio 0.5936
result/cdn1_lax.ns183.oracleGeneral.bin.zst TwoQ cache size   436499, 2263900 req, miss ratio 0.5410, byte miss ratio 0.5410
result/cdn1_lax.ns183.oracleGeneral.bin.zst TwoQ cache size   872999, 2263900 req, miss ratio 0.4946, byte miss ratio 0.4946
result/cdn1_lax.ns183.oracleGeneral.bin.zst B-LRU cache size     1091, 2263900 req, miss ratio 0.9532, byte miss ratio 0.9532
result/cdn1_lax.ns183.oracleGeneral.bin.zst B-LRU cache size     3273, 2263900 req, miss ratio 0.9264, byte miss ratio 0.9264
result/cdn1_lax.ns183.oracleGeneral.bin.zst B-LRU cache size    10912, 2263900 req, miss ratio 0.8643, byte miss ratio 0.8643
result/cdn1_lax.ns183.oracleGeneral.bin.zst B-LRU cache size    32737, 2263900 req, miss ratio 0.7755, byte miss ratio 0.7755
result/cdn1_lax.ns183.oracleGeneral.bin.zst B-LRU cache size   109124, 2263900 req, miss ratio 0.6737, byte miss ratio 0.6737
result/cdn1_lax.ns183.oracleGeneral.bin.zst B-LRU cache size   218249, 2263900 req, miss ratio 0.6393, byte miss ratio 0.6393
result/cdn1_lax.ns183.oracleGeneral.bin.zst B-LRU cache size   436499, 2263900 req, miss ratio 0.6339, byte miss ratio 0.6339
result/cdn1_lax.ns183.oracleGeneral.bin.zst B-LRU cache size   872999, 2263900 req, miss ratio 0.6339, byte miss ratio 0.6339
result/cdn1_lax.ns183.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1091, 2263900 req, miss ratio 0.9564, byte miss ratio 0.9564
result/cdn1_lax.ns183.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3273, 2263900 req, miss ratio 0.9301, byte miss ratio 0.9301
result/cdn1_lax.ns183.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    10912, 2263900 req, miss ratio 0.8696, byte miss ratio 0.8696
result/cdn1_lax.ns183.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    32737, 2263900 req, miss ratio 0.7789, byte miss ratio 0.7789
result/cdn1_lax.ns183.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   109124, 2263900 req, miss ratio 0.6553, byte miss ratio 0.6553
result/cdn1_lax.ns183.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   218249, 2263900 req, miss ratio 0.5828, byte miss ratio 0.5828
result/cdn1_lax.ns183.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   436499, 2263900 req, miss ratio 0.5226, byte miss ratio 0.5226
result/cdn1_lax.ns183.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   872999, 2263900 req, miss ratio 0.4873, byte miss ratio 0.4873
result/cdn1_lax.ns183.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1091, 2263900 req, miss ratio 0.9531, byte miss ratio 0.9531
result/cdn1_lax.ns183.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     3273, 2263900 req, miss ratio 0.9190, byte miss ratio 0.9190
result/cdn1_lax.ns183.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    10912, 2263900 req, miss ratio 0.8542, byte miss ratio 0.8542
result/cdn1_lax.ns183.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    32737, 2263900 req, miss ratio 0.7638, byte miss ratio 0.7638
