result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRU cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRU cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRU cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst Clock cache size    32808, 169521174 req, miss ratio 0.1937, byte miss ratio 0.1937
result/cdn1_sjc.ns15.oracleGeneral.bin.zst Clock cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst Clock cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst Clock cache size   984258, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst Clock cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst Clock cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst Clock cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst Clock cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d-1 cache size    32808, 169521174 req, miss ratio 0.1938, byte miss ratio 0.1938
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d-1 cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d-1 cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d-1 cache size   984258, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d-1 cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d-1 cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d-1 cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO-d-1 cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRB cache size    32808, 169521174 req, miss ratio 0.1951, byte miss ratio 0.1951
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRB cache size    98425, 169521174 req, miss ratio 0.1944, byte miss ratio 0.1944
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRB cache size   328086, 169521174 req, miss ratio 0.1939, byte miss ratio 0.1939
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRB cache size   984258, 169521174 req, miss ratio 0.1937, byte miss ratio 0.1937
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRB cache size  3280861, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRB cache size  6561723, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRB cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst LRB cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    32808, 169521174 req, miss ratio 0.1947, byte miss ratio 0.1947
result/cdn1_sjc.ns15.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    98425, 169521174 req, miss ratio 0.1939, byte miss ratio 0.1939
result/cdn1_sjc.ns15.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   328086, 169521174 req, miss ratio 0.1937, byte miss ratio 0.1937
result/cdn1_sjc.ns15.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   984258, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst B-LRU cache size    32808, 169521174 req, miss ratio 0.3182, byte miss ratio 0.3182
result/cdn1_sjc.ns15.oracleGeneral.bin.zst B-LRU cache size    98425, 169521174 req, miss ratio 0.3182, byte miss ratio 0.3182
result/cdn1_sjc.ns15.oracleGeneral.bin.zst B-LRU cache size   328086, 169521174 req, miss ratio 0.3181, byte miss ratio 0.3181
result/cdn1_sjc.ns15.oracleGeneral.bin.zst B-LRU cache size   984258, 169521174 req, miss ratio 0.3181, byte miss ratio 0.3181
result/cdn1_sjc.ns15.oracleGeneral.bin.zst B-LRU cache size  3280861, 169521174 req, miss ratio 0.3181, byte miss ratio 0.3181
result/cdn1_sjc.ns15.oracleGeneral.bin.zst B-LRU cache size  6561723, 169521174 req, miss ratio 0.3181, byte miss ratio 0.3181
result/cdn1_sjc.ns15.oracleGeneral.bin.zst B-LRU cache size 13123446, 169521174 req, miss ratio 0.3181, byte miss ratio 0.3181
result/cdn1_sjc.ns15.oracleGeneral.bin.zst B-LRU cache size 26246892, 169521174 req, miss ratio 0.3181, byte miss ratio 0.3181
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    32808, 169521174 req, miss ratio 0.1938, byte miss ratio 0.1938
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   984258, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst TwoQ cache size    32808, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst TwoQ cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst TwoQ cache size   328086, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst TwoQ cache size   984258, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst TwoQ cache size  3280861, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst TwoQ cache size  6561723, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst TwoQ cache size 13123446, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst TwoQ cache size 26246892, 169521174 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO cache size    32808, 169521174 req, miss ratio 0.1947, byte miss ratio 0.1947
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO cache size    98425, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
result/cdn1_sjc.ns15.oracleGeneral.bin.zst S3FIFO cache size   328086, 169521174 req, miss ratio 0.1936, byte miss ratio 0.1936
