result/cdn1_lax.ns471.oracleGeneral.bin.zst TwoQ cache size     5368, 11038608 req, miss ratio 0.0589, byte miss ratio 0.0589
result/cdn1_lax.ns471.oracleGeneral.bin.zst TwoQ cache size    16104, 11038608 req, miss ratio 0.0535, byte miss ratio 0.0535
result/cdn1_lax.ns471.oracleGeneral.bin.zst TwoQ cache size    53681, 11038608 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn1_lax.ns471.oracleGeneral.bin.zst TwoQ cache size   107363, 11038608 req, miss ratio 0.0502, byte miss ratio 0.0502
result/cdn1_lax.ns471.oracleGeneral.bin.zst TwoQ cache size   214727, 11038608 req, miss ratio 0.0490, byte miss ratio 0.0490
result/cdn1_lax.ns471.oracleGeneral.bin.zst TwoQ cache size   429454, 11038608 req, miss ratio 0.0489, byte miss ratio 0.0489
result/cdn1_lax.ns471.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      536, 11038608 req, miss ratio 0.3983, byte miss ratio 0.3983
result/cdn1_lax.ns471.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1610, 11038608 req, miss ratio 0.1699, byte miss ratio 0.1699
result/cdn1_lax.ns471.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     5368, 11038608 req, miss ratio 0.0612, byte miss ratio 0.0612
result/cdn1_lax.ns471.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    16104, 11038608 req, miss ratio 0.0537, byte miss ratio 0.0537
result/cdn1_lax.ns471.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    53681, 11038608 req, miss ratio 0.0515, byte miss ratio 0.0515
result/cdn1_lax.ns471.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   107363, 11038608 req, miss ratio 0.0499, byte miss ratio 0.0499
result/cdn1_lax.ns471.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   214727, 11038608 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn1_lax.ns471.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   429454, 11038608 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn1_lax.ns471.oracleGeneral.bin.zst B-LRU cache size      536, 11038608 req, miss ratio 0.3990, byte miss ratio 0.3990
result/cdn1_lax.ns471.oracleGeneral.bin.zst B-LRU cache size     1610, 11038608 req, miss ratio 0.1921, byte miss ratio 0.1921
result/cdn1_lax.ns471.oracleGeneral.bin.zst B-LRU cache size     5368, 11038608 req, miss ratio 0.0772, byte miss ratio 0.0772
result/cdn1_lax.ns471.oracleGeneral.bin.zst B-LRU cache size    16104, 11038608 req, miss ratio 0.0711, byte miss ratio 0.0711
result/cdn1_lax.ns471.oracleGeneral.bin.zst B-LRU cache size    53681, 11038608 req, miss ratio 0.0697, byte miss ratio 0.0697
result/cdn1_lax.ns471.oracleGeneral.bin.zst B-LRU cache size   107363, 11038608 req, miss ratio 0.0694, byte miss ratio 0.0694
result/cdn1_lax.ns471.oracleGeneral.bin.zst B-LRU cache size   214727, 11038608 req, miss ratio 0.0693, byte miss ratio 0.0693
result/cdn1_lax.ns471.oracleGeneral.bin.zst B-LRU cache size   429454, 11038608 req, miss ratio 0.0693, byte miss ratio 0.0693
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO cache size      536, 11038608 req, miss ratio 0.3954, byte miss ratio 0.3954
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO cache size     1610, 11038608 req, miss ratio 0.1644, byte miss ratio 0.1644
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO cache size     5368, 11038608 req, miss ratio 0.0583, byte miss ratio 0.0583
result/cdn1_lax.ns471.oracleGeneral.bin.zst S3FIFO cache size    16104, 11038608 req, miss ratio 0.0532, byte miss ratio 0.0532
