result/cdn2_colo28.ns165.oracleGeneral.zst ARC cache size       15, 1029366 req, miss ratio 0.4262, byte miss ratio 0.4262
result/cdn2_colo28.ns165.oracleGeneral.zst ARC cache size       51, 1029366 req, miss ratio 0.0492, byte miss ratio 0.0492
result/cdn2_colo28.ns165.oracleGeneral.zst ARC cache size      153, 1029366 req, miss ratio 0.0285, byte miss ratio 0.0285
result/cdn2_colo28.ns165.oracleGeneral.zst ARC cache size      511, 1029366 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_colo28.ns165.oracleGeneral.zst ARC cache size     1023, 1029366 req, miss ratio 0.0114, byte miss ratio 0.0114
result/cdn2_colo28.ns165.oracleGeneral.zst ARC cache size     2047, 1029366 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns165.oracleGeneral.zst ARC cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d-1 cache size        5, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d-1 cache size       15, 1029366 req, miss ratio 0.2726, byte miss ratio 0.2726
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d-1 cache size       51, 1029366 req, miss ratio 0.0481, byte miss ratio 0.0481
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d-1 cache size      153, 1029366 req, miss ratio 0.0278, byte miss ratio 0.0278
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d-1 cache size      511, 1029366 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d-1 cache size     1023, 1029366 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d-1 cache size     2047, 1029366 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d-1 cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst LRB cache size        5, 1029366 req, miss ratio 0.8025, byte miss ratio 0.8025
result/cdn2_colo28.ns165.oracleGeneral.zst LRB cache size       15, 1029366 req, miss ratio 0.2725, byte miss ratio 0.2725
result/cdn2_colo28.ns165.oracleGeneral.zst LRB cache size       51, 1029366 req, miss ratio 0.0480, byte miss ratio 0.0480
result/cdn2_colo28.ns165.oracleGeneral.zst LRB cache size      153, 1029366 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn2_colo28.ns165.oracleGeneral.zst LRB cache size      511, 1029366 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_colo28.ns165.oracleGeneral.zst LRB cache size     1023, 1029366 req, miss ratio 0.0116, byte miss ratio 0.0116
result/cdn2_colo28.ns165.oracleGeneral.zst LRB cache size     2047, 1029366 req, miss ratio 0.0072, byte miss ratio 0.0072
result/cdn2_colo28.ns165.oracleGeneral.zst LRB cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst TwoQ cache size        5, 1029366 req, miss ratio 0.7638, byte miss ratio 0.7638
result/cdn2_colo28.ns165.oracleGeneral.zst TwoQ cache size       15, 1029366 req, miss ratio 0.3650, byte miss ratio 0.3650
result/cdn2_colo28.ns165.oracleGeneral.zst TwoQ cache size       51, 1029366 req, miss ratio 0.0504, byte miss ratio 0.0504
result/cdn2_colo28.ns165.oracleGeneral.zst TwoQ cache size      153, 1029366 req, miss ratio 0.0294, byte miss ratio 0.0294
result/cdn2_colo28.ns165.oracleGeneral.zst TwoQ cache size      511, 1029366 req, miss ratio 0.0171, byte miss ratio 0.0171
result/cdn2_colo28.ns165.oracleGeneral.zst TwoQ cache size     1023, 1029366 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_colo28.ns165.oracleGeneral.zst TwoQ cache size     2047, 1029366 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns165.oracleGeneral.zst TwoQ cache size     4095, 1029366 req, miss ratio 0.0062, byte miss ratio 0.0062
result/cdn2_colo28.ns165.oracleGeneral.zst S4LRU(25:25:25:25) cache size        5, 1029366 req, miss ratio 0.7663, byte miss ratio 0.7663
result/cdn2_colo28.ns165.oracleGeneral.zst S4LRU(25:25:25:25) cache size       15, 1029366 req, miss ratio 0.3820, byte miss ratio 0.3820
result/cdn2_colo28.ns165.oracleGeneral.zst S4LRU(25:25:25:25) cache size       51, 1029366 req, miss ratio 0.0503, byte miss ratio 0.0503
result/cdn2_colo28.ns165.oracleGeneral.zst S4LRU(25:25:25:25) cache size      153, 1029366 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn2_colo28.ns165.oracleGeneral.zst S4LRU(25:25:25:25) cache size      511, 1029366 req, miss ratio 0.0165, byte miss ratio 0.0165
result/cdn2_colo28.ns165.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1023, 1029366 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_colo28.ns165.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2047, 1029366 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_colo28.ns165.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        5, 1029366 req, miss ratio 0.9098, byte miss ratio 0.9098
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       15, 1029366 req, miss ratio 0.4558, byte miss ratio 0.4558
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       51, 1029366 req, miss ratio 0.0861, byte miss ratio 0.0861
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      153, 1029366 req, miss ratio 0.0340, byte miss ratio 0.0340
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      511, 1029366 req, miss ratio 0.0189, byte miss ratio 0.0189
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1023, 1029366 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2047, 1029366 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_colo28.ns165.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4095, 1029366 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn2_colo28.ns165.oracleGeneral.zst B-LRU cache size        5, 1029366 req, miss ratio 0.9155, byte miss ratio 0.9155
result/cdn2_colo28.ns165.oracleGeneral.zst B-LRU cache size       15, 1029366 req, miss ratio 0.5290, byte miss ratio 0.5290
result/cdn2_colo28.ns165.oracleGeneral.zst B-LRU cache size       51, 1029366 req, miss ratio 0.0558, byte miss ratio 0.0558
result/cdn2_colo28.ns165.oracleGeneral.zst B-LRU cache size      153, 1029366 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_colo28.ns165.oracleGeneral.zst B-LRU cache size      511, 1029366 req, miss ratio 0.0181, byte miss ratio 0.0181
result/cdn2_colo28.ns165.oracleGeneral.zst B-LRU cache size     1023, 1029366 req, miss ratio 0.0132, byte miss ratio 0.0132
result/cdn2_colo28.ns165.oracleGeneral.zst B-LRU cache size     2047, 1029366 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_colo28.ns165.oracleGeneral.zst B-LRU cache size     4095, 1029366 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d cache size        5, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d cache size       15, 1029366 req, miss ratio 0.3128, byte miss ratio 0.3128
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d cache size       51, 1029366 req, miss ratio 0.0505, byte miss ratio 0.0505
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d cache size      153, 1029366 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d cache size      511, 1029366 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d cache size     1023, 1029366 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d cache size     2047, 1029366 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO-d cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO cache size        5, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO cache size       15, 1029366 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO cache size       51, 1029366 req, miss ratio 0.0474, byte miss ratio 0.0474
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO cache size      153, 1029366 req, miss ratio 0.0276, byte miss ratio 0.0276
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO cache size      511, 1029366 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO cache size     1023, 1029366 req, miss ratio 0.0112, byte miss ratio 0.0112
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO cache size     2047, 1029366 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_colo28.ns165.oracleGeneral.zst S3FIFO cache size     4095, 1029366 req, miss ratio 0.0051, byte miss ratio 0.0051
