result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO cache size      168, 5504594 req, miss ratio 0.4401, byte miss ratio 0.4401
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO cache size      562, 5504594 req, miss ratio 0.2898, byte miss ratio 0.2898
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO cache size     1687, 5504594 req, miss ratio 0.1623, byte miss ratio 0.1623
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO cache size     5625, 5504594 req, miss ratio 0.0659, byte miss ratio 0.0659
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO cache size    11251, 5504594 req, miss ratio 0.0321, byte miss ratio 0.0321
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO cache size    22502, 5504594 req, miss ratio 0.0149, byte miss ratio 0.0149
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO cache size    45004, 5504594 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d cache size       56, 5504594 req, miss ratio 0.6540, byte miss ratio 0.6540
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d cache size      168, 5504594 req, miss ratio 0.4915, byte miss ratio 0.4915
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d cache size      562, 5504594 req, miss ratio 0.3230, byte miss ratio 0.3230
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d cache size     1687, 5504594 req, miss ratio 0.1750, byte miss ratio 0.1750
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d cache size     5625, 5504594 req, miss ratio 0.0679, byte miss ratio 0.0679
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d cache size    11251, 5504594 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d cache size    22502, 5504594 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_colo28.ns259.oracleGeneral.zst S3FIFO-d cache size    45004, 5504594 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       56, 5504594 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      168, 5504594 req, miss ratio 0.4435, byte miss ratio 0.4435
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      562, 5504594 req, miss ratio 0.2872, byte miss ratio 0.2872
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1687, 5504594 req, miss ratio 0.1599, byte miss ratio 0.1599
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5625, 5504594 req, miss ratio 0.0642, byte miss ratio 0.0642
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11251, 5504594 req, miss ratio 0.0310, byte miss ratio 0.0310
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22502, 5504594 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    45004, 5504594 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       56, 5504594 req, miss ratio 0.5795, byte miss ratio 0.5795
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      168, 5504594 req, miss ratio 0.4417, byte miss ratio 0.4417
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      562, 5504594 req, miss ratio 0.2882, byte miss ratio 0.2882
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1687, 5504594 req, miss ratio 0.1609, byte miss ratio 0.1609
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5625, 5504594 req, miss ratio 0.0647, byte miss ratio 0.0647
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11251, 5504594 req, miss ratio 0.0315, byte miss ratio 0.0315
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22502, 5504594 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_colo28.ns259.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    45004, 5504594 req, miss ratio 0.0110, byte miss ratio 0.0110
