result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO cache size     2862, 7329618 req, miss ratio 0.0154, byte miss ratio 0.0154
result/cdn2_allcolo.ns546.oracleGeneral.zst FIFO cache size     5724, 7329618 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns546.oracleGeneral.zst LeCaR cache size        7, 7329618 req, miss ratio 0.8489, byte miss ratio 0.8489
result/cdn2_allcolo.ns546.oracleGeneral.zst LeCaR cache size       21, 7329618 req, miss ratio 0.7585, byte miss ratio 0.7585
result/cdn2_allcolo.ns546.oracleGeneral.zst LeCaR cache size       71, 7329618 req, miss ratio 0.5859, byte miss ratio 0.5859
result/cdn2_allcolo.ns546.oracleGeneral.zst LeCaR cache size      214, 7329618 req, miss ratio 0.3694, byte miss ratio 0.3694
result/cdn2_allcolo.ns546.oracleGeneral.zst LeCaR cache size      715, 7329618 req, miss ratio 0.1339, byte miss ratio 0.1339
result/cdn2_allcolo.ns546.oracleGeneral.zst LeCaR cache size     1431, 7329618 req, miss ratio 0.0446, byte miss ratio 0.0446
result/cdn2_allcolo.ns546.oracleGeneral.zst LeCaR cache size     2862, 7329618 req, miss ratio 0.0059, byte miss ratio 0.0059
result/cdn2_allcolo.ns546.oracleGeneral.zst LeCaR cache size     5724, 7329618 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns546.oracleGeneral.zst Cacheus cache size        7, 7329618 req, miss ratio 0.8348, byte miss ratio 0.8348
result/cdn2_allcolo.ns546.oracleGeneral.zst Cacheus cache size       21, 7329618 req, miss ratio 0.7231, byte miss ratio 0.7231
result/cdn2_allcolo.ns546.oracleGeneral.zst Cacheus cache size       71, 7329618 req, miss ratio 0.5544, byte miss ratio 0.5544
result/cdn2_allcolo.ns546.oracleGeneral.zst Cacheus cache size      214, 7329618 req, miss ratio 0.3048, byte miss ratio 0.3048
result/cdn2_allcolo.ns546.oracleGeneral.zst Cacheus cache size      715, 7329618 req, miss ratio 0.1381, byte miss ratio 0.1381
result/cdn2_allcolo.ns546.oracleGeneral.zst Cacheus cache size     1431, 7329618 req, miss ratio 0.0494, byte miss ratio 0.0494
