result/cdn2_allcolo.ns2181.oracleGeneral.zst Cacheus cache size    24443, 1194786 req, miss ratio 0.2177, byte miss ratio 0.2177
result/cdn2_allcolo.ns2181.oracleGeneral.zst Cacheus cache size    48886, 1194786 req, miss ratio 0.1447, byte miss ratio 0.1447
result/cdn2_allcolo.ns2181.oracleGeneral.zst Cacheus cache size    97773, 1194786 req, miss ratio 0.1054, byte miss ratio 0.1054
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO cache size      122, 1194786 req, miss ratio 0.8200, byte miss ratio 0.8200
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO cache size      366, 1194786 req, miss ratio 0.7194, byte miss ratio 0.7194
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO cache size     1222, 1194786 req, miss ratio 0.5898, byte miss ratio 0.5898
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO cache size     3666, 1194786 req, miss ratio 0.4697, byte miss ratio 0.4697
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO cache size    12221, 1194786 req, miss ratio 0.3389, byte miss ratio 0.3389
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO cache size    24443, 1194786 req, miss ratio 0.2599, byte miss ratio 0.2599
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO cache size    48886, 1194786 req, miss ratio 0.1811, byte miss ratio 0.1811
result/cdn2_allcolo.ns2181.oracleGeneral.zst FIFO cache size    97773, 1194786 req, miss ratio 0.1186, byte miss ratio 0.1186
result/cdn2_allcolo.ns2181.oracleGeneral.zst LHD cache size      122, 1194786 req, miss ratio 0.7307, byte miss ratio 0.7307
result/cdn2_allcolo.ns2181.oracleGeneral.zst LHD cache size      366, 1194786 req, miss ratio 0.6557, byte miss ratio 0.6557
result/cdn2_allcolo.ns2181.oracleGeneral.zst LHD cache size     1222, 1194786 req, miss ratio 0.5306, byte miss ratio 0.5306
result/cdn2_allcolo.ns2181.oracleGeneral.zst LHD cache size     3666, 1194786 req, miss ratio 0.4161, byte miss ratio 0.4161
result/cdn2_allcolo.ns2181.oracleGeneral.zst LHD cache size    12221, 1194786 req, miss ratio 0.2979, byte miss ratio 0.2979
result/cdn2_allcolo.ns2181.oracleGeneral.zst LHD cache size    24443, 1194786 req, miss ratio 0.2249, byte miss ratio 0.2249
result/cdn2_allcolo.ns2181.oracleGeneral.zst LHD cache size    48886, 1194786 req, miss ratio 0.1523, byte miss ratio 0.1523
result/cdn2_allcolo.ns2181.oracleGeneral.zst LHD cache size    97773, 1194786 req, miss ratio 0.1060, byte miss ratio 0.1060
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d-1 cache size      122, 1194786 req, miss ratio 0.6889, byte miss ratio 0.6889
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d-1 cache size      366, 1194786 req, miss ratio 0.5862, byte miss ratio 0.5862
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d-1 cache size     1222, 1194786 req, miss ratio 0.4716, byte miss ratio 0.4716
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d-1 cache size     3666, 1194786 req, miss ratio 0.3776, byte miss ratio 0.3776
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d-1 cache size    12221, 1194786 req, miss ratio 0.2694, byte miss ratio 0.2694
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d-1 cache size    24443, 1194786 req, miss ratio 0.2024, byte miss ratio 0.2024
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d-1 cache size    48886, 1194786 req, miss ratio 0.1414, byte miss ratio 0.1414
result/cdn2_allcolo.ns2181.oracleGeneral.zst S3FIFO-d-1 cache size    97773, 1194786 req, miss ratio 0.1054, byte miss ratio 0.1054
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRB cache size      122, 1194786 req, miss ratio 0.7041, byte miss ratio 0.7041
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRB cache size      366, 1194786 req, miss ratio 0.5979, byte miss ratio 0.5979
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRB cache size     1222, 1194786 req, miss ratio 0.4828, byte miss ratio 0.4828
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRB cache size     3666, 1194786 req, miss ratio 0.3890, byte miss ratio 0.3890
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRB cache size    12221, 1194786 req, miss ratio 0.2821, byte miss ratio 0.2821
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRB cache size    24443, 1194786 req, miss ratio 0.2149, byte miss ratio 0.2149
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRB cache size    48886, 1194786 req, miss ratio 0.1467, byte miss ratio 0.1467
result/cdn2_allcolo.ns2181.oracleGeneral.zst LRB cache size    97773, 1194786 req, miss ratio 0.1059, byte miss ratio 0.1059
result/cdn2_allcolo.ns2181.oracleGeneral.zst B-LRU cache size      122, 1194786 req, miss ratio 0.7883, byte miss ratio 0.7883
result/cdn2_allcolo.ns2181.oracleGeneral.zst B-LRU cache size      366, 1194786 req, miss ratio 0.6720, byte miss ratio 0.6720
result/cdn2_allcolo.ns2181.oracleGeneral.zst B-LRU cache size     1222, 1194786 req, miss ratio 0.5345, byte miss ratio 0.5345
result/cdn2_allcolo.ns2181.oracleGeneral.zst B-LRU cache size     3666, 1194786 req, miss ratio 0.4187, byte miss ratio 0.4187
result/cdn2_allcolo.ns2181.oracleGeneral.zst B-LRU cache size    12221, 1194786 req, miss ratio 0.2984, byte miss ratio 0.2984
result/cdn2_allcolo.ns2181.oracleGeneral.zst B-LRU cache size    24443, 1194786 req, miss ratio 0.2284, byte miss ratio 0.2284
result/cdn2_allcolo.ns2181.oracleGeneral.zst B-LRU cache size    48886, 1194786 req, miss ratio 0.1730, byte miss ratio 0.1730
