result/cdn2_colo28.ns8275.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       72, 1104329 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_colo28.ns8275.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      289, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO cache size       10, 1104329 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO cache size       36, 1104329 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO cache size       72, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d cache size       10, 1104329 req, miss ratio 0.2197, byte miss ratio 0.2197
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d cache size       36, 1104329 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d cache size       72, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst S3FIFO-d cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       10, 1104329 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       36, 1104329 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       72, 1104329 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      289, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       10, 1104329 req, miss ratio 0.1628, byte miss ratio 0.1628
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       36, 1104329 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       72, 1104329 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      144, 1104329 req, miss ratio 0.0004, byte miss ratio 0.0004
result/cdn2_colo28.ns8275.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      289, 1104329 req, miss ratio 0.0003, byte miss ratio 0.0003
