result/cdn2_colo28.ns317.oracleGeneral.zst LeCaR cache size    18167, 8199213 req, miss ratio 0.1166, byte miss ratio 0.1166
result/cdn2_colo28.ns317.oracleGeneral.zst LeCaR cache size    60557, 8199213 req, miss ratio 0.0992, byte miss ratio 0.0992
result/cdn2_colo28.ns317.oracleGeneral.zst LeCaR cache size   121115, 8199213 req, miss ratio 0.0926, byte miss ratio 0.0926
result/cdn2_colo28.ns317.oracleGeneral.zst LeCaR cache size   242231, 8199213 req, miss ratio 0.0877, byte miss ratio 0.0877
result/cdn2_colo28.ns317.oracleGeneral.zst LeCaR cache size   484462, 8199213 req, miss ratio 0.0743, byte miss ratio 0.0743
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d-1 cache size      605, 8199213 req, miss ratio 0.2235, byte miss ratio 0.2235
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d-1 cache size     1816, 8199213 req, miss ratio 0.1721, byte miss ratio 0.1721
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d-1 cache size     6055, 8199213 req, miss ratio 0.1327, byte miss ratio 0.1327
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d-1 cache size    18167, 8199213 req, miss ratio 0.1096, byte miss ratio 0.1096
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d-1 cache size    60557, 8199213 req, miss ratio 0.0962, byte miss ratio 0.0962
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d-1 cache size   121115, 8199213 req, miss ratio 0.0915, byte miss ratio 0.0915
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d-1 cache size   242231, 8199213 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn2_colo28.ns317.oracleGeneral.zst S3FIFO-d-1 cache size   484462, 8199213 req, miss ratio 0.0750, byte miss ratio 0.0750
result/cdn2_colo28.ns317.oracleGeneral.zst LRB cache size      605, 8199213 req, miss ratio 0.1930, byte miss ratio 0.1930
result/cdn2_colo28.ns317.oracleGeneral.zst LRB cache size     1816, 8199213 req, miss ratio 0.1510, byte miss ratio 0.1510
result/cdn2_colo28.ns317.oracleGeneral.zst LRB cache size     6055, 8199213 req, miss ratio 0.1190, byte miss ratio 0.1190
result/cdn2_colo28.ns317.oracleGeneral.zst LRB cache size    18167, 8199213 req, miss ratio 0.1041, byte miss ratio 0.1041
