result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d cache size       53, 1094474 req, miss ratio 0.0561, byte miss ratio 0.0561
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d cache size      106, 1094474 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_allcolo.ns3821.oracleGeneral.zst S3FIFO-d cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        7, 1094474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       26, 1094474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       53, 1094474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      106, 1094474 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        7, 1094474 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       26, 1094474 req, miss ratio 0.1198, byte miss ratio 0.1198
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       53, 1094474 req, miss ratio 0.0481, byte miss ratio 0.0481
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      106, 1094474 req, miss ratio 0.0064, byte miss ratio 0.0064
result/cdn2_allcolo.ns3821.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      212, 1094474 req, miss ratio 0.0003, byte miss ratio 0.0003
