result/cdn2_colo28.ns991.oracleGeneral.zst clock2 cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst clock2 cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst clock2 cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d-1 cache size       75, 35158448 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d-1 cache size      227, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d-1 cache size      757, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d-1 cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d-1 cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d-1 cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d-1 cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S3FIFO-d-1 cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LRB cache size       75, 35158448 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns991.oracleGeneral.zst LRB cache size      227, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst LRB cache size      757, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LRB cache size     2273, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LRB cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LRB cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LRB cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst LRB cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       75, 35158448 req, miss ratio 0.0051, byte miss ratio 0.0051
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      227, 35158448 req, miss ratio 0.0029, byte miss ratio 0.0029
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      757, 35158448 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2273, 35158448 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7576, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15153, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    30307, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    60615, 35158448 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_colo28.ns991.oracleGeneral.zst S4LRU(25:25:25:25) cache size       75, 35158448 req, miss ratio 0.0034, byte miss ratio 0.0034
