result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO cache size   103661, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO cache size  1036615, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO cache size  2073230, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO cache size  4146461, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst S3FIFO cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10366, 11620942 req, miss ratio 0.8925, byte miss ratio 0.8925
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31098, 11620942 req, miss ratio 0.8924, byte miss ratio 0.8924
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   103661, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   310984, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1036615, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2073230, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  4146461, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10366, 11620942 req, miss ratio 0.8924, byte miss ratio 0.8924
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31098, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   103661, 11620942 req, miss ratio 0.8923, byte miss ratio 0.8923
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   310984, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1036615, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2073230, 11620942 req, miss ratio 0.8922, byte miss ratio 0.8922
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  4146461, 11620942 req, miss ratio 0.8921, byte miss ratio 0.8921
result/cdn2_allcolo.ns964.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  8292922, 11620942 req, miss ratio 0.8920, byte miss ratio 0.8920
