result/cdn2_allcolo.ns3815.oracleGeneral.zst Cacheus cache size   230945, 2347655 req, miss ratio 0.4927, byte miss ratio 0.4927
result/cdn2_allcolo.ns3815.oracleGeneral.zst Cacheus cache size   461891, 2347655 req, miss ratio 0.4924, byte miss ratio 0.4924
result/cdn2_allcolo.ns3815.oracleGeneral.zst Cacheus cache size   923782, 2347655 req, miss ratio 0.4923, byte miss ratio 0.4923
result/cdn2_allcolo.ns3815.oracleGeneral.zst ARC cache size     1154, 2347655 req, miss ratio 0.7321, byte miss ratio 0.7321
result/cdn2_allcolo.ns3815.oracleGeneral.zst ARC cache size     3464, 2347655 req, miss ratio 0.6570, byte miss ratio 0.6570
result/cdn2_allcolo.ns3815.oracleGeneral.zst ARC cache size    11547, 2347655 req, miss ratio 0.5145, byte miss ratio 0.5145
result/cdn2_allcolo.ns3815.oracleGeneral.zst ARC cache size    34641, 2347655 req, miss ratio 0.4955, byte miss ratio 0.4955
result/cdn2_allcolo.ns3815.oracleGeneral.zst ARC cache size   115472, 2347655 req, miss ratio 0.4930, byte miss ratio 0.4930
result/cdn2_allcolo.ns3815.oracleGeneral.zst ARC cache size   230945, 2347655 req, miss ratio 0.4924, byte miss ratio 0.4924
result/cdn2_allcolo.ns3815.oracleGeneral.zst ARC cache size   461891, 2347655 req, miss ratio 0.4923, byte miss ratio 0.4923
result/cdn2_allcolo.ns3815.oracleGeneral.zst ARC cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst LHD cache size     1154, 2347655 req, miss ratio 0.7900, byte miss ratio 0.7900
result/cdn2_allcolo.ns3815.oracleGeneral.zst LHD cache size     3464, 2347655 req, miss ratio 0.7215, byte miss ratio 0.7215
result/cdn2_allcolo.ns3815.oracleGeneral.zst LHD cache size    11547, 2347655 req, miss ratio 0.6219, byte miss ratio 0.6219
result/cdn2_allcolo.ns3815.oracleGeneral.zst LHD cache size    34641, 2347655 req, miss ratio 0.5222, byte miss ratio 0.5222
result/cdn2_allcolo.ns3815.oracleGeneral.zst LHD cache size   115472, 2347655 req, miss ratio 0.4949, byte miss ratio 0.4949
result/cdn2_allcolo.ns3815.oracleGeneral.zst LHD cache size   230945, 2347655 req, miss ratio 0.4931, byte miss ratio 0.4931
result/cdn2_allcolo.ns3815.oracleGeneral.zst LHD cache size   461891, 2347655 req, miss ratio 0.4928, byte miss ratio 0.4928
result/cdn2_allcolo.ns3815.oracleGeneral.zst LHD cache size   923782, 2347655 req, miss ratio 0.4920, byte miss ratio 0.4920
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-1 cache size     1154, 2347655 req, miss ratio 0.7251, byte miss ratio 0.7251
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-1 cache size     3464, 2347655 req, miss ratio 0.6484, byte miss ratio 0.6484
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-1 cache size    11547, 2347655 req, miss ratio 0.5087, byte miss ratio 0.5087
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-1 cache size    34641, 2347655 req, miss ratio 0.4953, byte miss ratio 0.4953
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-1 cache size   115472, 2347655 req, miss ratio 0.4928, byte miss ratio 0.4928
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-1 cache size   230945, 2347655 req, miss ratio 0.4924, byte miss ratio 0.4924
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-1 cache size   461891, 2347655 req, miss ratio 0.4923, byte miss ratio 0.4923
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-1 cache size   923782, 2347655 req, miss ratio 0.4919, byte miss ratio 0.4919
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d-1 cache size     1154, 2347655 req, miss ratio 0.7254, byte miss ratio 0.7254
result/cdn2_allcolo.ns3815.oracleGeneral.zst S3FIFO-d-1 cache size     3464, 2347655 req, miss ratio 0.6464, byte miss ratio 0.6464
