result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    27377, 2980761 req, miss ratio 0.1076, byte miss ratio 0.1076
result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    54754, 2980761 req, miss ratio 0.0672, byte miss ratio 0.0672
result/cdn2_allcolo.ns2117.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   109508, 2980761 req, miss ratio 0.0518, byte miss ratio 0.0518
result/cdn2_allcolo.ns2117.oracleGeneral.zst S4LRU(25:25:25:25) cache size      136, 2980761 req, miss ratio 0.7388, byte miss ratio 0.7388
result/cdn2_allcolo.ns2117.oracleGeneral.zst S4LRU(25:25:25:25) cache size      410, 2980761 req, miss ratio 0.6047, byte miss ratio 0.6047
result/cdn2_allcolo.ns2117.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1368, 2980761 req, miss ratio 0.4331, byte miss ratio 0.4331
result/cdn2_allcolo.ns2117.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4106, 2980761 req, miss ratio 0.2826, byte miss ratio 0.2826
result/cdn2_allcolo.ns2117.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13688, 2980761 req, miss ratio 0.1468, byte miss ratio 0.1468
result/cdn2_allcolo.ns2117.oracleGeneral.zst S4LRU(25:25:25:25) cache size    27377, 2980761 req, miss ratio 0.0932, byte miss ratio 0.0932
result/cdn2_allcolo.ns2117.oracleGeneral.zst S4LRU(25:25:25:25) cache size    54754, 2980761 req, miss ratio 0.0618, byte miss ratio 0.0618
result/cdn2_allcolo.ns2117.oracleGeneral.zst S4LRU(25:25:25:25) cache size   109508, 2980761 req, miss ratio 0.0473, byte miss ratio 0.0473
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d cache size      136, 2980761 req, miss ratio 0.7583, byte miss ratio 0.7583
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d cache size      410, 2980761 req, miss ratio 0.6124, byte miss ratio 0.6124
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d cache size     1368, 2980761 req, miss ratio 0.4257, byte miss ratio 0.4257
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d cache size     4106, 2980761 req, miss ratio 0.2717, byte miss ratio 0.2717
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d cache size    13688, 2980761 req, miss ratio 0.1404, byte miss ratio 0.1404
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d cache size    27377, 2980761 req, miss ratio 0.0900, byte miss ratio 0.0900
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d cache size    54754, 2980761 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO-d cache size   109508, 2980761 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO cache size      136, 2980761 req, miss ratio 0.7190, byte miss ratio 0.7190
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO cache size      410, 2980761 req, miss ratio 0.5876, byte miss ratio 0.5876
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO cache size     1368, 2980761 req, miss ratio 0.4177, byte miss ratio 0.4177
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO cache size     4106, 2980761 req, miss ratio 0.2693, byte miss ratio 0.2693
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO cache size    13688, 2980761 req, miss ratio 0.1391, byte miss ratio 0.1391
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO cache size    27377, 2980761 req, miss ratio 0.0894, byte miss ratio 0.0894
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO cache size    54754, 2980761 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_allcolo.ns2117.oracleGeneral.zst S3FIFO cache size   109508, 2980761 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      136, 2980761 req, miss ratio 0.7282, byte miss ratio 0.7282
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      410, 2980761 req, miss ratio 0.5878, byte miss ratio 0.5878
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1368, 2980761 req, miss ratio 0.4175, byte miss ratio 0.4175
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4106, 2980761 req, miss ratio 0.2706, byte miss ratio 0.2706
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13688, 2980761 req, miss ratio 0.1368, byte miss ratio 0.1368
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    27377, 2980761 req, miss ratio 0.0889, byte miss ratio 0.0889
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    54754, 2980761 req, miss ratio 0.0625, byte miss ratio 0.0625
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   109508, 2980761 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      136, 2980761 req, miss ratio 0.7223, byte miss ratio 0.7223
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      410, 2980761 req, miss ratio 0.5893, byte miss ratio 0.5893
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1368, 2980761 req, miss ratio 0.4179, byte miss ratio 0.4179
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4106, 2980761 req, miss ratio 0.2693, byte miss ratio 0.2693
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13688, 2980761 req, miss ratio 0.1477, byte miss ratio 0.1477
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    27377, 2980761 req, miss ratio 0.0950, byte miss ratio 0.0950
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    54754, 2980761 req, miss ratio 0.0639, byte miss ratio 0.0639
result/cdn2_allcolo.ns2117.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   109508, 2980761 req, miss ratio 0.0494, byte miss ratio 0.0494
