result/cdn2_colo28.ns157.oracleGeneral.zst LHD cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst LHD cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO cache size      468, 1846055 req, miss ratio 0.2865, byte miss ratio 0.2865
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO cache size     1405, 1846055 req, miss ratio 0.2728, byte miss ratio 0.2728
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO cache size     4683, 1846055 req, miss ratio 0.2625, byte miss ratio 0.2625
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO cache size    14051, 1846055 req, miss ratio 0.2578, byte miss ratio 0.2578
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO cache size    46838, 1846055 req, miss ratio 0.2553, byte miss ratio 0.2553
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO cache size    93676, 1846055 req, miss ratio 0.2546, byte miss ratio 0.2546
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO cache size   187352, 1846055 req, miss ratio 0.2542, byte miss ratio 0.2542
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO cache size   374705, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst LeCaR cache size      468, 1846055 req, miss ratio 0.2764, byte miss ratio 0.2764
result/cdn2_colo28.ns157.oracleGeneral.zst LeCaR cache size     1405, 1846055 req, miss ratio 0.2652, byte miss ratio 0.2652
result/cdn2_colo28.ns157.oracleGeneral.zst LeCaR cache size     4683, 1846055 req, miss ratio 0.2570, byte miss ratio 0.2570
result/cdn2_colo28.ns157.oracleGeneral.zst LeCaR cache size    14051, 1846055 req, miss ratio 0.2552, byte miss ratio 0.2552
result/cdn2_colo28.ns157.oracleGeneral.zst LeCaR cache size    46838, 1846055 req, miss ratio 0.2542, byte miss ratio 0.2542
result/cdn2_colo28.ns157.oracleGeneral.zst LeCaR cache size    93676, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst LeCaR cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst LeCaR cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d-1 cache size      468, 1846055 req, miss ratio 0.2698, byte miss ratio 0.2698
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d-1 cache size     1405, 1846055 req, miss ratio 0.2597, byte miss ratio 0.2597
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d-1 cache size     4683, 1846055 req, miss ratio 0.2557, byte miss ratio 0.2557
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d-1 cache size    14051, 1846055 req, miss ratio 0.2545, byte miss ratio 0.2545
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d-1 cache size    46838, 1846055 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d-1 cache size    93676, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d-1 cache size   187352, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d-1 cache size   374705, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst LRB cache size      468, 1846055 req, miss ratio 0.2759, byte miss ratio 0.2759
result/cdn2_colo28.ns157.oracleGeneral.zst LRB cache size     1405, 1846055 req, miss ratio 0.2648, byte miss ratio 0.2648
result/cdn2_colo28.ns157.oracleGeneral.zst LRB cache size     4683, 1846055 req, miss ratio 0.2569, byte miss ratio 0.2569
result/cdn2_colo28.ns157.oracleGeneral.zst LRB cache size    14051, 1846055 req, miss ratio 0.2551, byte miss ratio 0.2551
result/cdn2_colo28.ns157.oracleGeneral.zst LRB cache size    46838, 1846055 req, miss ratio 0.2542, byte miss ratio 0.2542
result/cdn2_colo28.ns157.oracleGeneral.zst LRB cache size    93676, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst LRB cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst LRB cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst S4LRU(25:25:25:25) cache size      468, 1846055 req, miss ratio 0.2628, byte miss ratio 0.2628
result/cdn2_colo28.ns157.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1405, 1846055 req, miss ratio 0.2575, byte miss ratio 0.2575
result/cdn2_colo28.ns157.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4683, 1846055 req, miss ratio 0.2548, byte miss ratio 0.2548
result/cdn2_colo28.ns157.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14051, 1846055 req, miss ratio 0.2541, byte miss ratio 0.2541
result/cdn2_colo28.ns157.oracleGeneral.zst S4LRU(25:25:25:25) cache size    46838, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst S4LRU(25:25:25:25) cache size    93676, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst S4LRU(25:25:25:25) cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst S4LRU(25:25:25:25) cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst B-LRU cache size      468, 1846055 req, miss ratio 0.5289, byte miss ratio 0.5289
result/cdn2_colo28.ns157.oracleGeneral.zst B-LRU cache size     1405, 1846055 req, miss ratio 0.5177, byte miss ratio 0.5177
result/cdn2_colo28.ns157.oracleGeneral.zst B-LRU cache size     4683, 1846055 req, miss ratio 0.5099, byte miss ratio 0.5099
result/cdn2_colo28.ns157.oracleGeneral.zst B-LRU cache size    14051, 1846055 req, miss ratio 0.5081, byte miss ratio 0.5081
result/cdn2_colo28.ns157.oracleGeneral.zst B-LRU cache size    46838, 1846055 req, miss ratio 0.5071, byte miss ratio 0.5071
result/cdn2_colo28.ns157.oracleGeneral.zst B-LRU cache size    93676, 1846055 req, miss ratio 0.5069, byte miss ratio 0.5069
result/cdn2_colo28.ns157.oracleGeneral.zst B-LRU cache size   187352, 1846055 req, miss ratio 0.5068, byte miss ratio 0.5068
result/cdn2_colo28.ns157.oracleGeneral.zst B-LRU cache size   374705, 1846055 req, miss ratio 0.5067, byte miss ratio 0.5067
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      468, 1846055 req, miss ratio 0.2704, byte miss ratio 0.2704
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1405, 1846055 req, miss ratio 0.2615, byte miss ratio 0.2615
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4683, 1846055 req, miss ratio 0.2563, byte miss ratio 0.2563
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14051, 1846055 req, miss ratio 0.2547, byte miss ratio 0.2547
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    46838, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    93676, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   187352, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst TwoQ cache size      468, 1846055 req, miss ratio 0.2575, byte miss ratio 0.2575
result/cdn2_colo28.ns157.oracleGeneral.zst TwoQ cache size     1405, 1846055 req, miss ratio 0.2556, byte miss ratio 0.2556
result/cdn2_colo28.ns157.oracleGeneral.zst TwoQ cache size     4683, 1846055 req, miss ratio 0.2548, byte miss ratio 0.2548
result/cdn2_colo28.ns157.oracleGeneral.zst TwoQ cache size    14051, 1846055 req, miss ratio 0.2545, byte miss ratio 0.2545
result/cdn2_colo28.ns157.oracleGeneral.zst TwoQ cache size    46838, 1846055 req, miss ratio 0.2542, byte miss ratio 0.2542
result/cdn2_colo28.ns157.oracleGeneral.zst TwoQ cache size    93676, 1846055 req, miss ratio 0.2541, byte miss ratio 0.2541
result/cdn2_colo28.ns157.oracleGeneral.zst TwoQ cache size   187352, 1846055 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn2_colo28.ns157.oracleGeneral.zst TwoQ cache size   374705, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d cache size      468, 1846055 req, miss ratio 0.2580, byte miss ratio 0.2580
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d cache size     1405, 1846055 req, miss ratio 0.2552, byte miss ratio 0.2552
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d cache size     4683, 1846055 req, miss ratio 0.2543, byte miss ratio 0.2543
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d cache size    14051, 1846055 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d cache size    46838, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d cache size    93676, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d cache size   187352, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO-d cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO cache size      468, 1846055 req, miss ratio 0.2581, byte miss ratio 0.2581
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO cache size     1405, 1846055 req, miss ratio 0.2552, byte miss ratio 0.2552
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO cache size     4683, 1846055 req, miss ratio 0.2543, byte miss ratio 0.2543
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO cache size    14051, 1846055 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO cache size    46838, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO cache size    93676, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO cache size   187352, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst S3FIFO cache size   374705, 1846055 req, miss ratio 0.2537, byte miss ratio 0.2537
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      468, 1846055 req, miss ratio 0.2581, byte miss ratio 0.2581
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1405, 1846055 req, miss ratio 0.2562, byte miss ratio 0.2562
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4683, 1846055 req, miss ratio 0.2553, byte miss ratio 0.2553
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14051, 1846055 req, miss ratio 0.2546, byte miss ratio 0.2546
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    46838, 1846055 req, miss ratio 0.2541, byte miss ratio 0.2541
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    93676, 1846055 req, miss ratio 0.2540, byte miss ratio 0.2540
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   187352, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   374705, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      468, 1846055 req, miss ratio 0.2574, byte miss ratio 0.2574
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1405, 1846055 req, miss ratio 0.2558, byte miss ratio 0.2558
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4683, 1846055 req, miss ratio 0.2549, byte miss ratio 0.2549
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14051, 1846055 req, miss ratio 0.2545, byte miss ratio 0.2545
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    46838, 1846055 req, miss ratio 0.2542, byte miss ratio 0.2542
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    93676, 1846055 req, miss ratio 0.2541, byte miss ratio 0.2541
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   187352, 1846055 req, miss ratio 0.2539, byte miss ratio 0.2539
result/cdn2_colo28.ns157.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   374705, 1846055 req, miss ratio 0.2538, byte miss ratio 0.2538
