result/cdn2_colo28.ns1171.oracleGeneral.zst LRU cache size   264498, 4893350 req, miss ratio 0.1648, byte miss ratio 0.1648
result/cdn2_colo28.ns1171.oracleGeneral.zst LRU cache size   528997, 4893350 req, miss ratio 0.1370, byte miss ratio 0.1370
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d-1 cache size      661, 4893350 req, miss ratio 0.6651, byte miss ratio 0.6651
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d-1 cache size     1983, 4893350 req, miss ratio 0.5797, byte miss ratio 0.5797
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d-1 cache size     6612, 4893350 req, miss ratio 0.4665, byte miss ratio 0.4665
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d-1 cache size    19837, 4893350 req, miss ratio 0.3539, byte miss ratio 0.3539
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d-1 cache size    66124, 4893350 req, miss ratio 0.2416, byte miss ratio 0.2416
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d-1 cache size   132249, 4893350 req, miss ratio 0.1915, byte miss ratio 0.1915
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d-1 cache size   264498, 4893350 req, miss ratio 0.1561, byte miss ratio 0.1561
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO-d-1 cache size   528997, 4893350 req, miss ratio 0.1369, byte miss ratio 0.1369
result/cdn2_colo28.ns1171.oracleGeneral.zst LRB cache size      661, 4893350 req, miss ratio 0.6612, byte miss ratio 0.6612
result/cdn2_colo28.ns1171.oracleGeneral.zst LRB cache size     1983, 4893350 req, miss ratio 0.5702, byte miss ratio 0.5702
result/cdn2_colo28.ns1171.oracleGeneral.zst LRB cache size     6612, 4893350 req, miss ratio 0.4545, byte miss ratio 0.4545
result/cdn2_colo28.ns1171.oracleGeneral.zst LRB cache size    19837, 4893350 req, miss ratio 0.3503, byte miss ratio 0.3503
result/cdn2_colo28.ns1171.oracleGeneral.zst LRB cache size    66124, 4893350 req, miss ratio 0.2557, byte miss ratio 0.2557
result/cdn2_colo28.ns1171.oracleGeneral.zst LRB cache size   132249, 4893350 req, miss ratio 0.2063, byte miss ratio 0.2063
result/cdn2_colo28.ns1171.oracleGeneral.zst LRB cache size   264498, 4893350 req, miss ratio 0.1576, byte miss ratio 0.1576
result/cdn2_colo28.ns1171.oracleGeneral.zst LRB cache size   528997, 4893350 req, miss ratio 0.1371, byte miss ratio 0.1371
result/cdn2_colo28.ns1171.oracleGeneral.zst B-LRU cache size      661, 4893350 req, miss ratio 0.7466, byte miss ratio 0.7466
result/cdn2_colo28.ns1171.oracleGeneral.zst B-LRU cache size     1983, 4893350 req, miss ratio 0.6529, byte miss ratio 0.6529
result/cdn2_colo28.ns1171.oracleGeneral.zst B-LRU cache size     6612, 4893350 req, miss ratio 0.5260, byte miss ratio 0.5260
result/cdn2_colo28.ns1171.oracleGeneral.zst B-LRU cache size    19837, 4893350 req, miss ratio 0.3994, byte miss ratio 0.3994
result/cdn2_colo28.ns1171.oracleGeneral.zst B-LRU cache size    66124, 4893350 req, miss ratio 0.2693, byte miss ratio 0.2693
result/cdn2_colo28.ns1171.oracleGeneral.zst B-LRU cache size   132249, 4893350 req, miss ratio 0.2148, byte miss ratio 0.2148
result/cdn2_colo28.ns1171.oracleGeneral.zst B-LRU cache size   264498, 4893350 req, miss ratio 0.1933, byte miss ratio 0.1933
result/cdn2_colo28.ns1171.oracleGeneral.zst B-LRU cache size   528997, 4893350 req, miss ratio 0.1932, byte miss ratio 0.1932
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      661, 4893350 req, miss ratio 0.7432, byte miss ratio 0.7432
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1983, 4893350 req, miss ratio 0.6493, byte miss ratio 0.6493
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6612, 4893350 req, miss ratio 0.5281, byte miss ratio 0.5281
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19837, 4893350 req, miss ratio 0.4056, byte miss ratio 0.4056
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    66124, 4893350 req, miss ratio 0.2763, byte miss ratio 0.2763
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   132249, 4893350 req, miss ratio 0.2134, byte miss ratio 0.2134
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   264498, 4893350 req, miss ratio 0.1654, byte miss ratio 0.1654
result/cdn2_colo28.ns1171.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   528997, 4893350 req, miss ratio 0.1424, byte miss ratio 0.1424
result/cdn2_colo28.ns1171.oracleGeneral.zst TwoQ cache size      661, 4893350 req, miss ratio 0.6762, byte miss ratio 0.6762
result/cdn2_colo28.ns1171.oracleGeneral.zst TwoQ cache size     1983, 4893350 req, miss ratio 0.5909, byte miss ratio 0.5909
result/cdn2_colo28.ns1171.oracleGeneral.zst TwoQ cache size     6612, 4893350 req, miss ratio 0.4783, byte miss ratio 0.4783
result/cdn2_colo28.ns1171.oracleGeneral.zst TwoQ cache size    19837, 4893350 req, miss ratio 0.3646, byte miss ratio 0.3646
result/cdn2_colo28.ns1171.oracleGeneral.zst TwoQ cache size    66124, 4893350 req, miss ratio 0.2549, byte miss ratio 0.2549
result/cdn2_colo28.ns1171.oracleGeneral.zst TwoQ cache size   132249, 4893350 req, miss ratio 0.2073, byte miss ratio 0.2073
result/cdn2_colo28.ns1171.oracleGeneral.zst TwoQ cache size   264498, 4893350 req, miss ratio 0.1759, byte miss ratio 0.1759
result/cdn2_colo28.ns1171.oracleGeneral.zst TwoQ cache size   528997, 4893350 req, miss ratio 0.1484, byte miss ratio 0.1484
result/cdn2_colo28.ns1171.oracleGeneral.zst S4LRU(25:25:25:25) cache size      661, 4893350 req, miss ratio 0.6771, byte miss ratio 0.6771
result/cdn2_colo28.ns1171.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1983, 4893350 req, miss ratio 0.5907, byte miss ratio 0.5907
result/cdn2_colo28.ns1171.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6612, 4893350 req, miss ratio 0.4761, byte miss ratio 0.4761
result/cdn2_colo28.ns1171.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19837, 4893350 req, miss ratio 0.3633, byte miss ratio 0.3633
result/cdn2_colo28.ns1171.oracleGeneral.zst S4LRU(25:25:25:25) cache size    66124, 4893350 req, miss ratio 0.2495, byte miss ratio 0.2495
result/cdn2_colo28.ns1171.oracleGeneral.zst S4LRU(25:25:25:25) cache size   132249, 4893350 req, miss ratio 0.1983, byte miss ratio 0.1983
result/cdn2_colo28.ns1171.oracleGeneral.zst S4LRU(25:25:25:25) cache size   264498, 4893350 req, miss ratio 0.1601, byte miss ratio 0.1601
result/cdn2_colo28.ns1171.oracleGeneral.zst S4LRU(25:25:25:25) cache size   528997, 4893350 req, miss ratio 0.1370, byte miss ratio 0.1370
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO cache size      661, 4893350 req, miss ratio 0.6627, byte miss ratio 0.6627
result/cdn2_colo28.ns1171.oracleGeneral.zst S3FIFO cache size     1983, 4893350 req, miss ratio 0.5768, byte miss ratio 0.5768
