result/cdn2_colo28.ns630.oracleGeneral.zst Cacheus cache size       45, 3909901 req, miss ratio 0.4301, byte miss ratio 0.4301
result/cdn2_colo28.ns630.oracleGeneral.zst Cacheus cache size      136, 3909901 req, miss ratio 0.2331, byte miss ratio 0.2331
result/cdn2_colo28.ns630.oracleGeneral.zst Cacheus cache size      455, 3909901 req, miss ratio 0.1106, byte miss ratio 0.1106
result/cdn2_colo28.ns630.oracleGeneral.zst Cacheus cache size     1367, 3909901 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cdn2_colo28.ns630.oracleGeneral.zst Cacheus cache size     4557, 3909901 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_colo28.ns630.oracleGeneral.zst Cacheus cache size     9114, 3909901 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_colo28.ns630.oracleGeneral.zst Cacheus cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst Cacheus cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d-1 cache size       45, 3909901 req, miss ratio 0.4011, byte miss ratio 0.4011
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d-1 cache size      136, 3909901 req, miss ratio 0.2272, byte miss ratio 0.2272
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d-1 cache size      455, 3909901 req, miss ratio 0.0984, byte miss ratio 0.0984
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d-1 cache size     1367, 3909901 req, miss ratio 0.0318, byte miss ratio 0.0318
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d-1 cache size     4557, 3909901 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d-1 cache size     9114, 3909901 req, miss ratio 0.0119, byte miss ratio 0.0119
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d-1 cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst S3FIFO-d-1 cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst LRB cache size       45, 3909901 req, miss ratio 0.3910, byte miss ratio 0.3910
result/cdn2_colo28.ns630.oracleGeneral.zst LRB cache size      136, 3909901 req, miss ratio 0.2234, byte miss ratio 0.2234
result/cdn2_colo28.ns630.oracleGeneral.zst LRB cache size      455, 3909901 req, miss ratio 0.0926, byte miss ratio 0.0926
result/cdn2_colo28.ns630.oracleGeneral.zst LRB cache size     1367, 3909901 req, miss ratio 0.0300, byte miss ratio 0.0300
result/cdn2_colo28.ns630.oracleGeneral.zst LRB cache size     4557, 3909901 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_colo28.ns630.oracleGeneral.zst LRB cache size     9114, 3909901 req, miss ratio 0.0121, byte miss ratio 0.0121
result/cdn2_colo28.ns630.oracleGeneral.zst LRB cache size    18229, 3909901 req, miss ratio 0.0118, byte miss ratio 0.0118
result/cdn2_colo28.ns630.oracleGeneral.zst LRB cache size    36458, 3909901 req, miss ratio 0.0117, byte miss ratio 0.0117
result/cdn2_colo28.ns630.oracleGeneral.zst S4LRU(25:25:25:25) cache size       45, 3909901 req, miss ratio 0.4018, byte miss ratio 0.4018
result/cdn2_colo28.ns630.oracleGeneral.zst S4LRU(25:25:25:25) cache size      136, 3909901 req, miss ratio 0.2289, byte miss ratio 0.2289
result/cdn2_colo28.ns630.oracleGeneral.zst S4LRU(25:25:25:25) cache size      455, 3909901 req, miss ratio 0.1015, byte miss ratio 0.1015
result/cdn2_colo28.ns630.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1367, 3909901 req, miss ratio 0.0349, byte miss ratio 0.0349
result/cdn2_colo28.ns630.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4557, 3909901 req, miss ratio 0.0129, byte miss ratio 0.0129
result/cdn2_colo28.ns630.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9114, 3909901 req, miss ratio 0.0120, byte miss ratio 0.0120
