result/cdn2_allcolo.ns2524.oracleGeneral.zst ARC cache size     3979, 2570645 req, miss ratio 0.0183, byte miss ratio 0.0183
result/cdn2_allcolo.ns2524.oracleGeneral.zst ARC cache size     7959, 2570645 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2524.oracleGeneral.zst Clock cache size        9, 2570645 req, miss ratio 0.1084, byte miss ratio 0.1084
result/cdn2_allcolo.ns2524.oracleGeneral.zst Clock cache size       29, 2570645 req, miss ratio 0.0848, byte miss ratio 0.0848
result/cdn2_allcolo.ns2524.oracleGeneral.zst Clock cache size       99, 2570645 req, miss ratio 0.0637, byte miss ratio 0.0637
result/cdn2_allcolo.ns2524.oracleGeneral.zst Clock cache size      298, 2570645 req, miss ratio 0.0461, byte miss ratio 0.0461
result/cdn2_allcolo.ns2524.oracleGeneral.zst Clock cache size      994, 2570645 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_allcolo.ns2524.oracleGeneral.zst Clock cache size     1989, 2570645 req, miss ratio 0.0250, byte miss ratio 0.0250
result/cdn2_allcolo.ns2524.oracleGeneral.zst Clock cache size     3979, 2570645 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cdn2_allcolo.ns2524.oracleGeneral.zst Clock cache size     7959, 2570645 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO cache size        9, 2570645 req, miss ratio 0.1234, byte miss ratio 0.1234
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO cache size       29, 2570645 req, miss ratio 0.0920, byte miss ratio 0.0920
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO cache size       99, 2570645 req, miss ratio 0.0691, byte miss ratio 0.0691
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO cache size      298, 2570645 req, miss ratio 0.0515, byte miss ratio 0.0515
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO cache size      994, 2570645 req, miss ratio 0.0357, byte miss ratio 0.0357
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO cache size     1989, 2570645 req, miss ratio 0.0273, byte miss ratio 0.0273
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO cache size     3979, 2570645 req, miss ratio 0.0223, byte miss ratio 0.0223
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO cache size     7959, 2570645 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d-1 cache size        9, 2570645 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d-1 cache size       29, 2570645 req, miss ratio 0.0822, byte miss ratio 0.0822
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d-1 cache size       99, 2570645 req, miss ratio 0.0602, byte miss ratio 0.0602
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d-1 cache size      298, 2570645 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d-1 cache size      994, 2570645 req, miss ratio 0.0300, byte miss ratio 0.0300
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d-1 cache size     1989, 2570645 req, miss ratio 0.0224, byte miss ratio 0.0224
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d-1 cache size     3979, 2570645 req, miss ratio 0.0126, byte miss ratio 0.0126
result/cdn2_allcolo.ns2524.oracleGeneral.zst S3FIFO-d-1 cache size     7959, 2570645 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns2524.oracleGeneral.zst LRB cache size        9, 2570645 req, miss ratio 0.1223, byte miss ratio 0.1223
result/cdn2_allcolo.ns2524.oracleGeneral.zst LRB cache size       29, 2570645 req, miss ratio 0.0974, byte miss ratio 0.0974
result/cdn2_allcolo.ns2524.oracleGeneral.zst LRB cache size       99, 2570645 req, miss ratio 0.0639, byte miss ratio 0.0639
result/cdn2_allcolo.ns2524.oracleGeneral.zst LRB cache size      298, 2570645 req, miss ratio 0.0407, byte miss ratio 0.0407
result/cdn2_allcolo.ns2524.oracleGeneral.zst LRB cache size      994, 2570645 req, miss ratio 0.0277, byte miss ratio 0.0277
result/cdn2_allcolo.ns2524.oracleGeneral.zst LRB cache size     1989, 2570645 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_allcolo.ns2524.oracleGeneral.zst LRB cache size     3979, 2570645 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_allcolo.ns2524.oracleGeneral.zst LRB cache size     7959, 2570645 req, miss ratio 0.0045, byte miss ratio 0.0045
result/cdn2_allcolo.ns2524.oracleGeneral.zst B-LRU cache size        9, 2570645 req, miss ratio 0.1089, byte miss ratio 0.1089
result/cdn2_allcolo.ns2524.oracleGeneral.zst B-LRU cache size       29, 2570645 req, miss ratio 0.0855, byte miss ratio 0.0855
result/cdn2_allcolo.ns2524.oracleGeneral.zst B-LRU cache size       99, 2570645 req, miss ratio 0.0644, byte miss ratio 0.0644
result/cdn2_allcolo.ns2524.oracleGeneral.zst B-LRU cache size      298, 2570645 req, miss ratio 0.0470, byte miss ratio 0.0470
result/cdn2_allcolo.ns2524.oracleGeneral.zst B-LRU cache size      994, 2570645 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn2_allcolo.ns2524.oracleGeneral.zst B-LRU cache size     1989, 2570645 req, miss ratio 0.0269, byte miss ratio 0.0269
result/cdn2_allcolo.ns2524.oracleGeneral.zst B-LRU cache size     3979, 2570645 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns2524.oracleGeneral.zst B-LRU cache size     7959, 2570645 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        9, 2570645 req, miss ratio 0.1234, byte miss ratio 0.1234
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       29, 2570645 req, miss ratio 0.0920, byte miss ratio 0.0920
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       99, 2570645 req, miss ratio 0.0691, byte miss ratio 0.0691
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      298, 2570645 req, miss ratio 0.0486, byte miss ratio 0.0486
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      994, 2570645 req, miss ratio 0.0327, byte miss ratio 0.0327
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1989, 2570645 req, miss ratio 0.0249, byte miss ratio 0.0249
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3979, 2570645 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns2524.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7959, 2570645 req, miss ratio 0.0055, byte miss ratio 0.0055
