result/cdn2_allcolo.ns2580.oracleGeneral.zst LRB cache size    37291, 8903915 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       46, 8903915 req, miss ratio 0.9354, byte miss ratio 0.9354
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      139, 8903915 req, miss ratio 0.8142, byte miss ratio 0.8142
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      466, 8903915 req, miss ratio 0.6408, byte miss ratio 0.6408
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1398, 8903915 req, miss ratio 0.3675, byte miss ratio 0.3675
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4661, 8903915 req, miss ratio 0.1128, byte miss ratio 0.1128
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9322, 8903915 req, miss ratio 0.0524, byte miss ratio 0.0524
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18645, 8903915 req, miss ratio 0.0201, byte miss ratio 0.0201
result/cdn2_allcolo.ns2580.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    37291, 8903915 req, miss ratio 0.0073, byte miss ratio 0.0073
result/cdn2_allcolo.ns2580.oracleGeneral.zst TwoQ cache size       46, 8903915 req, miss ratio 0.8554, byte miss ratio 0.8554
result/cdn2_allcolo.ns2580.oracleGeneral.zst TwoQ cache size      139, 8903915 req, miss ratio 0.7601, byte miss ratio 0.7601
result/cdn2_allcolo.ns2580.oracleGeneral.zst TwoQ cache size      466, 8903915 req, miss ratio 0.5836, byte miss ratio 0.5836
result/cdn2_allcolo.ns2580.oracleGeneral.zst TwoQ cache size     1398, 8903915 req, miss ratio 0.3372, byte miss ratio 0.3372
result/cdn2_allcolo.ns2580.oracleGeneral.zst TwoQ cache size     4661, 8903915 req, miss ratio 0.0992, byte miss ratio 0.0992
result/cdn2_allcolo.ns2580.oracleGeneral.zst TwoQ cache size     9322, 8903915 req, miss ratio 0.0472, byte miss ratio 0.0472
result/cdn2_allcolo.ns2580.oracleGeneral.zst TwoQ cache size    18645, 8903915 req, miss ratio 0.0196, byte miss ratio 0.0196
result/cdn2_allcolo.ns2580.oracleGeneral.zst TwoQ cache size    37291, 8903915 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns2580.oracleGeneral.zst S4LRU(25:25:25:25) cache size       46, 8903915 req, miss ratio 0.8528, byte miss ratio 0.8528
result/cdn2_allcolo.ns2580.oracleGeneral.zst S4LRU(25:25:25:25) cache size      139, 8903915 req, miss ratio 0.7542, byte miss ratio 0.7542
result/cdn2_allcolo.ns2580.oracleGeneral.zst S4LRU(25:25:25:25) cache size      466, 8903915 req, miss ratio 0.5678, byte miss ratio 0.5678
result/cdn2_allcolo.ns2580.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1398, 8903915 req, miss ratio 0.3139, byte miss ratio 0.3139
result/cdn2_allcolo.ns2580.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4661, 8903915 req, miss ratio 0.0901, byte miss ratio 0.0901
result/cdn2_allcolo.ns2580.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9322, 8903915 req, miss ratio 0.0428, byte miss ratio 0.0428
result/cdn2_allcolo.ns2580.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18645, 8903915 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns2580.oracleGeneral.zst S4LRU(25:25:25:25) cache size    37291, 8903915 req, miss ratio 0.0056, byte miss ratio 0.0056
result/cdn2_allcolo.ns2580.oracleGeneral.zst B-LRU cache size       46, 8903915 req, miss ratio 0.9311, byte miss ratio 0.9311
result/cdn2_allcolo.ns2580.oracleGeneral.zst B-LRU cache size      139, 8903915 req, miss ratio 0.8442, byte miss ratio 0.8442
result/cdn2_allcolo.ns2580.oracleGeneral.zst B-LRU cache size      466, 8903915 req, miss ratio 0.6623, byte miss ratio 0.6623
result/cdn2_allcolo.ns2580.oracleGeneral.zst B-LRU cache size     1398, 8903915 req, miss ratio 0.3893, byte miss ratio 0.3893
result/cdn2_allcolo.ns2580.oracleGeneral.zst B-LRU cache size     4661, 8903915 req, miss ratio 0.1074, byte miss ratio 0.1074
result/cdn2_allcolo.ns2580.oracleGeneral.zst B-LRU cache size     9322, 8903915 req, miss ratio 0.0482, byte miss ratio 0.0482
result/cdn2_allcolo.ns2580.oracleGeneral.zst B-LRU cache size    18645, 8903915 req, miss ratio 0.0187, byte miss ratio 0.0187
result/cdn2_allcolo.ns2580.oracleGeneral.zst B-LRU cache size    37291, 8903915 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO cache size       46, 8903915 req, miss ratio 0.8382, byte miss ratio 0.8382
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO cache size      139, 8903915 req, miss ratio 0.7413, byte miss ratio 0.7413
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO cache size      466, 8903915 req, miss ratio 0.5567, byte miss ratio 0.5567
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO cache size     1398, 8903915 req, miss ratio 0.3044, byte miss ratio 0.3044
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO cache size     4661, 8903915 req, miss ratio 0.0859, byte miss ratio 0.0859
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO cache size     9322, 8903915 req, miss ratio 0.0421, byte miss ratio 0.0421
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO cache size    18645, 8903915 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO cache size    37291, 8903915 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d cache size       46, 8903915 req, miss ratio 0.9194, byte miss ratio 0.9194
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d cache size      139, 8903915 req, miss ratio 0.8179, byte miss ratio 0.8179
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d cache size      466, 8903915 req, miss ratio 0.6290, byte miss ratio 0.6290
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d cache size     1398, 8903915 req, miss ratio 0.3477, byte miss ratio 0.3477
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d cache size     4661, 8903915 req, miss ratio 0.0930, byte miss ratio 0.0930
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d cache size     9322, 8903915 req, miss ratio 0.0433, byte miss ratio 0.0433
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d cache size    18645, 8903915 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_allcolo.ns2580.oracleGeneral.zst S3FIFO-d cache size    37291, 8903915 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       46, 8903915 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      139, 8903915 req, miss ratio 0.7402, byte miss ratio 0.7402
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      466, 8903915 req, miss ratio 0.5434, byte miss ratio 0.5434
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1398, 8903915 req, miss ratio 0.2693, byte miss ratio 0.2693
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4661, 8903915 req, miss ratio 0.0782, byte miss ratio 0.0782
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9322, 8903915 req, miss ratio 0.0396, byte miss ratio 0.0396
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18645, 8903915 req, miss ratio 0.0158, byte miss ratio 0.0158
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    37291, 8903915 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       46, 8903915 req, miss ratio 0.8437, byte miss ratio 0.8437
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      139, 8903915 req, miss ratio 0.7432, byte miss ratio 0.7432
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      466, 8903915 req, miss ratio 0.5360, byte miss ratio 0.5360
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1398, 8903915 req, miss ratio 0.2978, byte miss ratio 0.2978
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4661, 8903915 req, miss ratio 0.0831, byte miss ratio 0.0831
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9322, 8903915 req, miss ratio 0.0437, byte miss ratio 0.0437
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18645, 8903915 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn2_allcolo.ns2580.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    37291, 8903915 req, miss ratio 0.0059, byte miss ratio 0.0059
