result/cdn2_allcolo.ns1519.oracleGeneral.zst B-LRU cache size      174, 7156933 req, miss ratio 0.0609, byte miss ratio 0.0609
result/cdn2_allcolo.ns1519.oracleGeneral.zst B-LRU cache size      524, 7156933 req, miss ratio 0.0559, byte miss ratio 0.0559
result/cdn2_allcolo.ns1519.oracleGeneral.zst B-LRU cache size     1748, 7156933 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cdn2_allcolo.ns1519.oracleGeneral.zst B-LRU cache size     5244, 7156933 req, miss ratio 0.0460, byte miss ratio 0.0460
result/cdn2_allcolo.ns1519.oracleGeneral.zst B-LRU cache size    17480, 7156933 req, miss ratio 0.0389, byte miss ratio 0.0389
result/cdn2_allcolo.ns1519.oracleGeneral.zst B-LRU cache size    34960, 7156933 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn2_allcolo.ns1519.oracleGeneral.zst B-LRU cache size    69921, 7156933 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn2_allcolo.ns1519.oracleGeneral.zst B-LRU cache size   139842, 7156933 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO cache size      174, 7156933 req, miss ratio 0.0529, byte miss ratio 0.0529
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO cache size      524, 7156933 req, miss ratio 0.0488, byte miss ratio 0.0488
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO cache size     1748, 7156933 req, miss ratio 0.0439, byte miss ratio 0.0439
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO cache size     5244, 7156933 req, miss ratio 0.0383, byte miss ratio 0.0383
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO cache size    17480, 7156933 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO cache size    34960, 7156933 req, miss ratio 0.0295, byte miss ratio 0.0295
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO cache size    69921, 7156933 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO cache size   139842, 7156933 req, miss ratio 0.0247, byte miss ratio 0.0247
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d cache size      174, 7156933 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn2_allcolo.ns1519.oracleGeneral.zst S3FIFO-d cache size      524, 7156933 req, miss ratio 0.0487, byte miss ratio 0.0487
