result/cdn2_colo28.ns814.oracleGeneral.zst LRU cache size    15732, 1153099 req, miss ratio 0.0477, byte miss ratio 0.0477
result/cdn2_colo28.ns814.oracleGeneral.zst LRU cache size    31465, 1153099 req, miss ratio 0.0348, byte miss ratio 0.0348
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d-1 cache size       39, 1153099 req, miss ratio 0.4557, byte miss ratio 0.4557
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d-1 cache size      117, 1153099 req, miss ratio 0.3973, byte miss ratio 0.3973
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d-1 cache size      393, 1153099 req, miss ratio 0.3081, byte miss ratio 0.3081
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d-1 cache size     1179, 1153099 req, miss ratio 0.2092, byte miss ratio 0.2092
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d-1 cache size     3933, 1153099 req, miss ratio 0.1038, byte miss ratio 0.1038
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d-1 cache size     7866, 1153099 req, miss ratio 0.0632, byte miss ratio 0.0632
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d-1 cache size    15732, 1153099 req, miss ratio 0.0430, byte miss ratio 0.0430
result/cdn2_colo28.ns814.oracleGeneral.zst S3FIFO-d-1 cache size    31465, 1153099 req, miss ratio 0.0347, byte miss ratio 0.0347
result/cdn2_colo28.ns814.oracleGeneral.zst LRB cache size       39, 1153099 req, miss ratio 0.4714, byte miss ratio 0.4714
result/cdn2_colo28.ns814.oracleGeneral.zst LRB cache size      117, 1153099 req, miss ratio 0.4002, byte miss ratio 0.4002
result/cdn2_colo28.ns814.oracleGeneral.zst LRB cache size      393, 1153099 req, miss ratio 0.3088, byte miss ratio 0.3088
result/cdn2_colo28.ns814.oracleGeneral.zst LRB cache size     1179, 1153099 req, miss ratio 0.2094, byte miss ratio 0.2094
result/cdn2_colo28.ns814.oracleGeneral.zst LRB cache size     3933, 1153099 req, miss ratio 0.1047, byte miss ratio 0.1047
result/cdn2_colo28.ns814.oracleGeneral.zst LRB cache size     7866, 1153099 req, miss ratio 0.0653, byte miss ratio 0.0653
result/cdn2_colo28.ns814.oracleGeneral.zst LRB cache size    15732, 1153099 req, miss ratio 0.0445, byte miss ratio 0.0445
