result/cdn2_colo28.ns19.oracleGeneral.zst LRB cache size    15108, 120746519 req, miss ratio 0.3135, byte miss ratio 0.3135
result/cdn2_colo28.ns19.oracleGeneral.zst LRB cache size    45324, 120746519 req, miss ratio 0.1946, byte miss ratio 0.1946
result/cdn2_colo28.ns19.oracleGeneral.zst LRB cache size   151083, 120746519 req, miss ratio 0.1323, byte miss ratio 0.1323
result/cdn2_colo28.ns19.oracleGeneral.zst LRB cache size   453249, 120746519 req, miss ratio 0.1272, byte miss ratio 0.1272
result/cdn2_colo28.ns19.oracleGeneral.zst LRB cache size  1510831, 120746519 req, miss ratio 0.1256, byte miss ratio 0.1256
result/cdn2_colo28.ns19.oracleGeneral.zst LRB cache size  3021663, 120746519 req, miss ratio 0.1253, byte miss ratio 0.1253
result/cdn2_colo28.ns19.oracleGeneral.zst LRB cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst LRB cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst TwoQ cache size    15108, 120746519 req, miss ratio 0.3231, byte miss ratio 0.3231
result/cdn2_colo28.ns19.oracleGeneral.zst TwoQ cache size    45324, 120746519 req, miss ratio 0.1992, byte miss ratio 0.1992
result/cdn2_colo28.ns19.oracleGeneral.zst TwoQ cache size   151083, 120746519 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn2_colo28.ns19.oracleGeneral.zst TwoQ cache size   453249, 120746519 req, miss ratio 0.1253, byte miss ratio 0.1253
result/cdn2_colo28.ns19.oracleGeneral.zst TwoQ cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst TwoQ cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst TwoQ cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst TwoQ cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15108, 120746519 req, miss ratio 0.3586, byte miss ratio 0.3586
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    45324, 120746519 req, miss ratio 0.2053, byte miss ratio 0.2053
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   151083, 120746519 req, miss ratio 0.1492, byte miss ratio 0.1492
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   453249, 120746519 req, miss ratio 0.1325, byte miss ratio 0.1325
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1510831, 120746519 req, miss ratio 0.1272, byte miss ratio 0.1272
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3021663, 120746519 req, miss ratio 0.1258, byte miss ratio 0.1258
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15108, 120746519 req, miss ratio 0.3125, byte miss ratio 0.3125
result/cdn2_colo28.ns19.oracleGeneral.zst S4LRU(25:25:25:25) cache size    45324, 120746519 req, miss ratio 0.1896, byte miss ratio 0.1896
result/cdn2_colo28.ns19.oracleGeneral.zst S4LRU(25:25:25:25) cache size   151083, 120746519 req, miss ratio 0.1418, byte miss ratio 0.1418
result/cdn2_colo28.ns19.oracleGeneral.zst S4LRU(25:25:25:25) cache size   453249, 120746519 req, miss ratio 0.1265, byte miss ratio 0.1265
result/cdn2_colo28.ns19.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1510831, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3021663, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S4LRU(25:25:25:25) cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S4LRU(25:25:25:25) cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst B-LRU cache size    15108, 120746519 req, miss ratio 0.3402, byte miss ratio 0.3402
result/cdn2_colo28.ns19.oracleGeneral.zst B-LRU cache size    45324, 120746519 req, miss ratio 0.2024, byte miss ratio 0.2024
result/cdn2_colo28.ns19.oracleGeneral.zst B-LRU cache size   151083, 120746519 req, miss ratio 0.1856, byte miss ratio 0.1856
result/cdn2_colo28.ns19.oracleGeneral.zst B-LRU cache size   453249, 120746519 req, miss ratio 0.1855, byte miss ratio 0.1855
result/cdn2_colo28.ns19.oracleGeneral.zst B-LRU cache size  1510831, 120746519 req, miss ratio 0.1855, byte miss ratio 0.1855
result/cdn2_colo28.ns19.oracleGeneral.zst B-LRU cache size  3021663, 120746519 req, miss ratio 0.1855, byte miss ratio 0.1855
result/cdn2_colo28.ns19.oracleGeneral.zst B-LRU cache size  6043327, 120746519 req, miss ratio 0.1855, byte miss ratio 0.1855
result/cdn2_colo28.ns19.oracleGeneral.zst B-LRU cache size 12086654, 120746519 req, miss ratio 0.1855, byte miss ratio 0.1855
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d cache size    15108, 120746519 req, miss ratio 0.3416, byte miss ratio 0.3416
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d cache size    45324, 120746519 req, miss ratio 0.1916, byte miss ratio 0.1916
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d cache size   151083, 120746519 req, miss ratio 0.1278, byte miss ratio 0.1278
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d cache size   453249, 120746519 req, miss ratio 0.1256, byte miss ratio 0.1256
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d cache size  1510831, 120746519 req, miss ratio 0.1253, byte miss ratio 0.1253
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d cache size  3021663, 120746519 req, miss ratio 0.1252, byte miss ratio 0.1252
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d cache size  6043327, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
result/cdn2_colo28.ns19.oracleGeneral.zst S3FIFO-d cache size 12086654, 120746519 req, miss ratio 0.1251, byte miss ratio 0.1251
