result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1425, 56158071 req, miss ratio 0.1800, byte miss ratio 0.1800
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4753, 56158071 req, miss ratio 0.1083, byte miss ratio 0.1083
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14259, 56158071 req, miss ratio 0.0599, byte miss ratio 0.0599
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    47532, 56158071 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    95064, 56158071 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   190129, 56158071 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns57.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   380259, 56158071 req, miss ratio 0.0093, byte miss ratio 0.0093
result/cdn2_allcolo.ns57.oracleGeneral.zst S4LRU(25:25:25:25) cache size      475, 56158071 req, miss ratio 0.2200, byte miss ratio 0.2200
result/cdn2_allcolo.ns57.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1425, 56158071 req, miss ratio 0.1527, byte miss ratio 0.1527
result/cdn2_allcolo.ns57.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4753, 56158071 req, miss ratio 0.0920, byte miss ratio 0.0920
result/cdn2_allcolo.ns57.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14259, 56158071 req, miss ratio 0.0509, byte miss ratio 0.0509
result/cdn2_allcolo.ns57.oracleGeneral.zst S4LRU(25:25:25:25) cache size    47532, 56158071 req, miss ratio 0.0231, byte miss ratio 0.0231
result/cdn2_allcolo.ns57.oracleGeneral.zst S4LRU(25:25:25:25) cache size    95064, 56158071 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_allcolo.ns57.oracleGeneral.zst S4LRU(25:25:25:25) cache size   190129, 56158071 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns57.oracleGeneral.zst S4LRU(25:25:25:25) cache size   380259, 56158071 req, miss ratio 0.0086, byte miss ratio 0.0086
result/cdn2_allcolo.ns57.oracleGeneral.zst B-LRU cache size      475, 56158071 req, miss ratio 0.2631, byte miss ratio 0.2631
