result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-1 cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d-1 cache size        9, 1165209 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d-1 cache size       29, 1165209 req, miss ratio 0.6883, byte miss ratio 0.6883
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d-1 cache size       98, 1165209 req, miss ratio 0.5488, byte miss ratio 0.5488
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d-1 cache size      294, 1165209 req, miss ratio 0.3629, byte miss ratio 0.3629
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d-1 cache size      980, 1165209 req, miss ratio 0.1730, byte miss ratio 0.1730
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d-1 cache size     1960, 1165209 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d-1 cache size     3921, 1165209 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn2_colo28.ns1094.oracleGeneral.zst S3FIFO-d-1 cache size     7842, 1165209 req, miss ratio 0.0096, byte miss ratio 0.0096
result/cdn2_colo28.ns1094.oracleGeneral.zst LRB cache size        9, 1165209 req, miss ratio 0.7905, byte miss ratio 0.7905
result/cdn2_colo28.ns1094.oracleGeneral.zst LRB cache size       29, 1165209 req, miss ratio 0.7026, byte miss ratio 0.7026
result/cdn2_colo28.ns1094.oracleGeneral.zst LRB cache size       98, 1165209 req, miss ratio 0.5479, byte miss ratio 0.5479
result/cdn2_colo28.ns1094.oracleGeneral.zst LRB cache size      294, 1165209 req, miss ratio 0.3495, byte miss ratio 0.3495
result/cdn2_colo28.ns1094.oracleGeneral.zst LRB cache size      980, 1165209 req, miss ratio 0.1604, byte miss ratio 0.1604
result/cdn2_colo28.ns1094.oracleGeneral.zst LRB cache size     1960, 1165209 req, miss ratio 0.0923, byte miss ratio 0.0923
result/cdn2_colo28.ns1094.oracleGeneral.zst LRB cache size     3921, 1165209 req, miss ratio 0.0368, byte miss ratio 0.0368
result/cdn2_colo28.ns1094.oracleGeneral.zst LRB cache size     7842, 1165209 req, miss ratio 0.0098, byte miss ratio 0.0098
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        9, 1165209 req, miss ratio 0.8292, byte miss ratio 0.8292
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       29, 1165209 req, miss ratio 0.7502, byte miss ratio 0.7502
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       98, 1165209 req, miss ratio 0.6239, byte miss ratio 0.6239
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      294, 1165209 req, miss ratio 0.4200, byte miss ratio 0.4200
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      980, 1165209 req, miss ratio 0.2072, byte miss ratio 0.2072
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1960, 1165209 req, miss ratio 0.1167, byte miss ratio 0.1167
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3921, 1165209 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_colo28.ns1094.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7842, 1165209 req, miss ratio 0.0133, byte miss ratio 0.0133
result/cdn2_colo28.ns1094.oracleGeneral.zst S4LRU(25:25:25:25) cache size        9, 1165209 req, miss ratio 0.7932, byte miss ratio 0.7932
result/cdn2_colo28.ns1094.oracleGeneral.zst S4LRU(25:25:25:25) cache size       29, 1165209 req, miss ratio 0.7063, byte miss ratio 0.7063
result/cdn2_colo28.ns1094.oracleGeneral.zst S4LRU(25:25:25:25) cache size       98, 1165209 req, miss ratio 0.5586, byte miss ratio 0.5586
result/cdn2_colo28.ns1094.oracleGeneral.zst S4LRU(25:25:25:25) cache size      294, 1165209 req, miss ratio 0.3756, byte miss ratio 0.3756
result/cdn2_colo28.ns1094.oracleGeneral.zst S4LRU(25:25:25:25) cache size      980, 1165209 req, miss ratio 0.1769, byte miss ratio 0.1769
result/cdn2_colo28.ns1094.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1960, 1165209 req, miss ratio 0.0998, byte miss ratio 0.0998
