result/cdn2_allcolo.ns218.oracleGeneral.zst clock2 cache size   922647, 103174175 req, miss ratio 0.1490, byte miss ratio 0.1490
result/cdn2_allcolo.ns218.oracleGeneral.zst clock2 cache size  1845295, 103174175 req, miss ratio 0.1226, byte miss ratio 0.1226
result/cdn2_allcolo.ns218.oracleGeneral.zst clock2 cache size  3690590, 103174175 req, miss ratio 0.1011, byte miss ratio 0.1011
result/cdn2_allcolo.ns218.oracleGeneral.zst clock2 cache size  7381180, 103174175 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns218.oracleGeneral.zst LRU cache size     9226, 103174175 req, miss ratio 0.4277, byte miss ratio 0.4277
result/cdn2_allcolo.ns218.oracleGeneral.zst LRU cache size    27679, 103174175 req, miss ratio 0.3267, byte miss ratio 0.3267
result/cdn2_allcolo.ns218.oracleGeneral.zst LRU cache size    92264, 103174175 req, miss ratio 0.2520, byte miss ratio 0.2520
result/cdn2_allcolo.ns218.oracleGeneral.zst LRU cache size   276794, 103174175 req, miss ratio 0.2011, byte miss ratio 0.2011
result/cdn2_allcolo.ns218.oracleGeneral.zst LRU cache size   922647, 103174175 req, miss ratio 0.1535, byte miss ratio 0.1535
result/cdn2_allcolo.ns218.oracleGeneral.zst LRU cache size  1845295, 103174175 req, miss ratio 0.1262, byte miss ratio 0.1262
result/cdn2_allcolo.ns218.oracleGeneral.zst LRU cache size  3690590, 103174175 req, miss ratio 0.1022, byte miss ratio 0.1022
result/cdn2_allcolo.ns218.oracleGeneral.zst LRU cache size  7381180, 103174175 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d-1 cache size     9226, 103174175 req, miss ratio 0.3800, byte miss ratio 0.3800
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d-1 cache size    27679, 103174175 req, miss ratio 0.2918, byte miss ratio 0.2918
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d-1 cache size    92264, 103174175 req, miss ratio 0.2262, byte miss ratio 0.2262
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d-1 cache size   276794, 103174175 req, miss ratio 0.1839, byte miss ratio 0.1839
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d-1 cache size   922647, 103174175 req, miss ratio 0.1377, byte miss ratio 0.1377
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d-1 cache size  1845295, 103174175 req, miss ratio 0.1156, byte miss ratio 0.1156
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d-1 cache size  3690590, 103174175 req, miss ratio 0.0995, byte miss ratio 0.0995
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d-1 cache size  7381180, 103174175 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns218.oracleGeneral.zst LRB cache size     9226, 103174175 req, miss ratio 0.3871, byte miss ratio 0.3871
result/cdn2_allcolo.ns218.oracleGeneral.zst LRB cache size    27679, 103174175 req, miss ratio 0.2960, byte miss ratio 0.2960
result/cdn2_allcolo.ns218.oracleGeneral.zst LRB cache size    92264, 103174175 req, miss ratio 0.2302, byte miss ratio 0.2302
result/cdn2_allcolo.ns218.oracleGeneral.zst LRB cache size   276794, 103174175 req, miss ratio 0.1868, byte miss ratio 0.1868
result/cdn2_allcolo.ns218.oracleGeneral.zst LRB cache size   922647, 103174175 req, miss ratio 0.1434, byte miss ratio 0.1434
result/cdn2_allcolo.ns218.oracleGeneral.zst LRB cache size  1845295, 103174175 req, miss ratio 0.1163, byte miss ratio 0.1163
result/cdn2_allcolo.ns218.oracleGeneral.zst LRB cache size  3690590, 103174175 req, miss ratio 0.0992, byte miss ratio 0.0992
result/cdn2_allcolo.ns218.oracleGeneral.zst LRB cache size  7381180, 103174175 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns218.oracleGeneral.zst TwoQ cache size     9226, 103174175 req, miss ratio 0.3824, byte miss ratio 0.3824
result/cdn2_allcolo.ns218.oracleGeneral.zst TwoQ cache size    27679, 103174175 req, miss ratio 0.2932, byte miss ratio 0.2932
result/cdn2_allcolo.ns218.oracleGeneral.zst TwoQ cache size    92264, 103174175 req, miss ratio 0.2251, byte miss ratio 0.2251
result/cdn2_allcolo.ns218.oracleGeneral.zst TwoQ cache size   276794, 103174175 req, miss ratio 0.1818, byte miss ratio 0.1818
result/cdn2_allcolo.ns218.oracleGeneral.zst TwoQ cache size   922647, 103174175 req, miss ratio 0.1398, byte miss ratio 0.1398
result/cdn2_allcolo.ns218.oracleGeneral.zst TwoQ cache size  1845295, 103174175 req, miss ratio 0.1217, byte miss ratio 0.1217
result/cdn2_allcolo.ns218.oracleGeneral.zst TwoQ cache size  3690590, 103174175 req, miss ratio 0.1086, byte miss ratio 0.1086
result/cdn2_allcolo.ns218.oracleGeneral.zst TwoQ cache size  7381180, 103174175 req, miss ratio 0.0955, byte miss ratio 0.0955
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9226, 103174175 req, miss ratio 0.4218, byte miss ratio 0.4218
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    27679, 103174175 req, miss ratio 0.3272, byte miss ratio 0.3272
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    92264, 103174175 req, miss ratio 0.2533, byte miss ratio 0.2533
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   276794, 103174175 req, miss ratio 0.2029, byte miss ratio 0.2029
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   922647, 103174175 req, miss ratio 0.1542, byte miss ratio 0.1542
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1845295, 103174175 req, miss ratio 0.1266, byte miss ratio 0.1266
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  3690590, 103174175 req, miss ratio 0.1043, byte miss ratio 0.1043
result/cdn2_allcolo.ns218.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  7381180, 103174175 req, miss ratio 0.0925, byte miss ratio 0.0925
result/cdn2_allcolo.ns218.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9226, 103174175 req, miss ratio 0.3824, byte miss ratio 0.3824
result/cdn2_allcolo.ns218.oracleGeneral.zst S4LRU(25:25:25:25) cache size    27679, 103174175 req, miss ratio 0.2976, byte miss ratio 0.2976
result/cdn2_allcolo.ns218.oracleGeneral.zst S4LRU(25:25:25:25) cache size    92264, 103174175 req, miss ratio 0.2343, byte miss ratio 0.2343
result/cdn2_allcolo.ns218.oracleGeneral.zst S4LRU(25:25:25:25) cache size   276794, 103174175 req, miss ratio 0.1901, byte miss ratio 0.1901
result/cdn2_allcolo.ns218.oracleGeneral.zst S4LRU(25:25:25:25) cache size   922647, 103174175 req, miss ratio 0.1437, byte miss ratio 0.1437
result/cdn2_allcolo.ns218.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1845295, 103174175 req, miss ratio 0.1200, byte miss ratio 0.1200
result/cdn2_allcolo.ns218.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3690590, 103174175 req, miss ratio 0.1015, byte miss ratio 0.1015
result/cdn2_allcolo.ns218.oracleGeneral.zst S4LRU(25:25:25:25) cache size  7381180, 103174175 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn2_allcolo.ns218.oracleGeneral.zst B-LRU cache size     9226, 103174175 req, miss ratio 0.4220, byte miss ratio 0.4220
result/cdn2_allcolo.ns218.oracleGeneral.zst B-LRU cache size    27679, 103174175 req, miss ratio 0.3268, byte miss ratio 0.3268
result/cdn2_allcolo.ns218.oracleGeneral.zst B-LRU cache size    92264, 103174175 req, miss ratio 0.2550, byte miss ratio 0.2550
result/cdn2_allcolo.ns218.oracleGeneral.zst B-LRU cache size   276794, 103174175 req, miss ratio 0.2067, byte miss ratio 0.2067
result/cdn2_allcolo.ns218.oracleGeneral.zst B-LRU cache size   922647, 103174175 req, miss ratio 0.1614, byte miss ratio 0.1614
result/cdn2_allcolo.ns218.oracleGeneral.zst B-LRU cache size  1845295, 103174175 req, miss ratio 0.1394, byte miss ratio 0.1394
result/cdn2_allcolo.ns218.oracleGeneral.zst B-LRU cache size  3690590, 103174175 req, miss ratio 0.1306, byte miss ratio 0.1306
result/cdn2_allcolo.ns218.oracleGeneral.zst B-LRU cache size  7381180, 103174175 req, miss ratio 0.1304, byte miss ratio 0.1304
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO cache size     9226, 103174175 req, miss ratio 0.3739, byte miss ratio 0.3739
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO cache size    27679, 103174175 req, miss ratio 0.2940, byte miss ratio 0.2940
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO cache size    92264, 103174175 req, miss ratio 0.2251, byte miss ratio 0.2251
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO cache size   276794, 103174175 req, miss ratio 0.1804, byte miss ratio 0.1804
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO cache size   922647, 103174175 req, miss ratio 0.1366, byte miss ratio 0.1366
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO cache size  1845295, 103174175 req, miss ratio 0.1162, byte miss ratio 0.1162
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO cache size  3690590, 103174175 req, miss ratio 0.1014, byte miss ratio 0.1014
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO cache size  7381180, 103174175 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d cache size     9226, 103174175 req, miss ratio 0.3949, byte miss ratio 0.3949
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d cache size    27679, 103174175 req, miss ratio 0.2916, byte miss ratio 0.2916
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d cache size    92264, 103174175 req, miss ratio 0.2248, byte miss ratio 0.2248
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d cache size   276794, 103174175 req, miss ratio 0.1823, byte miss ratio 0.1823
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d cache size   922647, 103174175 req, miss ratio 0.1373, byte miss ratio 0.1373
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d cache size  1845295, 103174175 req, miss ratio 0.1170, byte miss ratio 0.1170
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d cache size  3690590, 103174175 req, miss ratio 0.1014, byte miss ratio 0.1014
result/cdn2_allcolo.ns218.oracleGeneral.zst S3FIFO-d cache size  7381180, 103174175 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9226, 103174175 req, miss ratio 0.3833, byte miss ratio 0.3833
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    27679, 103174175 req, miss ratio 0.3116, byte miss ratio 0.3116
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    92264, 103174175 req, miss ratio 0.2484, byte miss ratio 0.2484
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   276794, 103174175 req, miss ratio 0.1911, byte miss ratio 0.1911
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   922647, 103174175 req, miss ratio 0.1410, byte miss ratio 0.1410
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1845295, 103174175 req, miss ratio 0.1194, byte miss ratio 0.1194
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3690590, 103174175 req, miss ratio 0.1035, byte miss ratio 0.1035
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  7381180, 103174175 req, miss ratio 0.0914, byte miss ratio 0.0914
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9226, 103174175 req, miss ratio 0.3776, byte miss ratio 0.3776
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    27679, 103174175 req, miss ratio 0.2927, byte miss ratio 0.2927
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    92264, 103174175 req, miss ratio 0.2237, byte miss ratio 0.2237
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   276794, 103174175 req, miss ratio 0.1913, byte miss ratio 0.1913
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   922647, 103174175 req, miss ratio 0.1395, byte miss ratio 0.1395
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1845295, 103174175 req, miss ratio 0.1195, byte miss ratio 0.1195
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3690590, 103174175 req, miss ratio 0.1038, byte miss ratio 0.1038
result/cdn2_allcolo.ns218.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  7381180, 103174175 req, miss ratio 0.0926, byte miss ratio 0.0926
