result/cdn2_colo28.ns316.oracleGeneral.zst B-LRU cache size      211, 5809915 req, miss ratio 0.0551, byte miss ratio 0.0551
result/cdn2_colo28.ns316.oracleGeneral.zst B-LRU cache size      704, 5809915 req, miss ratio 0.0456, byte miss ratio 0.0456
result/cdn2_colo28.ns316.oracleGeneral.zst B-LRU cache size     2113, 5809915 req, miss ratio 0.0403, byte miss ratio 0.0403
result/cdn2_colo28.ns316.oracleGeneral.zst B-LRU cache size     7044, 5809915 req, miss ratio 0.0353, byte miss ratio 0.0353
result/cdn2_colo28.ns316.oracleGeneral.zst B-LRU cache size    14088, 5809915 req, miss ratio 0.0287, byte miss ratio 0.0287
result/cdn2_colo28.ns316.oracleGeneral.zst B-LRU cache size    28176, 5809915 req, miss ratio 0.0260, byte miss ratio 0.0260
result/cdn2_colo28.ns316.oracleGeneral.zst B-LRU cache size    56352, 5809915 req, miss ratio 0.0242, byte miss ratio 0.0242
result/cdn2_colo28.ns316.oracleGeneral.zst S4LRU(25:25:25:25) cache size       70, 5809915 req, miss ratio 0.0612, byte miss ratio 0.0612
result/cdn2_colo28.ns316.oracleGeneral.zst S4LRU(25:25:25:25) cache size      211, 5809915 req, miss ratio 0.0391, byte miss ratio 0.0391
result/cdn2_colo28.ns316.oracleGeneral.zst S4LRU(25:25:25:25) cache size      704, 5809915 req, miss ratio 0.0303, byte miss ratio 0.0303
result/cdn2_colo28.ns316.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2113, 5809915 req, miss ratio 0.0259, byte miss ratio 0.0259
result/cdn2_colo28.ns316.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7044, 5809915 req, miss ratio 0.0207, byte miss ratio 0.0207
result/cdn2_colo28.ns316.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14088, 5809915 req, miss ratio 0.0158, byte miss ratio 0.0158
result/cdn2_colo28.ns316.oracleGeneral.zst S4LRU(25:25:25:25) cache size    28176, 5809915 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_colo28.ns316.oracleGeneral.zst S4LRU(25:25:25:25) cache size    56352, 5809915 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns316.oracleGeneral.zst TwoQ cache size       70, 5809915 req, miss ratio 0.0543, byte miss ratio 0.0543
result/cdn2_colo28.ns316.oracleGeneral.zst TwoQ cache size      211, 5809915 req, miss ratio 0.0367, byte miss ratio 0.0367
result/cdn2_colo28.ns316.oracleGeneral.zst TwoQ cache size      704, 5809915 req, miss ratio 0.0291, byte miss ratio 0.0291
result/cdn2_colo28.ns316.oracleGeneral.zst TwoQ cache size     2113, 5809915 req, miss ratio 0.0254, byte miss ratio 0.0254
result/cdn2_colo28.ns316.oracleGeneral.zst TwoQ cache size     7044, 5809915 req, miss ratio 0.0198, byte miss ratio 0.0198
result/cdn2_colo28.ns316.oracleGeneral.zst TwoQ cache size    14088, 5809915 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_colo28.ns316.oracleGeneral.zst TwoQ cache size    28176, 5809915 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_colo28.ns316.oracleGeneral.zst TwoQ cache size    56352, 5809915 req, miss ratio 0.0129, byte miss ratio 0.0129
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       70, 5809915 req, miss ratio 0.0899, byte miss ratio 0.0899
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      211, 5809915 req, miss ratio 0.0439, byte miss ratio 0.0439
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      704, 5809915 req, miss ratio 0.0330, byte miss ratio 0.0330
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2113, 5809915 req, miss ratio 0.0276, byte miss ratio 0.0276
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7044, 5809915 req, miss ratio 0.0216, byte miss ratio 0.0216
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14088, 5809915 req, miss ratio 0.0167, byte miss ratio 0.0167
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    28176, 5809915 req, miss ratio 0.0140, byte miss ratio 0.0140
result/cdn2_colo28.ns316.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    56352, 5809915 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-d cache size       70, 5809915 req, miss ratio 0.0501, byte miss ratio 0.0501
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-d cache size      211, 5809915 req, miss ratio 0.0355, byte miss ratio 0.0355
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-d cache size      704, 5809915 req, miss ratio 0.0283, byte miss ratio 0.0283
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-d cache size     2113, 5809915 req, miss ratio 0.0245, byte miss ratio 0.0245
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-d cache size     7044, 5809915 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-d cache size    14088, 5809915 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-d cache size    28176, 5809915 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO-d cache size    56352, 5809915 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO cache size       70, 5809915 req, miss ratio 0.0509, byte miss ratio 0.0509
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO cache size      211, 5809915 req, miss ratio 0.0356, byte miss ratio 0.0356
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO cache size      704, 5809915 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO cache size     2113, 5809915 req, miss ratio 0.0245, byte miss ratio 0.0245
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO cache size     7044, 5809915 req, miss ratio 0.0185, byte miss ratio 0.0185
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO cache size    14088, 5809915 req, miss ratio 0.0150, byte miss ratio 0.0150
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO cache size    28176, 5809915 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_colo28.ns316.oracleGeneral.zst S3FIFO cache size    56352, 5809915 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       70, 5809915 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      211, 5809915 req, miss ratio 0.0362, byte miss ratio 0.0362
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      704, 5809915 req, miss ratio 0.0288, byte miss ratio 0.0288
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2113, 5809915 req, miss ratio 0.0251, byte miss ratio 0.0251
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7044, 5809915 req, miss ratio 0.0194, byte miss ratio 0.0194
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    14088, 5809915 req, miss ratio 0.0163, byte miss ratio 0.0163
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    28176, 5809915 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    56352, 5809915 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       70, 5809915 req, miss ratio 0.0519, byte miss ratio 0.0519
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      211, 5809915 req, miss ratio 0.0363, byte miss ratio 0.0363
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      704, 5809915 req, miss ratio 0.0291, byte miss ratio 0.0291
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2113, 5809915 req, miss ratio 0.0255, byte miss ratio 0.0255
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7044, 5809915 req, miss ratio 0.0205, byte miss ratio 0.0205
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    14088, 5809915 req, miss ratio 0.0171, byte miss ratio 0.0171
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    28176, 5809915 req, miss ratio 0.0145, byte miss ratio 0.0145
result/cdn2_colo28.ns316.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    56352, 5809915 req, miss ratio 0.0126, byte miss ratio 0.0126
