result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       27, 18672332 req, miss ratio 0.0546, byte miss ratio 0.0546
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       81, 18672332 req, miss ratio 0.0342, byte miss ratio 0.0342
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      272, 18672332 req, miss ratio 0.0192, byte miss ratio 0.0192
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      816, 18672332 req, miss ratio 0.0124, byte miss ratio 0.0124
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2720, 18672332 req, miss ratio 0.0066, byte miss ratio 0.0066
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5440, 18672332 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10881, 18672332 req, miss ratio 0.0023, byte miss ratio 0.0023
result/cdn2_allcolo.ns212.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    21763, 18672332 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO cache size       27, 18672332 req, miss ratio 0.0322, byte miss ratio 0.0322
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO cache size       81, 18672332 req, miss ratio 0.0235, byte miss ratio 0.0235
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO cache size      272, 18672332 req, miss ratio 0.0158, byte miss ratio 0.0158
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO cache size      816, 18672332 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO cache size     2720, 18672332 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO cache size     5440, 18672332 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO cache size    10881, 18672332 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d cache size       27, 18672332 req, miss ratio 0.0345, byte miss ratio 0.0345
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d cache size       81, 18672332 req, miss ratio 0.0257, byte miss ratio 0.0257
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d cache size      272, 18672332 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d cache size      816, 18672332 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d cache size     2720, 18672332 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d cache size     5440, 18672332 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d cache size    10881, 18672332 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns212.oracleGeneral.zst S3FIFO-d cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       27, 18672332 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       81, 18672332 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      272, 18672332 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      816, 18672332 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2720, 18672332 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5440, 18672332 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    21763, 18672332 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       27, 18672332 req, miss ratio 0.0339, byte miss ratio 0.0339
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       81, 18672332 req, miss ratio 0.0237, byte miss ratio 0.0237
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      272, 18672332 req, miss ratio 0.0161, byte miss ratio 0.0161
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      816, 18672332 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2720, 18672332 req, miss ratio 0.0055, byte miss ratio 0.0055
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5440, 18672332 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10881, 18672332 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns212.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    21763, 18672332 req, miss ratio 0.0016, byte miss ratio 0.0016
