result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d cache size       85, 1112954 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d cache size      255, 1112954 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d cache size      851, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d cache size     1703, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst S3FIFO-d cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        8, 1112954 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       25, 1112954 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       85, 1112954 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      255, 1112954 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      851, 1112954 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1703, 1112954 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3407, 1112954 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        8, 1112954 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       25, 1112954 req, miss ratio 0.2567, byte miss ratio 0.2567
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       85, 1112954 req, miss ratio 0.0111, byte miss ratio 0.0111
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      255, 1112954 req, miss ratio 0.0084, byte miss ratio 0.0084
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      851, 1112954 req, miss ratio 0.0081, byte miss ratio 0.0081
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1703, 1112954 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3407, 1112954 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_allcolo.ns54664.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6814, 1112954 req, miss ratio 0.0077, byte miss ratio 0.0077
