result/cdn2_colo28.ns300.oracleGeneral.zst clock2 cache size    18512, 4212182 req, miss ratio 0.0548, byte miss ratio 0.0548
result/cdn2_colo28.ns300.oracleGeneral.zst clock2 cache size    37025, 4212182 req, miss ratio 0.0327, byte miss ratio 0.0327
result/cdn2_colo28.ns300.oracleGeneral.zst clock2 cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst LRU cache size       92, 4212182 req, miss ratio 0.5244, byte miss ratio 0.5244
result/cdn2_colo28.ns300.oracleGeneral.zst LRU cache size      277, 4212182 req, miss ratio 0.4413, byte miss ratio 0.4413
result/cdn2_colo28.ns300.oracleGeneral.zst LRU cache size      925, 4212182 req, miss ratio 0.3453, byte miss ratio 0.3453
result/cdn2_colo28.ns300.oracleGeneral.zst LRU cache size     2776, 4212182 req, miss ratio 0.2340, byte miss ratio 0.2340
result/cdn2_colo28.ns300.oracleGeneral.zst LRU cache size     9256, 4212182 req, miss ratio 0.1098, byte miss ratio 0.1098
result/cdn2_colo28.ns300.oracleGeneral.zst LRU cache size    18512, 4212182 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_colo28.ns300.oracleGeneral.zst LRU cache size    37025, 4212182 req, miss ratio 0.0351, byte miss ratio 0.0351
result/cdn2_colo28.ns300.oracleGeneral.zst LRU cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d-1 cache size       92, 4212182 req, miss ratio 0.4410, byte miss ratio 0.4410
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d-1 cache size      277, 4212182 req, miss ratio 0.3744, byte miss ratio 0.3744
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d-1 cache size      925, 4212182 req, miss ratio 0.2839, byte miss ratio 0.2839
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d-1 cache size     2776, 4212182 req, miss ratio 0.1860, byte miss ratio 0.1860
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d-1 cache size     9256, 4212182 req, miss ratio 0.0852, byte miss ratio 0.0852
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d-1 cache size    18512, 4212182 req, miss ratio 0.0497, byte miss ratio 0.0497
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d-1 cache size    37025, 4212182 req, miss ratio 0.0315, byte miss ratio 0.0315
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d-1 cache size    74050, 4212182 req, miss ratio 0.0228, byte miss ratio 0.0228
result/cdn2_colo28.ns300.oracleGeneral.zst LRB cache size       92, 4212182 req, miss ratio 0.4364, byte miss ratio 0.4364
result/cdn2_colo28.ns300.oracleGeneral.zst LRB cache size      277, 4212182 req, miss ratio 0.3656, byte miss ratio 0.3656
result/cdn2_colo28.ns300.oracleGeneral.zst LRB cache size      925, 4212182 req, miss ratio 0.2718, byte miss ratio 0.2718
result/cdn2_colo28.ns300.oracleGeneral.zst LRB cache size     2776, 4212182 req, miss ratio 0.1744, byte miss ratio 0.1744
result/cdn2_colo28.ns300.oracleGeneral.zst LRB cache size     9256, 4212182 req, miss ratio 0.0798, byte miss ratio 0.0798
result/cdn2_colo28.ns300.oracleGeneral.zst LRB cache size    18512, 4212182 req, miss ratio 0.0501, byte miss ratio 0.0501
result/cdn2_colo28.ns300.oracleGeneral.zst LRB cache size    37025, 4212182 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_colo28.ns300.oracleGeneral.zst LRB cache size    74050, 4212182 req, miss ratio 0.0229, byte miss ratio 0.0229
result/cdn2_colo28.ns300.oracleGeneral.zst S4LRU(25:25:25:25) cache size       92, 4212182 req, miss ratio 0.4491, byte miss ratio 0.4491
result/cdn2_colo28.ns300.oracleGeneral.zst S4LRU(25:25:25:25) cache size      277, 4212182 req, miss ratio 0.3816, byte miss ratio 0.3816
result/cdn2_colo28.ns300.oracleGeneral.zst S4LRU(25:25:25:25) cache size      925, 4212182 req, miss ratio 0.2900, byte miss ratio 0.2900
result/cdn2_colo28.ns300.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2776, 4212182 req, miss ratio 0.1910, byte miss ratio 0.1910
result/cdn2_colo28.ns300.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9256, 4212182 req, miss ratio 0.0884, byte miss ratio 0.0884
result/cdn2_colo28.ns300.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18512, 4212182 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_colo28.ns300.oracleGeneral.zst S4LRU(25:25:25:25) cache size    37025, 4212182 req, miss ratio 0.0319, byte miss ratio 0.0319
result/cdn2_colo28.ns300.oracleGeneral.zst S4LRU(25:25:25:25) cache size    74050, 4212182 req, miss ratio 0.0229, byte miss ratio 0.0229
result/cdn2_colo28.ns300.oracleGeneral.zst TwoQ cache size       92, 4212182 req, miss ratio 0.4511, byte miss ratio 0.4511
result/cdn2_colo28.ns300.oracleGeneral.zst TwoQ cache size      277, 4212182 req, miss ratio 0.3857, byte miss ratio 0.3857
result/cdn2_colo28.ns300.oracleGeneral.zst TwoQ cache size      925, 4212182 req, miss ratio 0.2962, byte miss ratio 0.2962
result/cdn2_colo28.ns300.oracleGeneral.zst TwoQ cache size     2776, 4212182 req, miss ratio 0.1989, byte miss ratio 0.1989
result/cdn2_colo28.ns300.oracleGeneral.zst TwoQ cache size     9256, 4212182 req, miss ratio 0.0952, byte miss ratio 0.0952
result/cdn2_colo28.ns300.oracleGeneral.zst TwoQ cache size    18512, 4212182 req, miss ratio 0.0563, byte miss ratio 0.0563
result/cdn2_colo28.ns300.oracleGeneral.zst TwoQ cache size    37025, 4212182 req, miss ratio 0.0367, byte miss ratio 0.0367
result/cdn2_colo28.ns300.oracleGeneral.zst TwoQ cache size    74050, 4212182 req, miss ratio 0.0272, byte miss ratio 0.0272
result/cdn2_colo28.ns300.oracleGeneral.zst B-LRU cache size       92, 4212182 req, miss ratio 0.5217, byte miss ratio 0.5217
result/cdn2_colo28.ns300.oracleGeneral.zst B-LRU cache size      277, 4212182 req, miss ratio 0.4384, byte miss ratio 0.4384
result/cdn2_colo28.ns300.oracleGeneral.zst B-LRU cache size      925, 4212182 req, miss ratio 0.3410, byte miss ratio 0.3410
result/cdn2_colo28.ns300.oracleGeneral.zst B-LRU cache size     2776, 4212182 req, miss ratio 0.2273, byte miss ratio 0.2273
result/cdn2_colo28.ns300.oracleGeneral.zst B-LRU cache size     9256, 4212182 req, miss ratio 0.1027, byte miss ratio 0.1027
result/cdn2_colo28.ns300.oracleGeneral.zst B-LRU cache size    18512, 4212182 req, miss ratio 0.0576, byte miss ratio 0.0576
result/cdn2_colo28.ns300.oracleGeneral.zst B-LRU cache size    37025, 4212182 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_colo28.ns300.oracleGeneral.zst B-LRU cache size    74050, 4212182 req, miss ratio 0.0351, byte miss ratio 0.0351
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       92, 4212182 req, miss ratio 0.5694, byte miss ratio 0.5694
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      277, 4212182 req, miss ratio 0.4304, byte miss ratio 0.4304
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      925, 4212182 req, miss ratio 0.3332, byte miss ratio 0.3332
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2776, 4212182 req, miss ratio 0.2217, byte miss ratio 0.2217
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9256, 4212182 req, miss ratio 0.1054, byte miss ratio 0.1054
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18512, 4212182 req, miss ratio 0.0616, byte miss ratio 0.0616
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    37025, 4212182 req, miss ratio 0.0353, byte miss ratio 0.0353
result/cdn2_colo28.ns300.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    74050, 4212182 req, miss ratio 0.0254, byte miss ratio 0.0254
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d cache size       92, 4212182 req, miss ratio 0.4897, byte miss ratio 0.4897
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d cache size      277, 4212182 req, miss ratio 0.4117, byte miss ratio 0.4117
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d cache size      925, 4212182 req, miss ratio 0.3103, byte miss ratio 0.3103
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d cache size     2776, 4212182 req, miss ratio 0.1985, byte miss ratio 0.1985
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d cache size     9256, 4212182 req, miss ratio 0.0867, byte miss ratio 0.0867
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d cache size    18512, 4212182 req, miss ratio 0.0502, byte miss ratio 0.0502
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d cache size    37025, 4212182 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO-d cache size    74050, 4212182 req, miss ratio 0.0229, byte miss ratio 0.0229
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO cache size       92, 4212182 req, miss ratio 0.4398, byte miss ratio 0.4398
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO cache size      277, 4212182 req, miss ratio 0.3731, byte miss ratio 0.3731
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO cache size      925, 4212182 req, miss ratio 0.2827, byte miss ratio 0.2827
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO cache size     2776, 4212182 req, miss ratio 0.1852, byte miss ratio 0.1852
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO cache size     9256, 4212182 req, miss ratio 0.0849, byte miss ratio 0.0849
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO cache size    18512, 4212182 req, miss ratio 0.0499, byte miss ratio 0.0499
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO cache size    37025, 4212182 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_colo28.ns300.oracleGeneral.zst S3FIFO cache size    74050, 4212182 req, miss ratio 0.0229, byte miss ratio 0.0229
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       92, 4212182 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      277, 4212182 req, miss ratio 0.3746, byte miss ratio 0.3746
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      925, 4212182 req, miss ratio 0.2799, byte miss ratio 0.2799
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2776, 4212182 req, miss ratio 0.1809, byte miss ratio 0.1809
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9256, 4212182 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18512, 4212182 req, miss ratio 0.0489, byte miss ratio 0.0489
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    37025, 4212182 req, miss ratio 0.0324, byte miss ratio 0.0324
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    74050, 4212182 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       92, 4212182 req, miss ratio 0.4437, byte miss ratio 0.4437
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      277, 4212182 req, miss ratio 0.3714, byte miss ratio 0.3714
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      925, 4212182 req, miss ratio 0.2832, byte miss ratio 0.2832
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2776, 4212182 req, miss ratio 0.1844, byte miss ratio 0.1844
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9256, 4212182 req, miss ratio 0.0848, byte miss ratio 0.0848
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18512, 4212182 req, miss ratio 0.0503, byte miss ratio 0.0503
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    37025, 4212182 req, miss ratio 0.0329, byte miss ratio 0.0329
result/cdn2_colo28.ns300.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    74050, 4212182 req, miss ratio 0.0243, byte miss ratio 0.0243
