result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d-1 cache size    16829, 151714436 req, miss ratio 0.0411, byte miss ratio 0.0411
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d-1 cache size    56098, 151714436 req, miss ratio 0.0388, byte miss ratio 0.0388
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d-1 cache size   168296, 151714436 req, miss ratio 0.0378, byte miss ratio 0.0378
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d-1 cache size   560988, 151714436 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d-1 cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d-1 cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d-1 cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LRB cache size     5609, 151714436 req, miss ratio 0.0525, byte miss ratio 0.0525
result/cdn2_colo28.ns89.oracleGeneral.zst LRB cache size    16829, 151714436 req, miss ratio 0.0428, byte miss ratio 0.0428
result/cdn2_colo28.ns89.oracleGeneral.zst LRB cache size    56098, 151714436 req, miss ratio 0.0393, byte miss ratio 0.0393
result/cdn2_colo28.ns89.oracleGeneral.zst LRB cache size   168296, 151714436 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_colo28.ns89.oracleGeneral.zst LRB cache size   560988, 151714436 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_colo28.ns89.oracleGeneral.zst LRB cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst LRB cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst LRB cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst TwoQ cache size     5609, 151714436 req, miss ratio 0.0541, byte miss ratio 0.0541
result/cdn2_colo28.ns89.oracleGeneral.zst TwoQ cache size    16829, 151714436 req, miss ratio 0.0455, byte miss ratio 0.0455
result/cdn2_colo28.ns89.oracleGeneral.zst TwoQ cache size    56098, 151714436 req, miss ratio 0.0395, byte miss ratio 0.0395
result/cdn2_colo28.ns89.oracleGeneral.zst TwoQ cache size   168296, 151714436 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cdn2_colo28.ns89.oracleGeneral.zst TwoQ cache size   560988, 151714436 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_colo28.ns89.oracleGeneral.zst TwoQ cache size  1121977, 151714436 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns89.oracleGeneral.zst TwoQ cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst TwoQ cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5609, 151714436 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_colo28.ns89.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16829, 151714436 req, miss ratio 0.0437, byte miss ratio 0.0437
result/cdn2_colo28.ns89.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    56098, 151714436 req, miss ratio 0.0397, byte miss ratio 0.0397
result/cdn2_colo28.ns89.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   168296, 151714436 req, miss ratio 0.0381, byte miss ratio 0.0381
result/cdn2_colo28.ns89.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   560988, 151714436 req, miss ratio 0.0373, byte miss ratio 0.0373
result/cdn2_colo28.ns89.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1121977, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst B-LRU cache size     5609, 151714436 req, miss ratio 0.0642, byte miss ratio 0.0642
result/cdn2_colo28.ns89.oracleGeneral.zst B-LRU cache size    16829, 151714436 req, miss ratio 0.0615, byte miss ratio 0.0615
result/cdn2_colo28.ns89.oracleGeneral.zst B-LRU cache size    56098, 151714436 req, miss ratio 0.0599, byte miss ratio 0.0599
result/cdn2_colo28.ns89.oracleGeneral.zst B-LRU cache size   168296, 151714436 req, miss ratio 0.0588, byte miss ratio 0.0588
result/cdn2_colo28.ns89.oracleGeneral.zst B-LRU cache size   560988, 151714436 req, miss ratio 0.0581, byte miss ratio 0.0581
result/cdn2_colo28.ns89.oracleGeneral.zst B-LRU cache size  1121977, 151714436 req, miss ratio 0.0580, byte miss ratio 0.0580
result/cdn2_colo28.ns89.oracleGeneral.zst B-LRU cache size  2243954, 151714436 req, miss ratio 0.0579, byte miss ratio 0.0579
result/cdn2_colo28.ns89.oracleGeneral.zst B-LRU cache size  4487909, 151714436 req, miss ratio 0.0579, byte miss ratio 0.0579
result/cdn2_colo28.ns89.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5609, 151714436 req, miss ratio 0.0477, byte miss ratio 0.0477
result/cdn2_colo28.ns89.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16829, 151714436 req, miss ratio 0.0420, byte miss ratio 0.0420
result/cdn2_colo28.ns89.oracleGeneral.zst S4LRU(25:25:25:25) cache size    56098, 151714436 req, miss ratio 0.0392, byte miss ratio 0.0392
result/cdn2_colo28.ns89.oracleGeneral.zst S4LRU(25:25:25:25) cache size   168296, 151714436 req, miss ratio 0.0379, byte miss ratio 0.0379
result/cdn2_colo28.ns89.oracleGeneral.zst S4LRU(25:25:25:25) cache size   560988, 151714436 req, miss ratio 0.0372, byte miss ratio 0.0372
result/cdn2_colo28.ns89.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1121977, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S4LRU(25:25:25:25) cache size  4487909, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d cache size     5609, 151714436 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d cache size    16829, 151714436 req, miss ratio 0.0409, byte miss ratio 0.0409
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d cache size    56098, 151714436 req, miss ratio 0.0386, byte miss ratio 0.0386
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d cache size   168296, 151714436 req, miss ratio 0.0376, byte miss ratio 0.0376
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d cache size   560988, 151714436 req, miss ratio 0.0371, byte miss ratio 0.0371
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d cache size  1121977, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
result/cdn2_colo28.ns89.oracleGeneral.zst S3FIFO-d cache size  2243954, 151714436 req, miss ratio 0.0370, byte miss ratio 0.0370
