result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-1 cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LeCaR cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LeCaR cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LeCaR cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LeCaR cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LeCaR cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LHD cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LHD cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LHD cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LHD cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LHD cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LHD cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LHD cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LHD cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst clock2 cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst clock2 cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst clock2 cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst clock2 cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst clock2 cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst clock2 cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst clock2 cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst clock2 cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst ARC cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst ARC cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst ARC cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst ARC cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst ARC cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst ARC cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst ARC cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst ARC cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRU cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRU cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRU cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRU cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRU cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRU cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRU cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRU cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Clock cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Clock cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Clock cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Clock cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Clock cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Clock cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Clock cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst Clock cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO cache size       22, 133908751 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d-1 cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d-1 cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d-1 cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d-1 cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d-1 cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d-1 cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d-1 cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d-1 cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRB cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRB cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRB cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRB cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRB cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRB cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRB cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst LRB cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst B-LRU cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst B-LRU cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst B-LRU cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst B-LRU cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst B-LRU cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst B-LRU cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst B-LRU cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst B-LRU cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       22, 133908751 req, miss ratio 0.0003, byte miss ratio 0.0003
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst TwoQ cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst TwoQ cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst TwoQ cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst TwoQ cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst TwoQ cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst TwoQ cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst TwoQ cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst TwoQ cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S4LRU(25:25:25:25) cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S4LRU(25:25:25:25) cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S4LRU(25:25:25:25) cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S4LRU(25:25:25:25) cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO-d cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst S3FIFO cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       22, 133908751 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       67, 133908751 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       22, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       67, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      224, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      672, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2241, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4483, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     8966, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_allcolo.ns229.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    17932, 133908751 req, miss ratio 0.0002, byte miss ratio 0.0002
