result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d-1 cache size       19, 5707204 req, miss ratio 0.0206, byte miss ratio 0.0206
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d-1 cache size       57, 5707204 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d-1 cache size      191, 5707204 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d-1 cache size      574, 5707204 req, miss ratio 0.0085, byte miss ratio 0.0085
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d-1 cache size     1914, 5707204 req, miss ratio 0.0063, byte miss ratio 0.0063
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d-1 cache size     3829, 5707204 req, miss ratio 0.0049, byte miss ratio 0.0049
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d-1 cache size     7658, 5707204 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns83.oracleGeneral.zst S3FIFO-d-1 cache size    15317, 5707204 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns83.oracleGeneral.zst LRB cache size       19, 5707204 req, miss ratio 0.0182, byte miss ratio 0.0182
result/cdn2_allcolo.ns83.oracleGeneral.zst LRB cache size       57, 5707204 req, miss ratio 0.0128, byte miss ratio 0.0128
result/cdn2_allcolo.ns83.oracleGeneral.zst LRB cache size      191, 5707204 req, miss ratio 0.0097, byte miss ratio 0.0097
result/cdn2_allcolo.ns83.oracleGeneral.zst LRB cache size      574, 5707204 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns83.oracleGeneral.zst LRB cache size     1914, 5707204 req, miss ratio 0.0058, byte miss ratio 0.0058
result/cdn2_allcolo.ns83.oracleGeneral.zst LRB cache size     3829, 5707204 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_allcolo.ns83.oracleGeneral.zst LRB cache size     7658, 5707204 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns83.oracleGeneral.zst LRB cache size    15317, 5707204 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn2_allcolo.ns83.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       19, 5707204 req, miss ratio 0.0357, byte miss ratio 0.0357
result/cdn2_allcolo.ns83.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       57, 5707204 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn2_allcolo.ns83.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      191, 5707204 req, miss ratio 0.0115, byte miss ratio 0.0115
